t_key,t_korean,t_jpn,t_chinese,t_enu,t_f6,t_f7,t_f8,t_f9
^E_D11_MohaScout_001_Name^,^Kaphir Bandit Ranger^,^クピル盗賊団 巡察者^,^^,^^,^^,^^,^^,^^
^E_D11_MohaScout_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_FanaRecon_001_Name^,^Kaphir Bandits Pillager^,^クピル盗賊団 略奪者^,^^,^^,^^,^^,^^,^^
^E_D11_FanaRecon_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_001_Name^,^Kaphir Bandit Watcher^,^クピル盗賊団 監視者^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_FanaTroop_001_Name^,^Kaphir Bandit Sentinel^,^クピル盗賊団 歩哨^,^^,^^,^^,^^,^^,^^
^E_D11_FanaTroop_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_FanaMidget_001_Name^,^Kaphir Bandit Caesar^,^クピル盗賊団 鐘突き^,^^,^^,^^,^^,^^,^^
^E_D11_FanaMidget_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_MohaShotr_001_Name^,^Blacksmith of the Mohava Mercenaries^,^モハマ傭兵団 鍛冶師^,^^,^^,^^,^^,^^,^^
^E_D11_MohaShotr_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_MohaHealer_001_Name^,^Mohava Mercenary Dreadman^,^モハマ傭兵団 恐怖術師^,^^,^^,^^,^^,^^,^^
^E_D11_MohaHealer_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_FanaRecon_002_Name^,^Mohava Mercenary Swordsman^,^モハマ傭兵団 刃物使い^,^^,^^,^^,^^,^^,^^
^E_D11_FanaRecon_002_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_002_Name^,^Mohava Mercenary Ambush^,^モハマ傭兵団 埋伏者^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_002_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_003_Name^,^Mohava Mercenary Corps Lion Tamer^,^モハマ傭兵団 ライオン調教師^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_003_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_Lion_001_Name^,^Tamed Lion^,^調教されたライオン^,^^,^^,^^,^^,^^,^^
^E_D11_Lion_001_NameDetail^,^#^,^#^,^^,^^,^^,^^,^^,^^
^E_D11_McTyman_001_Name^,^McTymon The Bull^,^メグタイマン^,^^,^^,^^,^^,^^,^^
^E_D11_McTyman_001_NameDetail^,^bull^,^雄牛^,^^,^^,^^,^^,^^,^^
^E_D11_McTyman_002_Name^,^McTymon^,^メグタイマン^,^^,^^,^^,^^,^^,^^
^E_D11_McTyman_002_NameDetail^,^bull^,^雄牛^,^^,^^,^^,^^,^^,^^
^E_D11_Hoston_001_Name^,^Hoston^,^ホストン^,^^,^^,^^,^^,^^,^^
^E_D11_Hoston_001_NameDetail^,^fire smith^,^火の鍛冶師^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_004_Name^,^Karad Pirates Deck Soldier^,^カラード海賊団 甲板兵^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_004_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_CarmTreas_001_Name^,^Karad Pirates Assault Trooper^,^カラード海賊団 突撃兵^,^^,^^,^^,^^,^^,^^
^E_D11_CarmTreas_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_CarmWatch_001_Name^,^Karad Pirates Watchtower^,^カラード海賊団 望楼兵^,^^,^^,^^,^^,^^,^^
^E_D11_CarmWatch_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_CarmBarub_001_Name^,^Karad Pirates Operation Officer^,^カラード海賊団 作戦官^,^^,^^,^^,^^,^^,^^
^E_D11_CarmBarub_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_CarmDeckh_001_Name^,^Karad Pirates sailor^,^カラード海賊団 船員^,^^,^^,^^,^^,^^,^^
^E_D11_CarmDeckh_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_Karad_001_Name^,^Pirate Captain Karad^,^カラード^,^^,^^,^^,^^,^^,^^
^E_D11_Karad_001_NameDetail^,^pirate captain^,^海賊船長^,^^,^^,^^,^^,^^,^^
^E_D11_DetuGaren_001_Name^,^Ditugaren^,^ディトガレン^,^^,^^,^^,^^,^^,^^
^E_D11_DetuGaren_001_NameDetail^,^Dark Wizard^,^闇の魔法師^,^^,^^,^^,^^,^^,^^
^E_D11_Garesh_001_Name^,^Garesh^,^ガレッシ^,^^,^^,^^,^^,^^,^^
^E_D11_Garesh_001_NameDetail^,^monster^,^魔物^,^^,^^,^^,^^,^^,^^
^E_D11_FanaRecon_003_Name^,^Kaphir Bandits Pillager^,^クピル盗賊団 略奪者^,^^,^^,^^,^^,^^,^^
^E_D11_FanaRecon_003_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_005_Name^,^Kaphir Bandit Watcher^,^クピル盗賊団 監視者^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_005_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_CarmTreas_002_Name^,^Kaphir Bandit Steel Warrior^,^クピル盗賊団 鋼鉄闘士^,^^,^^,^^,^^,^^,^^
^E_D11_CarmTreas_002_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_FanaThera_001_Name^,^Kaphir Bandit First Aid^,^クピル盗賊団 応急治療士^,^^,^^,^^,^^,^^,^^
^E_D11_FanaThera_001_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_MohaHealer_002_Name^,^Kaphir Bandits Wind Wizard^,^クピル盗賊団 風術師^,^^,^^,^^,^^,^^,^^
^E_D11_MohaHealer_002_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_Kfir_001_Name^,^Kaphir Bandit^,^クピル^,^^,^^,^^,^^,^^,^^
^E_D11_Kfir_001_NameDetail^,^robbery^,^大盗賊^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_006_Name^,^Cractus SS sniper^,^クラックトース親衛隊 狙撃手^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_006_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_FanaTroop_002_Name^,^Cractus Guards Escort^,^クラックトース親衛隊 護衛兵^,^^,^^,^^,^^,^^,^^
^E_D11_FanaTroop_002_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_CarmTreas_003_Name^,^Cractus SS Assault Trooper^,^クラックトース親衛隊 突撃兵^,^^,^^,^^,^^,^^,^^
^E_D11_CarmTreas_003_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_CarmBarub_002_Name^,^Cractus SS Chief of Staff^,^クラックトース親衛隊 参謀官^,^^,^^,^^,^^,^^,^^
^E_D11_CarmBarub_002_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_Kraktus_001_Name^,^Cractus^,^クラックトース^,^^,^^,^^,^^,^^,^^
^E_D11_Kraktus_001_NameDetail^,^Red Revolutionary Leader^,^赤い革命団 総帥^,^^,^^,^^,^^,^^,^^
^E_D11_MohaScout_002_Name^,^Kaphir Bandit Ranger^,^クピル盗賊団 巡察者^,^^,^^,^^,^^,^^,^^
