t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^E_01_0_0001_0000_Name^,^라이노 경비병^,^ライノ警備兵^,^^,^Ryno Guard^,^^,^^
^E_01_0_0001_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_01_0_0002_0000_Name^,^라이노 전투병^,^ライノ戦闘兵^,^^,^Ryno Soldier^,^^,^^
^E_01_0_0002_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_1_0007_0000_Name^,^회색 늑대^,^グレーウルフ^,^^,^Gray Wolf^,^^,^^
^E_02_1_0007_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_1_0007_0001_Name^,^사나운 회색 늑대^,^獰猛なグレーウルフ^,^^,^Savage Gray Wolf^,^^,^^
^E_02_1_0007_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_1_0007_0002_Name^,^사나운 회색 늑대^,^獰猛なグレーウルフ^,^^,^Savage Gray Wolf^,^^,^^
^E_02_1_0007_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_4_0008_0000_Name^,^나무 요정^,^ドリュアス^,^^,^Tree Fairy^,^^,^^
^E_02_4_0008_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_1_0010_0000_Name^,^갈기 멧돼지^,^ワイルドボア^,^^,^Woodland Boar^,^^,^^
^E_02_1_0010_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_1_0010_0001_Name^,^갈기 멧돼지^,^ワイルドボア^,^^,^Woodland Boar^,^^,^^
^E_02_1_0010_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_1_0011_0000_Name^,^거친갈기 멧돼지^,^獰猛なワイルドボア^,^^,^Feral Boar^,^^,^^
^E_02_1_0011_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_1_0011_0001_Name^,^거친갈기 멧돼지^,^獰猛なワイルドボア^,^^,^Feral Boar^,^^,^^
^E_02_1_0011_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_1_0011_0002_Name^,^큰어금니 멧돼지^,^ビッグファングボア^,^^,^Razorback^,^^,^^
^E_02_1_0011_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0012_0000_Name^,^브라기 정찰병^,^ブラギ 偵察兵^,^^,^Braghin Scout^,^^,^^
^E_02_0_0012_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0016_0000_Name^,^브라기 일꾼^,^ブラギワーカー^,^^,^Braghin Worker^,^^,^^
^E_02_0_0016_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0017_0000_Name^,^브라기 전투병^,^ブラギソルジャー^,^^,^Braghin Fighter^,^^,^^
^E_02_0_0017_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0018_0000_Name^,^브라기 본거지 사냥꾼^,^ブラギアーチャー^,^^,^Braghin Hunter^,^^,^^
^E_02_0_0018_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0021_0000_Name^,^브라기 본거지 샤먼^,^ブラギシャーマン^,^^,^Braghin Shaman^,^^,^^
^E_02_0_0021_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_1_0030_0000_Name^,^성난 멧돼지^,^怒ったワイルドボア^,^^,^Ferocious Boar^,^^,^^
^E_02_1_0030_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0032_0000_Name^,^브라기 야수 조련사^,^ブラギ野獣調教師^,^^,^Braghin Beastmaster^,^^,^^
^E_02_0_0032_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_01_0_0007_0000_Name^,^라이노 경비병^,^ライノ警備兵^,^^,^Ryno Guard^,^^,^^
^E_01_0_0007_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_01_0_0008_0000_Name^,^라이노 경비병^,^ライノ警備兵^,^^,^Ryno Guard^,^^,^^
^E_01_0_0008_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_01_0_0009_0000_Name^,^라이노 전투병^,^ライノ戦闘兵^,^^,^Ryno Soldier^,^^,^^
^E_01_0_0009_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0036_0000_Name^,^브라기 일꾼^,^ブラギワーカー^,^^,^Braghin Worker^,^^,^^
^E_02_0_0036_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0037_0000_Name^,^브라기 일꾼^,^ブラギワーカー^,^^,^Braghin Worker^,^^,^^
^E_02_0_0037_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0040_0000_Name^,^브라기 약탈 용사^,^ブラギアサルター^,^^,^Braghin Raider^,^^,^^
^E_02_0_0040_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0041_0000_Name^,^브라기 본거지 고위 샤먼^,^ブラギエリートシャーマン^,^^,^Braghin High Shaman^,^^,^^
^E_02_0_0041_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0042_0000_Name^,^브라기 본거지 용사^,^ブラギウォーリアー^,^^,^Braghin Brute^,^^,^^
^E_02_0_0042_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0043_0000_Name^,^브라기 일꾼^,^ブラギワーカー^,^^,^Braghin Worker^,^^,^^
^E_02_0_0043_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0044_0000_Name^,^브라기 일꾼^,^ブラギワーカー^,^^,^Braghin Worker^,^^,^^
^E_02_0_0044_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0045_0000_Name^,^브라기 일꾼^,^ブラギワーカー^,^^,^Braghin Worker^,^^,^^
^E_02_0_0045_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0046_0000_Name^,^브라기 전투병^,^ブラギソルジャー^,^^,^Braghin Fighter^,^^,^^
^E_02_0_0046_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0016_0001_Name^,^브라기 일꾼^,^ブラギワーカー^,^^,^Braghin Worker^,^^,^^
^E_02_0_0016_0001_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_01_4_0637_0000_Name^,^간수장 렉스^,^看守長レックス^,^^,^Warden Rex^,^^,^^
^E_01_4_0637_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_1022_0000_Name^,^대장군 막두^,^ブラギリーダー^,^^,^Braghin Overseer^,^^,^^
^E_02_0_1022_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0644_0000_Name^,^고대 유적지 유령^,^エンシェントゴースト^,^^,^Ruins Ghost^,^^,^^
^E_02_0_0644_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0012_0001_Name^,^브라기 정찰병^,^ブラギ偵察兵^,^^,^Braghin Scout^,^^,^^
^E_02_0_0012_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0661_0000_Name^,^브라기 선봉장^,^ブラギパトロールリーダー^,^^,^Braghin Skirmish Master^,^^,^^
^E_02_0_0661_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0017_0002_Name^,^브라기 전투병^,^ブラギソルジャー^,^^,^Braghin Fighter^,^^,^^
^E_02_0_0017_0002_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0653_0000_Name^,^흡광초^,^吸光草^,^^,^Sunsap Blossom^,^^,^^
^E_02_0_0653_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0654_0000_Name^,^광채 나무 요정^,^光彩樹のフェアリー^,^^,^Shimmerwood Sprite^,^^,^^
^E_02_0_0654_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0654_0001_Name^,^광채 나무 요정^,^光彩樹のフェアリー^,^^,^Shimmerwood Sprite^,^^,^^
^E_02_0_0654_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0655_0000_Name^,^요정 여왕 엘퀴네스^,^妖精の女王エルキネス^,^^,^Queen Elquines^,^^,^^
^E_02_0_0655_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0656_0000_Name^,^고대 유적지 관리자^,^エンシェントゴーストマスター^,^^,^Ruins Specter^,^^,^^
^E_02_0_0656_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0657_0000_Name^,^브라기 채집꾼^,^ブラギギャザラー^,^^,^Braghin Gatherer^,^^,^^
^E_02_0_0657_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0658_0000_Name^,^브라기 본거지 전투병^,^ブラギアタッカー^,^^,^Braghin Warrior^,^^,^^
^E_02_0_0658_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0658_0001_Name^,^브라기 본거지 전투병^,^ブラギアタッカー^,^^,^Braghin Warrior^,^^,^^
^E_02_0_0658_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0659_0000_Name^,^족장 바리안^,^ブラギ族長^,^^,^Braghin Chieftain^,^^,^^
^E_02_0_0659_0000_NameDetail^,^브라기 족장^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0660_0000_Name^,^차가운 크리스탈의 정령^,^冷たいクリスタルの精霊^,^^,^Shiverglass Spiritl^,^^,^^
^E_02_0_0660_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_1_0007_0003_Name^,^유적지 회색 늑대^,^遺跡のグレーウルフ^,^^,^Ruins Wolf^,^^,^^
^E_02_1_0007_0003_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0021_0001_Name^,^브라기 샤먼^,^ブラギシャーマン^,^^,^Braghin Shaman^,^^,^^
^E_02_0_0021_0001_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0661_0001_Name^,^브라기 선봉대원^,^ブラギパトロール^,^^,^Braghin Skirmisher^,^^,^^
^E_02_0_0661_0001_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0662_0000_Name^,^브라기 본거지 채집꾼^,^ブラギマイナー^,^^,^Braghin Gatherer^,^^,^^
^E_02_0_0662_0000_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_1_0344_0000_Name^,^갈색 여우^,^彷徨うスケルトン遺跡のブラウンウルフ^,^^,^Ruins Fox^,^^,^^
^E_02_1_0344_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0033_0001_Name^,^브라기 일꾼^,^ブラギワーカー^,^^,^Braghin Worker^,^^,^^
^E_02_0_0033_0001_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0036_0001_Name^,^브라기 일꾼^,^ブラギワーカー^,^^,^Braghin Worker^,^^,^^
^E_02_0_0036_0001_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0037_0001_Name^,^브라기 일꾼^,^ブラギワーカー^,^^,^Braghin Worker^,^^,^^
^E_02_0_0037_0001_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0045_0001_Name^,^브라기 일꾼^,^ブラギワーカー^,^^,^Braghin Worker^,^^,^^
^E_02_0_0045_0001_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0607_0000_Name^,^새끼 멧돼지^,^いのこ^,^^,^Juvenile Boar^,^^,^^
^E_02_0_0607_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0012_0002_Name^,^브라기 정찰병^,^ブラギ 偵察兵^,^^,^Braghin Scout^,^^,^^
^E_02_0_0012_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_5_0001_0002_Name^,^브라기 석궁^,^ブラギ族のバリスタ^,^^,^Braghin Ballista^,^^,^^
^E_02_5_0001_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0043_0001_Name^,^브라기 석궁 관리병^,^ブラギ族のバリスタ管理兵^,^^,^Braghin Engineer^,^^,^^
^E_02_0_0043_0001_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0654_0002_Name^,^사나운 나무 요정^,^獰猛なドリュアス^,^^,^Mad Tree Fairy^,^^,^^
^E_02_0_0654_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0045_0002_Name^,^브라기 본거지 일꾼^,^ブラギヘッダー^,^^,^Braghin Runner^,^^,^^
^E_02_0_0045_0002_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0662_0001_Name^,^브라기 본거지 채집꾼^,^ブラギマイナー^,^^,^Braghin Gatherer^,^^,^^
^E_02_0_0662_0001_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0044_0001_Name^,^브라기 본거지 일꾼^,^ブラギヘッダー^,^^,^Braghin Runner^,^^,^^
^E_02_0_0044_0001_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0043_0002_Name^,^브라기 본거지 일꾼^,^ブラギヘッダー^,^^,^Braghin Runner^,^^,^^
^E_02_0_0043_0002_NameDetail^,^^,^ブラギ族^,^^,^^,^^,^^
^E_02_0_0658_0002_Name^,^브라기 친위병^,^ブラギ親衛兵^,^^,^Braghin Guard^,^^,^^
^E_02_0_0658_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_50_0_0666_0000_Name^,^그을린 해골 병사^,^焼かれたスケルトン兵士^,^^,^Burning Skeleton Soldier^,^^,^^
^E_50_0_0666_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_50_0_0666_0001_Name^,^그을린 해골 병사^,^焼かれたスケルトン兵士^,^^,^Burning Skeleton Soldier^,^^,^^
^E_50_0_0666_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_50_0_0667_0000_Name^,^그을린 해골 기사^,^焼かれたスケルトン騎士^,^^,^Burning Skeleton Knight^,^^,^^
^E_50_0_0667_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_50_0_0667_0001_Name^,^그을린 해골 기사^,^焼かれたスケルトン騎士^,^^,^Burning Skeleton Knight^,^^,^^
^E_50_0_0667_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_50_0_0718_0000_Name^,^그을린 해골 궁병^,^焼かれたスケルトン弓兵^,^^,^Burning Skeleton Archer^,^^,^^
^E_50_0_0718_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_50_0_0613_0000_Name^,^화염 바위 경비병^,^ラバーガーダー^,^^,^Emberstone Sentinel^,^^,^^
^E_50_0_0613_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_50_0_0650_0000_Name^,^화염 폭탄 바위^,^火炎の爆弾岩^,^^,^Emberstone Rockling^,^^,^^
^E_50_0_0650_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_50_0_0648_0000_Name^,^고대의 화염 골렘^,^マグマゴーレム^,^^,^Emberstone Golem^,^^,^^
^E_50_0_0648_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_1_0344_0001_Name^,^붉은 여우^,^レッドフォックス^,^^,^Red Fox^,^^,^^
^E_02_1_0344_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0309_0000_Name^,^식인 늑대 프릿샤^,^人喰狼プリッシャ^,^^,^Pritsha the Cannibal^,^^,^^
^E_02_0_0309_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0309_0001_Name^,^암컷 프니샤^,^メスプニシャ^,^^,^Pritsha^,^^,^^
^E_02_0_0309_0001_NameDetail^,^늑대 우두머리^,^リーダー狼^,^^,^The Wolf Queen^,^^,^^
^E_02_0_0309_0002_Name^,^우두머리 회색늑대^,^グレーウルフリーダー^,^^,^Gray Wolf Alpha^,^^,^^
^E_02_0_0309_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0676_0000_Name^,^유령 거미^,^ゴーストスパイダー^,^^,^Ghost Spider^,^^,^^
^E_02_0_0676_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_02_0_0676_0001_Name^,^거대거미 타슬란^,^大蜘蛛タスラン^,^^,^Taslan the Devourer^,^^,^^
^E_02_0_0676_0001_NameDetail^,^^,^^,^^,^^,^^,^^
