t_key,t_korean
^E_04_0_0309_0000_Name^,^Cunning Blue Wolf^
^E_04_0_0309_0000_NameDetail^,^^
^E_04_0_0309_0001_Name^,^Savage Blue Wolf^
^E_04_0_0309_0001_NameDetail^,^^
^E_04_0_0309_0002_Name^,^Lashaka^
^E_04_0_0309_0002_NameDetail^,^Wolf King^
^E_04_0_0691_0000_Name^,^Rock Turtle^
^E_04_0_0691_0000_NameDetail^,^^
^E_04_0_0691_0001_Name^,^Old Snapper^
^E_04_0_0691_0001_NameDetail^,^Leatherback Turtle^
^E_04_0_0041_0000_Name^,^Beach Pelican^
^E_04_0_0041_0000_NameDetail^,^^
^E_04_0_0678_0000_Name^,^Beach Shield Crab^
^E_04_0_0678_0000_NameDetail^,^^
^E_04_0_1300_0000_Name^,^Karrad Deckhand^
^E_04_0_1300_0000_NameDetail^,^^
^E_04_0_1300_0001_Name^,^Karrad Shipmate^
^E_04_0_1300_0001_NameDetail^,^^
^E_04_0_1302_0000_Name^,^Karrad Looter^
^E_04_0_1302_0000_NameDetail^,^^
^E_04_0_1300_0002_Name^,^Karrad Coxswain^
^E_04_0_1300_0002_NameDetail^,^^
^E_04_0_1302_0002_Name^,^Karrad Strongarm^
^E_04_0_1302_0002_NameDetail^,^^
^E_04_0_1310_0000_Name^,^Karrad Butcher^
^E_04_0_1310_0000_NameDetail^,^^
^E_04_0_1310_0001_Name^,^Karrad Bloody Butcher^
^E_04_0_1310_0001_NameDetail^,^^
^E_04_0_1310_0002_Name^,^Karrad Lookout^
^E_04_0_1310_0002_NameDetail^,^^
^E_04_0_1310_0003_Name^,^Karrad Elite Lookout^
^E_04_0_1310_0003_NameDetail^,^^
^E_04_0_1301_0000_Name^,^Karrad Octopus Trainer^
^E_04_0_1301_0000_NameDetail^,^^
^E_04_0_0677_0000_Name^,^Rock Octopus^
^E_04_0_0677_0000_NameDetail^,^Pirate Familiar^
^E_04_0_0180_0000_Name^,^Krill^
^E_04_0_0180_0000_NameDetail^,^Lighthouse Keeper^
^E_04_0_1302_0001_Name^,^Bismuth the Ruthless^
^E_04_0_1302_0001_NameDetail^,^Pirate Captain^
^E_04_0_1300_0004_Name^,^Copperhand Varbahn^
^E_04_0_1300_0004_NameDetail^,^Pirate Quartermaster^
^E_04_0_1300_0005_Name^,^Chief Mate Keelhaul^
^E_04_0_1300_0005_NameDetail^,^Karrad Pirate^
^E_04_0_1301_0001_Name^,^Pirate King Varanac^
^E_04_0_1301_0001_NameDetail^,^Captain^
^E_04_0_1510_0000_Name^,^Frost Golem Mage^
^E_04_0_1510_0000_NameDetail^,^Frost Guard^
^E_04_0_0691_0002_Name^,^Prism Turtle^
^E_04_0_0691_0002_NameDetail^,^^
^E_04_0_0041_0001_Name^,^Longbeak Pelican^
^E_04_0_0041_0001_NameDetail^,^^
^E_04_0_0041_0002_Name^,^Steeljaw Pelican^
^E_04_0_0041_0002_NameDetail^,^^
^E_04_0_0041_0003_Name^,^Dread Parado^
^E_04_0_0041_0003_NameDetail^,^^
^E_04_0_0612_0000_Name^,^Wild Golem^
^E_04_0_0612_0000_NameDetail^,^^
^E_04_0_0683_0000_Name^,^Merumi Javelinier^
^E_04_0_0683_0000_NameDetail^,^^
^E_04_0_0683_0001_Name^,^Merumi Archer^
^E_04_0_0683_0001_NameDetail^,^^
