t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^E_01_0_0001_0101^,^Save me  ^,^た、助けて…うっ^,^E_01_0_0001_0102^,^E_01_0_0001_0102^,^E_01_0_0001_0102^,^E_01_0_0001_0102^
^E_01_0_0001_0102^,^He's being captured?Ugh ^,^捕虜にやられるなんて…ううっ^,^E_01_0_0001_0103^,^E_01_0_0001_0103^,^E_01_0_0001_0103^,^E_01_0_0001_0103^
^E_01_0_0001_0103^,^Sarant  I'm sorry ^,^サラント様…申し訳ございません..^,^E_01_0_0002_0101^,^E_01_0_0002_0101^,^E_01_0_0002_0101^,^E_01_0_0002_0101^
^E_01_0_0002_0101^,^It's a jailbreak! Catch it!^,^脱獄者だ！捕まえろ！^,^E_01_0_0002_0102^,^E_01_0_0002_0102^,^E_01_0_0002_0102^,^E_01_0_0002_0102^
^E_01_0_0002_0102^,^I can't pass by here!^,^ここは通さん!^,^E_01_0_0002_0103^,^E_01_0_0002_0103^,^E_01_0_0002_0103^,^E_01_0_0002_0103^
^E_01_0_0002_0103^,^Khh Where are you going? Please put it in a deeper jail!^,^ふっふっふ。どこへ行こうと言うのだね?^,^E_01_0_0002_0201^,^E_01_0_0002_0201^,^E_01_0_0002_0201^,^E_01_0_0002_0201^
^E_01_0_0002_0201^,^Ugh  the guard?I have to call more?^,^ううっ増援はまだか…^,^E_01_0_0002_0202^,^E_01_0_0002_0202^,^E_01_0_0002_0202^,^E_01_0_0002_0202^
^E_01_0_0002_0202^,^Ugh?You can leave it out of this place^,^ううっ…生きて逃げられるとは思うなよ…^,^E_01_0_0002_0203^,^E_01_0_0002_0203^,^E_01_0_0002_0203^,^E_01_0_0002_0203^
^E_01_0_0002_0203^,^You haven't done your mission?damn^,^任務を果たせないとは…..^,^E_01_4_0004_0101^,^E_01_4_0004_0101^,^E_01_4_0004_0101^,^E_01_4_0004_0101^
^E_01_4_0004_0101^,^Huhu?Did you think you can go out here?^,^ふっ…ここから逃げおおせるとでも思ったか？^,^E_01_4_0004_0201^,^E_01_4_0004_0201^,^E_01_4_0004_0201^,^E_01_4_0004_0201^
^E_01_4_0004_0201^,^ Don't be relieved tHat you won the temple / Sarant will not save you?^,^俺が人間なんぞにやられるとは…だがサラント様がお前を生かしてはおかないだろう…^,^E_01_4_0637_0101^,^E_01_4_0637_0101^,^E_01_4_0637_0101^,^E_01_4_0637_0101^
^E_01_4_0637_0101^,^Foolish things! You can't get out of this place here!^,^愚か者共めが！一匹たりとも逃がさん！^,^E_01_4_0637_0201^,^E_01_4_0637_0201^,^E_01_4_0637_0201^,^E_01_4_0637_0201^
^E_01_4_0637_0201^,^Big  I'm being hit?This ridiculous thing ^,^グヴァッ…この俺がやられるなどと…あり得ん….。^,^E_01_4_0637_0301^,^E_01_4_0637_0301^,^E_01_4_0637_0301^,^E_01_4_0637_0301^
^E_01_4_0637_0301^,^Let's make it powder!^,^粉々にしてやる！^,^E_01_4_0637_0302^,^E_01_4_0637_0302^,^E_01_4_0637_0302^,^E_01_4_0637_0302^
^E_01_4_0637_0302^,^Think of it as an honor to die in my hand!^,^私の手で殺されることを栄光だと思え！^,^E_01_4_0637_0601^,^E_01_4_0637_0601^,^E_01_4_0637_0601^,^E_01_4_0637_0601^
^E_01_4_0637_0601^,^Hahaha! Tickle!^,^うははは！何だその攻撃は！かゆいな！^,^E_01_4_0637_0602^,^E_01_4_0637_0602^,^E_01_4_0637_0602^,^E_01_4_0637_0602^
^E_01_4_0637_0602^,^Haha! Try it as much as you can!^,^くははは！いくらでもかかってくるがいい！^,^E_01_4_0637_0603^,^E_01_4_0637_0603^,^E_01_4_0637_0603^,^E_01_4_0637_0603^
^E_01_4_0637_0603^,^I can't hurt me by tHat attack!^,^その程度の攻撃では俺に傷一つつけられないぞ！^,^E_01_4_0637_0901^,^E_01_4_0637_0901^,^E_01_4_0637_0901^,^E_01_4_0637_0901^
^E_01_4_0637_0901^,^Where do you have a bug?^,^人間ごときが我が守護石に触れるな!^,^E_01_4_0637_0902^,^E_01_4_0637_0902^,^E_01_4_0637_0902^,^E_01_4_0637_0902^
^E_01_4_0637_0902^,^You have a dirty hand in Sarant's stuff! I can't forgive!^,^サラント様の所有物を汚い手で触れるなんて！許せない！^,^E_02_0_0012_0101^,^E_02_0_0012_0101^,^E_02_0_0012_0101^,^E_02_0_0012_0101^
^E_02_0_0012_0101^,^Crab! Who is it?^,^きえっ！誰か！^,^E_02_0_0012_0102^,^E_02_0_0012_0102^,^E_02_0_0012_0102^,^E_02_0_0012_0102^
^E_02_0_0012_0102^,^Crab! You are a suspicious guy!^,^きえっ！怪しい奴だな！^,^E_02_0_0012_0103^,^E_02_0_0012_0103^,^E_02_0_0012_0103^,^E_02_0_0012_0103^
