t_key,t_korean
^E0_Talk_gstar2012^,^I'll head back to Crow.^
^E0_Talk_001^,^Stay alert!^
^E0_Talk_002^,^That gem must be worth a lot of gold.^
^E1_NOTICE_001^,^Draw your weapon from the stand.^
^E1_NOTICE_002^,^Break the lock on Rena's cell.^
^E1_NOTICE_003^,^Activate both levers to open the door.^
^E1_NOTICE_004^,^Defeat Warden Rex.^
^E1_NOTICE_005^,^Help Crow defeat the guards.^
^E1_NOTICE_006^,^Keep watch while Crow opens the door.^
^E1_NOTICE_007^,^Follow Crow.^
^E1_NOTICE_008^,^The door to the cell is locked.^
^E1_NOTICE_009^,^The door to the cell is open.^
^E1_NOTICE_010^,^Equip your weapon.^
^E1_NOTICE_011^,^You remember the boss from the start.^
^E1_NOTICE_012^,^Destroy the lock on the door.^
^E1_NOTICE_013^,^You've failed the quest. Forfeit it to restart.^
^E1_NOTICE_014^,^You've defeated the boss! \nMoving to start in 10 seconds.^
^E1_NOTICE_015^,^You've defeated the boss! \nMoving to start in 10 seconds.^
^E1_NOTICE_016^,^Destroy the lock on the beast's cage.^
^E1_NOTICE_017^,^Mount the Pegasus.^
^E1_NOTICE_018^,^Escape from Salant's Stronghold.^
^E1_NOTICE_019^,^Break the stone protecting Warden Rex.^
^E2_NOTICE_001^,^Defeat Jeffy, who's become a werewolf.^
^E50_NOTICE_001^,^Jump to evade most ground attacks.^
^E1_Talk_001^,^I will fight by your side to rescue the princess.^
^E1_Talk_002^,^The princess has been taken by Salant's men.^
^E1_Talk_003^,^We must deliver this news as quickly as we can. To the capital!^
^E1_Talk_012^,^Wake up. I'm getting you out of here.^
^E1_Talk_014^,^This way. Keep that weapon ready.^
^E1_Talk_028^,^Be careful or you'll wind up dead.^
^E1_Talk_032^,^With any luck, they haven't moved the princess yet.^
^E1_Talk_033^,^Grab a weapon. You're no good to me unarmed.^
^E1_Talk_034^,^The doors are closed.^
^E1_Talk_035^,^I'll get this gate open. See if you can break that lock.^
^E1_Talk_036^,^You're safe. I hope we can say the same for the princess...^
^E1_Talk_037^,^Let's move. The doors have opened.^
^E1_Talk_038^,^Guards! Prepare for a fight.^
^E1_Talk_039^,^The doors are locked. They know I'm here.^
^E1_Talk_040^,^I think I hear something behind us.^
^E1_Talk_041^,^More guards coming this way!^
^E1_Talk_042^,^Let's get out of here.^
^E1_Talk_043^,^The doors have opened!^
^E1_Talk_044^,^I'll handle the guards. You open the doors.^
^E1_Talk_045^,^Quickly, before more guards show up.^
^E1_Talk_046^,^Another survivor.^
^E1_Talk_047^,^Quickly, to the rescue.^
^E1_Talk_048^,^Tortus. Just hold on.^
^E1_Talk_049^,^Ha! Your precious princess isn't here.^
^E1_Talk_050^,^Come. We're running out of time.^
^E1_Talk_051^,^Wait. I feel a presence beyond the door...^
^E1_Talk_052^,^Watch it. It's the chief warden.^
^E1_Talk_054^,^[UserName]! Commander Crow! Over here!^
^E1_Talk_055^,^Defeat the warden.^
^E1_Talk_056^,^Good, the warden is down. Let's move.^
^E1_Talk_057^,^This way!^
^E1_Talk_058^,^The exit must be close. This way.^
^E1_Talk_059^,^These are our familiars... They must've been kept here for all sorts of cruel experimentation.^
^E1_Talk_060^,^Crow! Thank you.^
^E1_Talk_061^,^Save them. Take them with you.^
^E1_Talk_062^,^Save your energy for when we fight the chief warden.^
^E1_Talk_063^,^Let me get my blade. I've got a score to settle.^
^E1_Talk_064^,^Mount the panther.^
^E1_Talk_065^,^Keep moving. That door won't hold them for long.^
^E1_Talk_066^,^Puny humans. Your parole has been denied.^
^E1_Talk_067^,^I see our sky titan. Quickly, before the guards catch up.^
^E1_Talk_068^,^The prisoners have escaped! After them!^
^E1_Talk_069^,^We're outnumbered. I don't think we can fight them head on.^
^E1_Talk_070^,^Mount up. We're getting out of here.^
^E1_Talk_071^,^Quickly. Mount up!^
^E1_Talk_072^,^That was faster than I expected.^
^E1_Talk_073^,^This isn't good. I'll open the doors.^
^E1_Talk_074^,^Where's the Princess?^
^E10_Talk_001^,^You look better. You should be fine after a resting a bit.^
^E2_Talk_001^,^Prepare to die!^
^E2_Talk_002^,^Leave the tree alone.^
^E3_Talk_001^,^We're taking off?!^
^E3_Talk_002^,^Be careful!^
^E3_Talk_003^,^You've done well.^
^E4_Talk_001^,^Thank you, thank you. I go to Kylas.^
^E4_Talk_002^,^Later^
^E5_Talk_001^,^Don't let them get me!^
^E5_Talk_002^,^Let's get outta here. I feel... I feel real bad...^
^E5_Talk_003^,^Ma... Ma, it hurts...^
^E5_Talk_004^,^It... burns...^
^E5_Talk_005^,^Th-the wolves used to be people, right?^
^E5_Talk_006^,^A-are we there yet...?^
^E5_Talk_007^,^I-I want my ma... Everything's... going red...^
^E5_Talk_008^,^Too hot... It burns!!^
^E5_Talk_009^,^Why do I... do I...^
^E5_Talk_010^,^DIE!!^
^E5_Talk_011^,^I just wanted... home...^
^E5_Talk_012^,^The blood calls to me. Feed! Devour!^
^E50_Talk_001^,^Somebody... please help me...^
^E6_Talk_001^,^I feel better. Braver! Okay, I'm heading back to the tower.^
^E6_Talk_002^,^This is more like it!^
^E6_Talk_003^,^We've come too far. I'm done with this nonsense!^
^E7_Talk_001^,^You're strong enough to face the enemy now.^
^E8_Talk_001^,^I thought I was a goner. Thanks!^
^E8_Talk_002^,^Thanks for accompanying me. Now, please find Mitchel Sabolt.^
^E8_Talk_003^,^Hey, thanks! I'm going to take a dip in the water. Want to join me?^
^E8_Talk_004^,^That must've been rough. Anyway, I'm heading over to Frost Castle.^
^E9_Talk_001^,^You've finished the hunt and grown stronger. I'll head back first. Come find me later.^
^E51_Talk_001^,^You shall not pass!^
^E11_Talk_001^,^Come and taste my power.^
^E11_Talk_002^,^This isn't over, [UserName]!^
^E11_Talk_003^,^You were followed, Ander! Moron!^
^E11_Talk_004^,^All that power... wasted! It won't happen again!^
^E11_Talk_005^,^What's happening?!^
^E12_Talk_001^,^Don't follow me.^
^E12_Talk_002^,^Begone, eyesore!^
^E12_Talk_003^,^Peasant scum! I shall kill you myself!^
^E12_Talk_004^,^No... Father must... be king...^
^E12_Talk_005^,^Such wasted power...^
