t_key,t_korean
^F_02_1_0007_0002_name^,^Savage Gray Wolf^
^F_02_0_0309_0002_name^,^Gray Wolf Alpha^
^F_02_1_0007_0003_name^,^Ruins Wolf^
^F_02_0_0309_0000_name^,^Pritsha Cannibal^
^F_00_0_0245_0000_name^,^Pegasus^
^F_00_0_0245_0001_name^,^Nightmare^
^F_00_0_0309_0000_name^,^Armored Pegasus^
^F_03_0_0309_0001_name^,^Shadow Wolf^
^F_03_0_0245_0001_name^,^Chakai^
^F_03_0_0245_0002_name^,^Panther Prowler^
^F_03_0_0309_0009_name^,^Shadow Wolf^
^F_03_0_0309_0010_name^,^Shadow Hound^
^F_03_0_0245_0003_name^,^Highland Panther^
^F_03_0_0245_0004_name^,^W.-maned Panther^
^F_03_0_0083_0001_name^,^Trutan^
^F_03_0_0083_0003_name^,^Scavenger Bear^
^F_03_0_0083_0005_name^,^Warrior Bear^
^F_03_0_0083_0006_name^,^Graymane Bear^
^F_03_0_0083_0007_name^,^Graymane Bear^
^F_02_1_0011_0000_name^,^Feral Boar^
^F_02_1_0011_0001_name^,^Feral Boar^
^F_02_1_0011_0002_name^,^Razorback^
^F_03_0_0672_0001_name^,^Wild Buffalo^
^F_03_0_0672_0002_name^,^Matted Buffalo^
^F_03_0_0672_0003_name^,^Spotted Cow^
^F_03_0_0672_0004_name^,^Fierce Buffalo^
^F_03_0_0672_0005_name^,^Fierce Buffalo^
^F_03_0_0309_0002_name^,^Fenris^
^F_04_0_0309_0000_name^,^Cunning Blue Wolf^
^F_04_0_0309_0001_name^,^Savage Blue Wolf^
^F_04_0_0309_0002_name^,^Lashaka^
^F_51_0_0083_0000_name^,^Frostclaw Bear^
^F_02_0_0676_0001_name^,^Taslan the Devourer^
^F_03_0_0676_0001_name^,^Undead Spider^
^F_51_0_0611_0000_name^,^Frost Spider^
^F_02_1_0606_0002_name^,^Cold-Tusk^
^F_03_0_0672_0006_name^,^Tamed Buffalo^
^F_03_0_0671_0001_name^,^Ruins Reindeer^
^F_03_0_0671_0002_name^,^Ambermane Caribou^
^F_03_0_0671_0003_name^,^Darkmane Caribou^
^F_03_0_0671_0005_name^,^Crystalhorn Doe^
^F_03_0_0671_0007_name^,^Ambermane Caribou^
^F_03_0_0671_0008_name^,^Darkhoof Reindeer^
^F_03_0_0671_0009_name^,^Rogaton the W.^
^F_03_0_0692_0000_name^,^Morineh Turtle^
^F_03_0_0769_0000_name^,^Black Wind^
^F_03_0_0769_0001_name^,^Tamed Pony^
^F_02_1_0309_0000_name^,^Black Wolf^
^F_02_0_0676_0002_name^,^Ruins Tarantula^
^F_50_0_0245_0000_name^,^Magma Hound^
^F_03_0_0692_0002_name^,^Lavashell Tortoise^
^F_03_0_1720_0000_name^,^Unicorn^
^F_03_0_0704_0001_name^,^Crimson Shadewing^
^F_02_1_0606_0000_name^,^Fury Boar^
^F_04_0_0245_0000_name^,^Snow Tiger^
^F_04_0_0245_0001_name^,^Krooger^
^F_04_0_0245_0002_name^,^Tamed Snow Tiger^
^F_04_0_0083_0000_name^,^Ferocious Grizzly^
^F_04_0_0083_0001_name^,^Uru^
^F_03_0_0671_0010_name^,^Kellwoods Reindeer^
^F_03_0_0245_0005_name^,^Ignis Hound^
^F_03_0_1715_0001_name^,^Karasha the Dark One^
^F_02_0_0676_0003_name^,^Patula the Rotund^
^F_03_0_0704_0010_name^,^Armored Thunderhawk^
^F_02_1_0007_0000_name^,^Gray Wolf^
^F_03_0_1715_0003_name^,^Invisible Dragon^
^F_00_0_0001_0001_name^,^Stingray Vessel^
^F_03_0_1716_0000_name^,^Emberstone Flamecrest^
^F_03_0_1717_0000_name^,^W. Chaser^
^F_03_0_1718_0000_name^,^Black Stormwing^
^F_00_0_0001_0002_name^,^Floating Whale^
^F_03_0_0769_0002_name^,^War Horse^
^F_03_0_0769_0003_name^,^W. Horse^
^F_03_0_0769_0004_name^,^Bochepa^
^F_03_0_1715_0004_name^,^Pegasus^
^F_03_0_1715_0005_name^,^Redfeather Hatchling^
^F_02_Liger_0001_name^,^Leorid^
^F_02_Tou_0001_name^,^Scalleda^
^F_02_Bsau_0001_name^,^Aranosaur^
^F_04_Fdra_0001_name^,^Flotier^
^F_04_Bdra_0001_name^,^Keeshar^
^F_02_Rhsau_0001_name^,^Baranosaurus^
^F_C01_Unic_0001_name^,^Brakarr Gallant^
^F_03_0_0671_0004_name^,^Large Ruins Reindeer^
^F_03_0_0671_0006_name^,^Ambermane Caribou^
^F_03_0_0671_0011_name^,^Ambermane Doe^
^F_03_0_0671_0012_name^,^Logash^
^F_03_0_0671_0013_name^,^Crystalhorn Stag^
^F_03_0_0083_0004_name^,^Scavenger Bear^
^F_03_Firebird_001_name^,^Emberstone Flamecrest^
^F_03_0_0309_0011_name^,^Shadow Wolf^
^F_03_0_0245_0006_name^,^W.-maned Panther^
^F_03_0_0704_0011_name^,^Laetta^
^F_03_0_0769_0005_name^,^Blood Destrier^
^F_03_0_0672_0008_name^,^Hoonbaba^
^F_03_0_0245_0007_name^,^W.-whisker Panther^
^F_03_0_0672_0009_name^,^Black Bison^
^F_03_0_0245_0008_name^,^Al-Shai^
^F_03_0_0083_0008_name^,^Natan the Tyrant^
^F_03_0_1715_0010_name^,^Ruby Bloodwyrm^
^F_03_0_0671_0014_name^,^King's Caribou^
^F_03_0_0704_0012_name^,^Ashwyrm^
^F_03_0_1717_0002_name^,^Armored Thunderhawk^
^F_06_Ostrich_0001_name^,^Meadow Ostrich^
^F_06_Eagle_0001_name^,^Falcon^
^F_06_Scolpi_0001_name^,^Long-tailed Scorpion^
^F_06_Scolpi_0002_name^,^Big-clawed Scorpion^
^F_03_bull_0001_name^,^Tundra Bison^
^F_03_Wolf_0001_name^,^Feral Snowclaw Wolf^
^F_03_Deer_0001_name^,^Coastal Reindeer^
^F_03_boar_0001_name^,^Whitecap Boar^
^F_14_Toucan_0001_name^,^Blue Zubzub^
^F_07_Toucan_0001_name^,^Abritus^
^F_d08_Pega_0001_name^,^Nightmare^
^F_d14_Blraba_0001_name^,^Blahba^
^F_c02_Brindle_0001_name^,^Brindlefant^
^F_f03_Forst_0001_name^,^Blue Frost Wyvern^
^F_c02_Liones_0001_name^,^Leoness^
^F_c02_Lion_0001_name^,^Latoras^
^F_c02_Elep_0001_name^,^Korunu^
^F_c02_Elep_0002_name^,^Pirune^
^F_c02_Ddog_0001_name^,^Adhel^
^F_d14_Etur_0001_name^,^Helona^
^F_d09_wolf_0001_name^,^Venator^
^F_f05_Eagle_0001_name^,^Verusa^
^F_f05_toucan_0001_name^,^Goldhorn^
^F_f03_Forst_0002_name^,^Terror Kerav^
^F_d03_Etur_0001_name^,^Lahav^
^F_f01_leop_00_01_name^,^Taishma^
^F_f01_leop_00_02_name^,^Shumark^
^F_f01_leop_00_03_name^,^Leoshma^
^F_f03_Casp_0001_name^,^Caspert^
^F_f03_Casp_0002_name^,^Venomous Caspert^
^F_f03_matu_0001_name^,^Gatekeeper Matura^
^F_f03_Snowleo_0001_name^,^Stoneclaw Liger^
^F_03_Wolf_0003_name^,^Blizzard Wolf^
^F_02_Tou_0003_name^,^Scalleda^
^F_f01_Ybird_0001_name^,^Little Bird^
^F_f03_Bdra_0001_name^,^Bonethorpe^
^F_d04_wolf_0001_name^,^Phantom^
^F_d04_wolf_0002_name^,^Frost^
^F_d04_wolf_0003_name^,^Mist^
^F_f03_Tou_0001_name^,^Snowy Owl^
^F_f03_Tou_0002_name^,^Snowy Owl^
^F_02_1_0007_0001_name^,^Gray Wolf^
^F_03_0_1715_0006_name^,^Karasha the Dark One^
^F_02_Tou_0002_name^,^Scalleda^
^F_02_Liger_0003_name^,^Leorid^
^F_04_Fdra_0002_name^,^Flotier^
^F_d02_bear_0001_name^,^Frostclaw Bear^
^F_d03_Etur_0002_name^,^Lahav^
^F_03_Deer_0002_name^,^Coastal Reindeer^
^F_f01_wolf_0000_name^,^Savage Gray Wolf^
^F_f01_wolf_0001_name^,^Gray Wolf Alpha^
^F_f01_wolf_0002_name^,^Ruins Wolf^
^F_f01_wolfel_0000_name^,^Pritsha the Cannibal^
^F_f00_leoel_0000_name^,^Regiment Leopard^
^F_f00_leoel_0001_name^,^Leo^
^F_f00_wolf_0000_name^,^Guard Knights Wolf ^
^F_f02_wolf_0003_name^,^Shadow Wolf^
^F_f02_leoel_0000_name^,^Chakai^
^F_f02_leo_0002_name^,^Panther Prowler^
^F_f02_wolf_0006_name^,^Shadow Wolf^
^F_f02_wolf_0007_name^,^Shadow Hound^
^F_f02_leo_0003_name^,^Highland Panther^
^F_f02_leo_0004_name^,^W.-maned Panther^
^F_f02_bearel_0000_name^,^Trutan^
^F_f02_bear_0001_name^,^Scavenger Bear^
^F_f02_bear_0002_name^,^Warrior Bear^
^F_f02_bear_0003_name^,^Graymane Bear^
^F_f02_bear_0004_name^,^Graymane Bear^
^F_f01_boar_0000_name^,^Feral Boar^
^F_f01_boar_0001_name^,^Feral Boar^
^F_f01_boar_0003_name^,^Razorback^
^F_f02_bull_0001_name^,^Wild Buffalo^
^F_f02_bull_0002_name^,^Matted Buffalo^
^F_f02_bull_0003_name^,^Spotted Cow^
^F_f02_bull_0004_name^,^Fierce Buffalo^
^F_f02_bull_0005_name^,^Fierce Buffalo^
^F_f02_wolf_0009_name^,^Fenris^
^F_f03_wolf_0000_name^,^Cunning Blue Wolf^
^F_f03_wolf_0001_name^,^Savage Blue Wolf^
^F_f03_wolfel_0000_name^,^Lashaka^
^F_f02_spid_0000_name^,^Taslan the Devourer^
^F_f02_spid_0002_name^,^Undead Spider^
