t_key,t_korean,t_jpn,t_chinese,t_enu
^SP0_0_0000_NAME^,^Mammalian spirit energy^,^哺乳系ソウルオーラ^,^^,^^
^SP0_0_0001_NAME^,^Beneficial spirit energy^,^有翼系ソウルオーラ^,^^,^^
^SP0_0_0002_NAME^,^Reptile Spirit Energy^,^爬虫系ソウルオーラ^,^^,^^
^SP0_0_0003_NAME^,^Spirit Of Insect Spirit^,^昆虫系ソウルオーラ^,^^,^^
^SP0_0_0004_NAME^,^Spirit Spirit Spirit^,^精霊系ソウルオーラ^,^^,^^
^EG0_0_0001_NAME^,^Mammalian Life Orb Rank 1^,^哺乳系生命の玉 1等級^,^^,^^
^EG0_1_0001_NAME^,^Mammalian Life Orb Rank 2^,^哺乳系生命の玉 2等級^,^^,^^
^EG0_2_0001_NAME^,^Mammalian Life Orb Rank 3^,^哺乳系生命の玉 3等級^,^^,^^
^EG0_3_0001_NAME^,^Mammalian Life Orb Rank 4^,^哺乳系生命の玉 4等級^,^^,^^
^EG0_0_0002_NAME^,^Beneficial Life Orb Rank 1^,^有翼系生命の玉 1等級^,^^,^^
^EG0_1_0002_NAME^,^Beneficial Life Orb Rank 2^,^有翼系生命の玉 2等級^,^^,^^
^EG0_2_0002_NAME^,^Beneficial Life Orb Rank 3^,^有翼系生命の玉 3等級^,^^,^^
^EG0_3_0002_NAME^,^Beneficial Life Orb Rank 4^,^有翼系生命の玉 4等級^,^^,^^
^EG0_0_0003_NAME^,^Reptile Life Orb Rank 1^,^爬虫系生命の玉 1等級^,^^,^^
^EG0_1_0003_NAME^,^Reptile Life Orb Rank 2^,^爬虫系生命の玉 2等級^,^^,^^
^EG0_2_0003_NAME^,^Reptile Life Orb Rank 3^,^爬虫系生命の玉 3等級^,^^,^^
^EG0_3_0003_NAME^,^Reptile Life Orb Rank 4^,^爬虫系生命の玉 4等級^,^^,^^
^EG0_0_0004_NAME^,^Insect Life Orb Rank 1^,^昆虫系生命の玉 1等級^,^^,^^
^EG0_1_0004_NAME^,^Insect Life Orb Rank 2^,^昆虫系生命の玉 2等級^,^^,^^
^EG0_2_0004_NAME^,^Insect Life Orb Rank 3^,^昆虫系生命の玉 3等級^,^^,^^
^EG0_3_0004_NAME^,^Insect Life Orb Rank 4^,^昆虫系生命の玉 4等級^,^^,^^
^EG0_0_0005_NAME^,^Elemental Life Orb Rank 1^,^精霊系生命の玉 1等級^,^^,^^
^EG0_1_0005_NAME^,^Elemental Life Orb Rank 2^,^精霊系生命の玉 2等級^,^^,^^
^EG0_2_0005_NAME^,^Elemental Life Orb Rank 3^,^精霊系生命の玉 3等級^,^^,^^
^EG0_3_0005_NAME^,^Elemental Life Orb Rank 4^,^精霊系生命の玉 4等級^,^^,^^
