t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^map_f03_west_name^,^파르나의 땅 서부^,^パルナの地西部^,^^,^Western Parna's Coast^,^^,^^
^map_f03_east_name^,^파르나의 땅 동부^,^パルナの地東部^,^^,^Eastern Parna's Coast^,^^,^^
^map_f04_west_name^,^멸망의 공역 서부^,^!!^,^^,^Western Tritael Rift^,^^,^^
^map_f04_east_name^,^멸망의 공역 동부^,^!!^,^^,^Eastern Tritael Rift^,^^,^^
^map_p01_west_name^,^엑자란 서부^,^!!^,^^,^Western Exarahn^,^^,^^
^map_p01_east_name^,^엑자란 동부^,^!!^,^^,^Eastern Exarahn^,^^,^^
^map_f02_west_name^,^하카나스 직할령 서부^,^!!^,^^,^Western Hakanas Highlands^,^^,^^
^map_f02_east_name^,^하카나스 직할령 동부^,^!!^,^^,^Eastern Hakanas Highlands^,^^,^^
^map_f05_west_name^,^불사의 사막 서부^,^!!^,^^,^Western Cloying Wastes^,^^,^^
^map_f05_east_name^,^불사의 사막 동부^,^!!^,^^,^Eastern Cloying Wastes^,^^,^^
^map_f05_dungeon_name^,^불사의 사막 던전^,^!!^,^^,^Cloying Wastes Dungeon^,^^,^^
^fb_0_0000_names^,^라이루드^,^ライルード^,^^,^Lirude^,^^,^^
^fb_0_0000_namel^,^라이루드^,^ライルード^,^^,^Lirude^,^^,^^
^fb_0_0000_map^,^부서진 종탑 광장^,^崩れた鐘塔広場^,^^,^Belltower Plaza^,^^,^^
^fb_0_0000_source^,^얼어붙은 마트렌 폐허 조사단 보고서에서^,^マトレーン調査団報告書にて^,^^,^From a Ruins of Matren investigation^,^^,^^
^fb_0_0000_0^,^마^,^マ^,^^,^L^,^^,^^
^fb_0_0000_1^,^트렌 근방에서 <font color="#0d0088">라이루드</font>는 수 백년간 맹수의 왕이라 불린 존재였다.^,^トレーン近辺にて <font color="0d0088">ライルード</font>は数百年間猛獣の王と呼ばれる存在だった。^,^^,^eorid ruled the lands around Matren for centuries.^,^^,^^
^fb_0_0000_2^,^마트렌이 <font color="#0d0088">얼어붙은 폐허</font>로 변하고 설인대장 산틴이 영역을 넓히던 과정에서 라이루드와 충돌했고, 어둠의 소환사들이 사용한 저주는 라이루드를 무력하게 만들었다.^,^マトレーンが <font color="0d0088">凍てついた廃墟</font>となり、イエティ隊長サンティンが領域を広げている間にライルードと衝突し、闇の召喚師達が使用した呪いはライルードを無力にした。^,^^,^It was a not until the town was invaded by the great yeti Sinthan tHat his rule was challenged. Against their dark magic, Leorid was nothing more than a helpless animal, forced to flee for survival.^,^^,^^
^fb_0_0000_3^,^무^,^無^,^^,^L^,^^,^^
^fb_0_0000_4^,^력해진 라이루드는 그 후로 종적을 감추었고, 더 이상 맹수의 왕이기를 포기한 것 같았다.^,^力になったライルードは姿を消し、それ以来猛獣の王という呼称は人々の記憶から消えていくのであった。^,^^,^eorid disappeared into the wilds, no longer a king from beasts.^,^^,^^
^fb_0_0000_5^,^잃어버린 명예를 되찾길 원하는 라이루드를 길들이려면 얼어붙은 폐허에서 구할 수 있는 <font color="#0d0088">영롱한 수정</font>이 필요하다. 소문에 의하면 얼어붙은 폐허의 <font color="#0d0088">환술사 제페토</font>에게 중요한 단서가 있다고 한다.^,^ライルードを捕獲するためには絶対凍土マトレーンにて得られる <font color="0d0088">玲瓏な水晶</font>が必要となる。噂によれば絶対凍土マトレーンの <font color="0d0088">幻術師ゼフェト</font>に重要な手がかりがあるようだ。^,^^,^Now he wanders, aimless and cruel, still searching for glory. The only time this researcher has seen him pacified was when the dark mage Zepello appeared with a Shining Legendary Item Box crystal. WHatever magic the crystal held, it could prove key to taming the wandeRing king.^,^^,^^
^fb_0_0001_names^,^라이닉^,^破魔のライニック^,^^,^Lynic^,^^,^^
^fb_0_0001_namel^,^라이닉^,^破魔のライニック^,^^,^Lynic^,^^,^^
^fb_0_0001_map^,^푸른 군도^,^碧き群島^,^^,^Beryl Archipelago^,^^,^^
