t_key,t_korean
^F_Mission_001^,^Beak^
^F_Mission_002^,^Frost wind^
^F_Mission_003^,^I am not living^
^F_Mission_004^,^Beast^
^F_Mission_005^,^Awakening Conquest successful^
^F_Mission_006^,^Birth of a new legend^
^F_Mission_007^,^Waking legend^
^F_Mission_008^,^I'm legend^
^F_Mission_009^,^Suspicious Ravini Garden^
^F_Mission_010^,^April cherry blossom fellow^
^F_Mission_011^,^I only eat grass^
^F_Mission_012^,^Awakening Soing Fellow's Gift^
^F_Mission_013^,^Awakening Mecca Fellow's Gift^
^F_Mission_014^,^Valley poisons^
^F_Mission_015^,^Loser^
^F_Mission_016^,^Torch^
^F_Mission_017^,^It will not be easy^
^F_Mission_018^,^Marvelous^
^F_Mission_019^,^Snowfall^
^F_Mission_020^,^Twisted beasts Part1^
^F_Mission_021^,^Twisted beasts Part2^
^F_Mission_022^,^Toward the airspace^
^F_Mission_023^,^I am the best^
^F_Mission_024^,^Bullet taxi^
^F_Mission_025^,^Vivid Fellow^
^F_Mission_026^,^Wild food chain^
^F_Mission_027^,^See you at the ranch^
^F_Mission_028^,^Children in the laboratory Part1^
^F_Mission_029^,^Children in the laboratory Part2^
^F_Mission_030^,^Wolf^
^F_Mission_031^,^Dragon^
^F_Mission_032^,^Sparrow^
^F_Mission_033^,^Tap^
^F_Mission_034^,^Please ask for a cat^
^F_Mission_035^,^Spider web^
^F_Mission_036^,^Threatening guys^
^F_Mission_037^,^Jungle exploration^
^F_Mission_038^,^Battlefield^
^F_Mission_039^,^Summer^
^F_Mission_040^,^Even though it's slow^
^F_Mission_041^,^It's a dragon^
^F_Mission_042^,^Regret^
^F_Mission_043^,^Velvation good for the body^
^F_Mission_044^,^Toward ancient times^
^F_Mission_045^,^Ancient Fellow's Gift^
^F_Mission_046^,^Indon where have you been there^
^F_Mission_047^,^Horn vs molar^
^F_Mission_048^,^Proof^
^F_Mission_049^,^Collection^
^F_Mission_050^,^MentoRing^
^F_Mission_051^,^Symbol^
^F_Mission_052^,^Introduction to evolutionary science^
^map_c00_RewardDesc^,^common^
^map_f01_RewardDesc^,^Hero Pet -Level 55 <UI_Y> Sealing Stone Maximum Level Option -Magic series </ui_g> magic damage 234 ~ 245 Magic Critical damage 171 ~ 178 Intelligence 35 when strengthening all stats 26 ~ 30 +5 ??</ui_g> <</ui_g> < UI_Y> Sealing Stone Maximum Level Option -Physical Attack </ui_y> <UI_G> Physical Attack 223 ~ 234 Physical Critical damage 164 ~ 170 All stats 26 ~ 30 +5 ??strength when strengthening </ui_g>^
^map_c01_RewardDesc^,^Legendary Pet -Level 60 <UI_Y> Sewing Stone Maximum Level Options </ui_y> <UI_G> All Attacks 246 ~ 260 All Critical damage 250 ~ 262 All stats 30 ~ 34 +5^
^map_f02_RewardDesc^,^Legend +Level Fellow -Level 60 <UI_Y> Sealing Stone Maximum Level Options </ui_y> <UI_G> All Attacks 269 ~ 285 Maximum Health 600 ~ 620 All Stat 34 ~ 38 +5 All Stat 17 </UI_G>^
^map_f09_RewardDesc^,^Legend Legend Fellow -Level 60 <UI_Y> Sealing Stone Maximum Level Options </ui_y> <UI_G> All Attack 266 ~ 278 Legend Absorption Chance 25% ~ 25% Health Absorption 1% ~ 1% +5 Health 350 </UI_G>^
^map_f03_RewardDesc^,^Legend +Level Pet -Level 60 <UI_Y> Sealing Stone Maximum Level Option -Magic series </ui_y> <Ui_g> Intelligence 170 ~ 178 Mind 188 ~ 198 All Stat 34 ~ 38 + UI_Y> Sewing Stone Maximum Level Option -Physical series </ui_y> <UI_G> Power 162 ~ 170 Agility 181 ~ 190 All Stat 34 ~ 38 +5 Unlock 23 </ui_g>^
^map_p01_RewardDesc^,^Legend +Level Pet -Level 60 <UI_Y> Sealing Stone Maximum Level Options </ui_y> <Ui_g> All critical damage 381 ~ 398 Critical damage decreased 299 ~ 315 All stats 36 ~ 40 +5 UI_G>^
^map_f04_RewardDesc^,^Legend +Level Fellow -Level 60 <UI_Y> Seal Stone Maximum Level Options </ui_y> <UI_G> All Attacks 278 ~ 292 All Critical damage 233 ~ 245 All stats 34 ~ 38 +5 >^
^map_f05_RewardDesc^,^Legend +Level Fellow -Level 60 <UI_Y> Seal Stone Maximum Level Options </ui_y> <UI_G> All Attack 285 ~ 299 Maximum Health 605 ~ 635 All Stat 36 ~ 40 +5 All Stats 15 </UI_G>^
^map_f07_RewardDesc^,^Legend +Level Fellow -Level 60 <UI_Y> Seal Stone Maximum Level Options </UI_Y> <UI_G> Maximum Life 644 ~ 674 All defense 233 ~ 245 All stats 34 ~ 38 +5^
^map_f08_RewardDesc^,^Legend +Level Fellow -Level 67 <UI_Y> Sealing Stone Maximum Level Option -Magic series </ui_y> <UI_G> Intelligence 203 ~ 213 Mind 205 ~ 215 All Stat 41 ~ 43 + UI_Y> Sewing Stone Maximum Level Options -Physical series </ui_y> <UI_G> Power 203 ~ 213 Agility 205 ~ 215 All Stat 41 ~ 43 +5 Unlock 27 </ui_g>^
^map_d99_RewardDesc^,^Infinite Pagoda^
^map_p02_RewardDesc^,^Legend +Level Fellow -Level 60 <UI_Y> Seal Stone Maximum Level Options </ui_y> <UI_G> All Attacks 293 ~ 310 All Critical damage 306 ~ 320 All stats 38 ~ 42 +5^
^map_c02_RewardDesc^,^Legend +Level Fellow -Level 60 <UI_Y> Sealing Stone Maximum Level Options </ui_y> <UI_G> All Attack 293 ~ 308 All Critical damage 275 ~ 288 Unleashes 38 ~ 42 +5 Unlocking Stat Limit 30 </ui_g>^
^map_f00_RewardDesc^,^Sarant prison^
^map_n01_RewardDesc^,^common^
^F_Mission_001_RewardDesc^,^When used one of the heroes of the Land of Parna can be obtained With a low probability you can get a sign of taming legendary fellows^
^F_Mission_002_RewardDesc^,^When used you can acquire one of the Hero Fellow Taming signs of the Communication of Destruction With a low probability you can get a sign of taming legendary fellows^
^F_Mission_003_RewardDesc^,^When used you can get one of the immortal hero fellow taming signs With a low probability you can get a sign of taming legendary fellows^
^F_Mission_004_RewardDesc^,^Hero -class Pet -Level 40 <UI_Y> Sealing Stone Maximum Level Options </ui_y> <Ui_g> All critical damage 381 ~ 398 Critical damage decreased 299 ~ 315 All stats 36 ~ 40 </ui_g> +5 Bleeding rate when strengthening %</Ui_g>^
^F_Mission_005_RewardDesc^,^Legendary Fellow -Level 40 <UI_Y> Sealing Stone Maximum Level Options </ui_y> <UI_G> All Attacks 133 ~ 155 Attacks 4% All Stats 27 ~ 31 </ui_g> +5 All stats 1 ~ 2 </ui_g </ui_g </ui_g </ui_g >^
^F_Mission_006_RewardDesc^,^When used you can get one of the following items with a certain probability <UI_G> Fellow: Awakening Hamion Fellow: Awakening Kalipto Fellow: Awakening Demonus Fellow: Awakening Gravion Fellow: Awakening Shakiba Fellows: Awakening Rodes </ui_g>^
^F_Mission_007_RewardDesc^,^You can get four steps of 5 boosters when used <UI_G> Fellow Taming Booster Lv 5 Item Making Daesung Public Booster Lv 5 Item Enhancement Booster Booster Booster Booster Booster Lv 5 </ui_g>^
