t_key,t_korean
^GMC_0^,^THat skill cannot be used while moving.^
^GMC_1^,^Still on cooldown.^
^GMC_2^,^You have been disconnected from the server.^
^GMC_3^,^You do not have enough energy.^
^GMC_4^,^Nedin is dead. Press the number 0 key to revive it.^
^GMC_5^,^Your familiar has died and must be revived.^
^GMC_6^,^Wrong target.^
^GMC_7^,^THat skill cannot be used while you are dead.^
^GMC_8^,^Nedin cannot be switched.^
^GMC_9^,^Select a target first.^
^GMC_19^,^Cannot be equipped at your level.^
^GMC_20^,^Drag the item to replace it.^
^GMC_21^,^You do not have enough money for the trade.^
^GMC_22^,^This item cannot be thrown away.^
^GMC_23^,^You have no familiars tHat can be linked.^
^GMC_24^,^This item cannot be sold.^
^GMC_25^,^Related item is not equipped.^
^GMC_26^,^The item's durability has reached 0.^
^GMC_27^,^You do not meet the level requirement for this item.^
^GMC_28^,^Your solidarity is too low.^
^GMC_29^,^You do not have any solidarity items.^
^GMC_30^,^You cannot equip items duRing this status.^
^GMC_31^,^You have reached the refinement limit.^
^GMC_32^,^You have reached the crafting limit.^
^GMC_33^,^You do not have enough items.^
^GMC_35^,^Your class cannot equip this.^
^GMC_36^,^Your stats are too low to equip this item.^
^GMC_37^,^You cannot equip Armor duRing battle.^
^GMC_38^,^You cannot unequip Armor duRing battle.^
^GMC_39^,^You receive [ItemName] x[ItemCount].^
^GMC_40^,^You deleted [ItemName].^
^GMC_41^,^You now have [ItemName] x[ItemCount].^
^GMC_42^,^Cannot be equipped here.^
^GMC_43^,^Would you like to purchase more space?^
^GMC_44^,^This will cost [Cost].^
^GMC_45^,^Not an appropriate location.^
^GMC_46^,^You cannot equip or replace items right now.^
^GMC_47^,^You cannot use items while charging.^
^GMC_48^,^Cannot be used.^
^GMC_49^,^Do you want to use this [ItemName]?^
^GMC_50^,^A [WeaponType] is already equipped.^
^GMC_71^,^This item cannot be traded.^
^GMC_73^,^[Target] requested a trade. Do you want to accept?^
^GMC_100^,^Other players won't appear in safe areas. ([ShortcutKey])^
^GMC_101^,^Other players will appear in safe areas. ([ShortcutKey])^
^GMC_102^,^RTS Camera Mode cannot be used here.^
^GMC_139^,^You can only use when your [GaugeParam] is at [Value].^
^GMC_140^,^You cannot level up any more.^
^GMC_141^,^Training familiars cannot learn skills.^
^GMC_142^,^You cannot activate tHat skill without the correct weapon equipped.^
^GMC_143^,^You cannot use this skill without a weapon.^
^GMC_144^,^You do not have enough [GaugeParam] to use tHat.^
^GMC_145^,^Your [GaugeParam] must be higher than [Value] to use tHat.^
^GMC_146^,^Your [GaugeParam] must be lower than [Value] to use tHat.^
^GMC_147^,^You do not have enough skill points.^
^GMC_148^,^Select a target first.^
^GMC_149^,^There are no familiars to revive.^
^GMC_150^,^This skill cannot be used while moving.^
^GMC_151^,^Global cooldown in progress.^
^GMC_152^,^[SkillName] is currently on [TimeType].^
^GMC_153^,^This item isn't ready yet.^
^GMC_154^,^There are no skill slots available.^
^GMC_155^,^There are no familiars to be replaced.^
^GMC_156^,^You cannot move while using this skill.^
^GMC_157^,^[UserName] cannot learn this class skill.^
^GMC_158^,^You are too close.^
^GMC_159^,^The link skill level is too low.^
^GMC_160^,^To learn this skill, you need to learn the link skill first.^
^GMC_161^,^Not enough cumulative skill points.^
^GMC_162^,^You must be invisible to use this skill.^
^GMC_163^,^The target is not within the skill area.^
^GMC_164^,^Incorrect attack direction.^
^GMC_165^,^[SkillName] activated.^
^GMC_166^,^You cannot use this skill duRing battle.^
^GMC_167^,^You cannot use this skill outside of battle.^
^GMC_168^,^You cannot activate this skill right now.^
^GMC_169^,^You can only use this skill while stealthed.^
^GMC_170^,^This is a passive skill.^
^GMC_171^,^The target is out of range.^
^GMC_172^,^This skill will not work on the target.^
^GMC_173^,^The target is out of range.^
^GMC_174^,^Skill charge canceled.^
^GMC_175^,^Cannot be used in the air.^
^GMC_176^,^You are rooted while casting this spell.^
^GMC_177^,^You do not have a familiar summoned.^
^GMC_178^,^Your currently summoned familiar does not have this skill.^
^GMC_179^,^Select target area.^
^GMC_180^,^You must have line-of-sight on the target to use this skill.^
^GMC_181^,^Something is blocking your skill.^
^GMC_300^,^You cannot use this skill right now.^
^GMC_401^,^You cannot emote on a mount.^
^GMC_402^,^This action is not available while dead.^
^GMC_500^,^This name cannot be used.^
^GMC_501^,^You cannot create any more characters.^
^GMC_600^,^/Sound when moving for the first time after 10 seconds of idle^
^GMC_601^,^/When switching to a 3rd familiar while your current familiar is on standby^
^GMC_602^,^/When your familiar's health falls below 10%^
^GMC_603^,^/When gatheRing familiars from holding down the space bar^
^GMC_604^,^/When press the use skill button for the third familiar in queue^
^GMC_605^,^/When reviving after death^
^GMC_606^,^/When familiars tHat aren't yours have been clicked more than three times in a row^
^GMC_607^,^/When drawing weapons^
^GMC_608^,^/When a familiar uses powerful skills such as creation skill and potential skill^
^GMC_700^,^Some changes will not be applied until you restart the game.^
^GMC_701^,^Reset all options to their default values?^
^GMC_800^,^Disbanding party.^
^GMC_801^,^You left the party.^
^GMC_802^,^[Target] has invited you to a party.^
^GMC_803^,^[Target] has declined your party invitation.^
^GMC_804^,^[Target] has left.^
^GMC_805^,^[Target] has been kicked from the party.^
^GMC_806^,^Party members are free to take wHat they want.^
^GMC_807^,^Party members will take turns getting items.^
^GMC_808^,^One party member will be designated to receive all items.^
^GMC_809^,^All items will be subject to your party's item distribution rules.^
^GMC_810^,^Only Elite or better items will be subject to your party's item distribution rules. All others are free to all members.^
^GMC_811^,^Only Heroic or better items will be subject to your party's item distribution rules. All others are free to all members.^
^GMC_812^,^Only Legendary items will be subject to your party's item distribution rules. All others are free to all members.^
^GMC_813^,^Party information changed.^
^GMC_814^,^Party disbanded.^
^GMC_815^,^[Target] has been made the party leader.^
^GMC_816^,^Only Common or better items will be subject to your party's item distribution rules. All others are free to all members.^
^GMC_817^,^[Target] joined the raid.^
^GMC_818^,^Do you want to roll the dice for the [ItemName]?^
^GMC_819^,^[UserName] rolled [Number].^
^GMC_820^,^[UserName] forfeited.^
^GMC_821^,^Item distribution rules changed.^
^GMC_822^,^You reached level [Level].^
^GMC_823^,^You sent a party request to [Target].^
^GMC_824^,^[Target] wants to join your party. Do you want to accept?^
^GMC_825^,^[Target] wants to join your raid. Do you want to accept?^
^GMC_826^,^[Target] wants to summon you.Do you want to accept?^
^GMC_827^,^[Target] wants a ride.Do you want to accept?(Open Seats: [Second])^
^GMC_828^,^[Target] wants to take you on a ride. Do you want to accept?^
^GMC_829^,^[Target] rejected your mount request.^
^GMC_830^,^Your request to ride [Target]'s mount expired.^
^GMC_831^,^[Target] declined your mount request.^
^GMC_832^,^The invitation to ride [Target]'s mount expired.^
^GMC_850^,^[Target] invited you join the raid.^
^GMC_851^,^You invited [Target] to join the raid.^
^GMC_852^,^Are you ready for battle?^
^GMC_900^,^You don't have an ore extractor in your bag.^
^GMC_1000^,^Only Nedin can Collect.^
^GMC_1001^,^[Target] is about to begin the quest, [QuestName]. Do you want to accept?^
^GMC_1002^,^[QuestName] objectives completed.^
^GMC_1003^,^[QuestName] failed. Speak with the quest giver to try again.^
^GMC_1004^,^Talk to [NpcName]^
^GMC_1005^,^[QuestName] accepted.^
^GMC_1006^,^[QuestName] completed.^
^GMC_1007^,^[QuestName] canceled.^
^GMC_1008^,^[UserName] cannot share [QuestName].^
^GMC_1009^,^[QuestName] has been shared. Do you want to accept?^
^GMC_1010^,^You are in a status tHat cannot fulfill the quest .^
^GMC_1011^,^Please select another item.^
^GMC_1012^,^You have [ItemCount] items tHat can be selected.^
^GMC_2100^,^[Target] wants to fight! Do you want to accept?^
^GMC_2101^,^You challenged [Target] to a fight.^
^GMC_2102^,^[Target] has declined your fight.^
^GMC_2103^,^The battle challenge has expired.^
^GMC_2104^,^You won the battle.^
^GMC_2105^,^You lost the battle.^
^GMC_2106^,^You are out of dueling range.^
^GMC_2107^,^[Winner] defeated [Loser] in glorious battle.^
^GMC_2108^,^You area too far away to issue a battle challenge.^
^GMC_2109^,^The battle has been canceled.^
^GMC_2110^,^The battle has been canceled because your opponent is out of range.^
^GMC_2111^,^You cannot convert back to normal mode duRing a battle.^
^GMC_2112^,^You have declined the battle challenge.^
^GMC_2200^,^[Target] is on the hunt!^
^GMC_2201^,^[Target] is dominating.^
^GMC_2202^,^[Target] is celebrating the festival of blood!^
^GMC_2203^,^[Target]'s hunt has been canceled.^
^GMC_2204^,^[Target]'s domination has been shut down.^
^GMC_2205^,^[Target]'s festival of blood has been ended.^
^GMC_2206^,^[Target] obtained absolute power.^
^GMC_2207^,^[Target]'s absolute power is no more.^
^GMC_2208^,^Stopping a hunt increased your kill streak by [Value].^
^GMC_2209^,^Stopping a domination increased your kill streak by [Value].^
^GMC_2210^,^Stopping a festival of blood increased your kill streak by [Value].^
^GMC_2211^,^Stopping the absolute power increased your kill streak by [Value].^
^GMC_3000^,^You can't move.^
^GMC_3001^,^You can't act.^
^GMC_3002^,^You are terrified.^
^GMC_4000^,^You were forced to quit because of a multiple logins.^
^GMC_4001^,^You were forced to quit because of a service operation.^
^GMC_4002^,^You were forced to quit because of a program error.^
^GMC_4003^,^You were forced to quit because of idle time.^
^GMC_4004^,^You were forced to quit because of an unknown reason.^
^GMC_4005^,^You are already connected.^
^GMC_4006^,^You have failed to connect.^
^GMC_4007^,^Cannot contact login server. Please try again.^
^GMC_4008^,^Unable to connect to the game server.Please try again later.^
^GMC_4009^,^There has been an error with the connection order.^
^GMC_4010^,^This is an invalid username.^
^GMC_4011^,^This is an invalid pasSword.^
^GMC_4012^,^This username has been blocked.^
^GMC_4013^,^This account has been blocked.^
^GMC_4014^,^You are not registered as a player.^
^GMC_4015^,^This account has logged on at a different location.^
^GMC_4016^,^There has been a DB query error.^
^GMC_4017^,^The account is at its maximum value.^
^GMC_4018^,^Not connected to the main server.^
^GMC_4019^,^This server is at maximum capacity.^
^GMC_4020^,^Invalid packet.^
^GMC_4021^,^An unknown error has occurred.^
^GMC_4022^,^Channel entry failed.^
^GMC_4023^,^A DB error has occurred.^
^GMC_4024^,^You do not have any more character slots.^
^GMC_4025^,^THat character doesn't exist.^
^GMC_4026^,^Enter a name for your character. 

Names must be between 4-16 alphanumerical characters and must contain at least 1 letter.^
^GMC_4027^,^Names must be between 4-16 alphanumerical characters and must contain at least 1 letter.^
^GMC_4028^,^[Slang] is a prohibited word.^
^GMC_4029^,^Making a second download attempt....^
^GMC_4030^,^This world is not listed.^
^GMC_4031^,^This world is not open.^
^GMC_4032^,^You have selected the same world.^
^GMC_4033^,^This world has too many players.^
^GMC_4034^,^This player has been blocked.^
^GMC_4035^,^A packet error has occurred.^
^GMC_4036^,^Systematic error has occurred.^
^GMC_4037^,^Connection to login authentication server lost. Ending game.^
^GMC_4038^,^Connection to game server lost. Ending game.^
^GMC_4039^,^Your pasSword must be 2-20 characters.^
^GMC_4040^,^Your username must be 2-20 characters.^
^GMC_5000^,^The number of command factors is incorrect.(Over)^
^GMC_5001^,^The number of command factors is incorrect.(Under)^
^GMC_5002^,^Command invalid. Commands are case sensitive.^
^GMC_5003^,^First factor value invalid.^
