t_key,t_korean
^IN_CM_0_0001_Name^,^Return seat^
^IN_CM_0_0002_Name^,^Resurrection point^
^IN_CM_0_0003_Name^,^Mobile portal^
^IN_CM_0_0004_Name^,^Dungeon treasure chest^
^IN_CM_0_0005_Name^,^Soul^
^IN_CM_0_0006_Name^,^Soul decision^
^IN_CM_0_0007_Name^,^Soul decision^
^IN_CM_0_0008_Name^,^Ice soul decision^
^IN_CM_0_0009_Name^,^mailbox^
^IN_CM_0_0010_Name^,^Ripman's wand^
^IN_FR_0_0001_Name^,^Akracin's hammer^
^IN_FR_1_0002_Name^,^Key box^
^IN_SF_1_0001_Name^,^Broken box^
^IN_SF_1_0002_Name^,^Bragi^
^IN_SF_1_0003_Name^,^Explosive box^
^IN_SF_1_0004_Name^,^Supervisor^
^IN_SF_1_0005_Name^,^Shining stone^
^IN_SF_1_0006_Name^,^Ruby^
^IN_SF_1_0007_Name^,^Cold crystal^
^IN_SF_1_0008_Name^,^Altar^
^IN_SF_1_0009_Name^,^Summoner Summoning Area^
^IN_SP_1_0001_Name^,^Iron bar^
^IN_SP_1_0002_Name^,^Weapon box^
^IN_SP_1_0003_Name^,^Thick iron gate^
^IN_SP_1_0004_Name^,^Iron bar^
^IN_SP_1_0005_Name^,^Lock^
^IN_SP_1_0006_Name^,^Thick iron gate^
^IN_SP_1_0007_Name^,^Thick iron gate^
^IN_SP_1_0008_Name^,^Airship^
^IN_SP_1_0009_Name^,^Weapon box^
^IN_SP_1_0010_Name^,^Weapon box^
^IN_SP_1_0011_Name^,^Weapon box^
^IN_SP_1_0012_Name^,^Weapon box^
^IN_TEST_1_0001_Name^,^Test^
^IN_SP_1_0013_Name^,^Bragi treasure chest^
^IN_SP_1_0014_Name^,^Weapon holder^
^IN_SP_1_0015_Name^,^Hill^
^IN_SP_1_0016_Name^,^Iron gate^
^IN_SP_1_0017_Name^,^Iron gate^
^IN_SP_1_0018_Name^,^Gansujang Ganghwa Stone^
^IN_SF_1_0010_Name^,^Old box^
^IN_SF_1_0011_Name^,^Bragi tree prison gate^
^IN_SP_1_0019_Name^,^Weapon holder^
^IN_SP_1_0020_Name^,^Weapon holder^
^IN_HK_0_0001_Name^,^Black meat^
^IN_HK_0_0002_Name^,^Dark Book^
^IN_HK_0_0003_Name^,^Faint street lamp^
^IN_HK_0_0004_Name^,^Cursed seedlings^
^IN_HK_0_0005_Name^,^jerky^
^IN_HK_0_0006_Name^,^A stone statue holding a lamp^
^IN_HK_0_0007_Name^,^Street lamp^
^IN_HK_0_0008_Name^,^Wooden cart^
^IN_CM_0_0011_Name^,^book^
^IN_CM_0_0012_Name^,^carrot^
^IN_CM_0_0013_Name^,^Baggage^
^IN_CM_0_0014_Name^,^Gunpowder^
^IN_CM_0_0015_Name^,^Metal box^
^IN_CM_0_0016_Name^,^First -aid^
^IN_CM_0_0017_Name^,^milestone^
^IN_CM_0_0018_Name^,^Small sack^
^IN_CM_0_0019_Name^,^Rugged wooden box^
^IN_FR_0_0003_Name^,^Santine breaks wall^
^IN_FR_0_0004_Name^,^Frozen box^
^IN_FR_0_0005_Name^,^Lump of land^
^IN_HK_0_0009_Name^,^Big food bag^
^IN_HK_0_0010_Name^,^Big bag^
^IN_HK_0_0011_Name^,^Old wooden box^
^IN_HK_0_0012_Name^,^Old wooden box^
^IN_HK_0_0013_Name^,^Old wooden box^
^IN_HK_0_0014_Name^,^Shabby box^
^IN_HK_0_0015_Name^,^Shining tree^
^IN_HK_0_0016_Name^,^Vegetable pain^
^IN_HK_0_0017_Name^,^Food bag^
^IN_HK_0_0018_Name^,^Seed sack^
^IN_HK_0_0019_Name^,^Vegetable pain^
^IN_HK_0_0020_Name^,^Jack's diary^
^IN_HK_0_0021_Name^,^Big food bag^
^IN_SP_1_0021_Name^,^The beast our Cheolchangmun^
^IN_SP_1_0022_Name^,^The beast our Cheolchangmun^
^IN_SP_1_0023_Name^,^Thick iron gate^
^IN_HK_0_0022_Name^,^Shining wooden crystal^
^IN_FR_0_0006_Name^,^Santin House roof^
^IN_CM_0_0020_Name^,^Sign^
^IN_SP_1_0024_Name^,^Thick iron gate^
^IN_MA_02_0007_0000_Name^,^Gray Wolf Soul Stone^
^IN_MA_02_0007_5000_Name^,^A full gray wolf soulstone^
^IN_MA_02_0007_0002_Name^,^Senior Wolf Soul Stone^
^IN_MA_02_0007_5002_Name^,^Full of ferocious wolf soulstone^
^IN_MA_02_0007_0003_Name^,^Ruins^
^IN_MA_02_0007_5003_Name^,^A full ruins wolf soulstone^
^IN_MA_02_0309_0000_Name^,^Male^
^IN_MA_02_0309_5000_Name^,^A full male Fritsha soulstone^
^IN_MA_03_0309_0000_Name^,^Wounded Wolf (Level 14) Soul Stone^
^IN_MA_03_0309_5000_Name^,^A full wolf (level 14) soulstone^
^IN_MA_03_0309_0001_Name^,^Shadow Shadow Wolf (Level 16) Soul Stone^
^IN_MA_03_0309_5001_Name^,^Full Dark Shadow Wolf (Level 16) Soul Stone^
^IN_MA_03_0309_0004_Name^,^Shadow Shadow Wolf Soul Stone^
^IN_MA_03_0309_5004_Name^,^Shadow shadow wolf soulstone^
^IN_MA_03_0309_0005_Name^,^Sudden Shadow Wolf Soul Stone^
^IN_MA_03_0309_5005_Name^,^A full -filled shadow wolf soulstone^
^IN_MA_03_0245_0000_Name^,^Black Potim Soul Stone^
^IN_MA_03_0245_5000_Name^,^A full black porch soulstone^
^IN_MA_03_0245_0001_Name^,^The Great King Leo^
^IN_MA_03_0245_5001_Name^,^Full Great King Leo Khakai Soul Stone^
^IN_MA_03_0309_0007_Name^,^San Surf Wild Wolf Soul Stone^
^IN_MA_03_0309_5007_Name^,^Full San Surf Surf Wild Wolf Soul Stone^
^IN_MA_03_0245_0002_Name^,^Rougher^
^IN_MA_03_0245_5002_Name^,^Full -filled coarse leopard soulstone^
^IN_MA_03_0309_0008_Name^,^Wounded Wolf (Level 17) Soul Stone^
^IN_MA_03_0309_5008_Name^,^A full wolf (level 17) soulstone^
^IN_MA_03_0309_0009_Name^,^Shadow Shadow Wolf (Level 17) Soul Stone^
^IN_MA_03_0309_5009_Name^,^Full Dark Shadow Wolf (Level 17) Soul Stone^
^IN_MA_03_0309_0010_Name^,^Tamed Wolf (Level 16) _ Slave Soul Stone^
^IN_MA_03_0309_5010_Name^,^Full tamed wolf (Level 16) _ Slave Soul Stone^
^IN_MA_03_0309_0011_Name^,^Shadow Shadow Wolf (Level 17) _ Slave Soul Stone^
^IN_MA_03_0309_5011_Name^,^Full Dark Shadow Wolf (Level 17) _ Slave Soul Stone^
^IN_MA_03_0245_0003_Name^,^Vicious Black Taecom (Level 25) Soul Stone^
^IN_MA_03_0245_5003_Name^,^A full black vote (level 25) soulstone^
^IN_MA_03_0245_0004_Name^,^Vicious Black Potter (Level 26) Soul Stone^
^IN_MA_03_0245_5004_Name^,^A full black vote (level 26) soulstone^
^IN_MA_03_0083_0000_Name^,^Hungry Bear (Level 15) Soul Stone^
^IN_MA_03_0083_5000_Name^,^A full hungry bear (level 15) soulstone^
^IN_MA_03_0083_0001_Name^,^Bow head Trutan Soul Stone^
^IN_MA_03_0083_5001_Name^,^Full head Trutan Soul Stone^
^IN_MA_03_0083_0002_Name^,^Soul Bear Soul Stone^
^IN_MA_03_0083_5002_Name^,^A full blast brown bear soul stone^
^IN_MA_03_0083_0003_Name^,^Brown Bear (Level 14) Soul Stone^
^IN_MA_03_0083_5003_Name^,^Full brown bear (Level 14) Soul Stone^
^IN_MA_03_0083_0004_Name^,^Hungry Bear (Level 16) Soul Stone^
^IN_MA_03_0083_5004_Name^,^A full hungry bear (level 16) soulstone^
^IN_MA_03_0083_0005_Name^,^Brown Bear (Level 15) Soul Stone^
^IN_MA_03_0083_5005_Name^,^Full brown bear (Level 15) Soul Stone^
