t_key,t_korean
^AC0_0_1000_Name^,^Maria's Charm^
^AC0_1_1000_Name^,^Swift Cooldown Necklace (99%)^
^AC0_0_9999_Name^,^Ring for Testing_Critical Hit (100)^
^AC0_0_9989_Name^,^Ring for Testing_Critical Hit (30)^
^AC0_0_9988_Name^,^Ring for Testing_Critical Hit (70)^
^AC0_0_10001_Name^,^Royal Family Ring^
^AC0_0_10002_Name^,^Poe's Ring^
^AC0_0_21001_Name^,^Fairy Ring^
^AC0_0_21011_Name^,^Woodland Crystalmight Ring^
^AC0_0_21012_Name^,^Woodland Crystalmind Ring^
^AC0_0_21013_Name^,^Woodland Crystalheart Ring^
^AC0_0_21501_Name^,^Marauder Ring^
^AC0_0_21511_Name^,^Detachment Ring of STR^
^AC0_0_21512_Name^,^Detachment Ring of Wisdom^
^AC0_0_21513_Name^,^Detachment Ring of DEX^
^AC0_0_31501_Name^,^Emberstone Ring^
^AC0_0_22001_Name^,^Vampire Ring^
^AC0_0_22011_Name^,^Militia Ring of STR^
^AC0_0_22012_Name^,^Militia Ring of Wisdom^
^AC0_0_22013_Name^,^Militia Ring of DEX^
^AC0_0_32001_Name^,^Cursed Ring^
^AC0_0_22501_Name^,^Firmament Ring^
^AC0_0_22521_Name^,^Corrupted Ring^
^AC0_0_32501_Name^,^Frozen Ring^
^AC0_0_23001_Name^,^Snowfield Ring^
^AC0_0_33001_Name^,^Attaius Ring^
^AC0_0_23501_Name^,^Frost Guard Ring^
^AC0_0_33501_Name^,^Ankelion Ring^
^AC0_0_24001_Name^,^Supreme Commander Ring^
^AC0_1_21001_Name^,^Ancient Braghin Necklace^
^AC0_1_22001_Name^,^Vampire Necklace^
^AC0_1_22011_Name^,^Militia Necklace of STR^
^AC0_1_22012_Name^,^Militia Necklace of Wisdom^
^AC0_1_22013_Name^,^Militia Necklace of DEX^
^AC0_1_32001_Name^,^Cursed Necklace^
^AC0_1_22501_Name^,^Attaius Necklace^
^AC0_1_22521_Name^,^Emberstone Necklace^
^AC0_1_32501_Name^,^Frozen Necklace^
^AC0_1_23001_Name^,^Corrupted Necklace^
^AC0_1_33001_Name^,^Ankelion Necklace^
^AC0_1_23501_Name^,^Supreme Commander Necklace^
^AC0_1_33501_Name^,^Fairy Necklace^
^AC0_1_24001_Name^,^Marauder Necklace^
^AC0_0_1001_Name^,^Ruby Ring^
^AC0_0_1141_Name^,^Knight Errant Ring^
^AC0_0_1142_Name^,^Hakanas Hero Ring^
^AC0_0_2141_Name^,^Blackblood Ring of STR^
^AC0_0_2142_Name^,^Blackblood Ring of DEX^
^AC0_0_2143_Name^,^Blackblood Ring of INT^
^AC0_1_2141_Name^,^Frosted Sapphire Necklace of CONS^
^AC0_1_2142_Name^,^Frosted Sapphire Necklace of Wisdom^
^AC0_1_2143_Name^,^Frosted Sapphire Necklace of STR^
^AC0_1_2144_Name^,^Frosted Sapphire Necklace of DEX^
^AC0_1_2145_Name^,^Frosted Sapphire Necklace of INT^
^AC0_1_2261_Name^,^Water Pendant^
^AC0_1_2262_Name^,^Tempered Water Pendant^
^AC0_0_2261_Name^,^Promise Ring^
