t_key,t_korean
^AC0_0_6000_Name^,^Blessed Simrok's Necklace^
^AC0_1_6000_Name^,^Blessed Simrok's Ring I^
^AC0_0_6001_Name^,^Simrok's Necklace^
^AC0_1_6001_Name^,^Blessed Simrok's Ring II^
^AC0_1_6002_Name^,^Simrok's Ring I^
^AC0_1_6003_Name^,^Simrok's Ring II^
^AC0_0_6002_Name^,^Chimer Ring I^
^AC0_1_6004_Name^,^Chimer Ring II^
^AC0_1_6005_Name^,^Chimer Necklace^
^pvpAC0_1_5570_Name^,^Abyss Captain Necklace^
^pvpAC0_0_5570_Name^,^Abyss Captain Ring I^
^pvpAC0_2_5570_Name^,^Abyss Captain Ring II^
^AC5_1_6000_Name^,^Zelnaris Ring I^
^AC5_1_6001_Name^,^Zelnaris Ring II^
^AC5_0_6000_Name^,^Zelnaris Necklace^
^AC_A_604_6000_Name^,^Alsacian Ring I^
^AC_A_604_6001_Name^,^Alsacian Ring II^
^AC_A_604_6002_Name^,^Alsacian Necklace^
^AC0_CA2_5000_Name^,^Ellora Ring I^
^AC0_CA2_5001_Name^,^Ellora Ring II^
^AC0_CA2_5002_Name^,^Ellora Necklace^
^PVP_AC_A_400_6000_Name^,^Teleo Dark Ring I^
^PVP_AC_A_400_6001_Name^,^Teleo Dark Ring II^
^PVP_AC_A_400_6002_Name^,^Teleo Dark Necklace^
^AC0_0_2286_Name^,^Royal^
^CA_AC_A_604_6002_Name^,^ShaRing's Twinkle^
^AC0_ca2_4_0_0001_Name^,^(Permanent) Karasha's Ring I^
^AC0_ca2_4_0_0002_Name^,^(Permanent) Karasha's Ring II^
^AC0_ca2_4_1_0003_Name^,^(Permanent) Karasha's Necklace^
^AC0_EV_4_0_0001_Name^,^Reaper Rings I^
^AC0_EV_4_0_0002_Name^,^Reaper Rings II^
^AC0_EV_4_0_0003_Name^,^Reaper's Necklace^
^AC0_EV_3_0_0001_Name^,^Ring of the Royal Spirit I^
^AC0_EV_3_0_0002_Name^,^Ring of the Royal Spirit II^
^AC0_EV_3_0_0003_Name^,^Necklace^
^AC0_EV_16_8000_Name^,^Acrat's absolute Ring I^
^AC0_EV_16_8001_Name^,^Acrat's absolute Ring ?^
^AC0_EV_16_8002_Name^,^Acrat's absolute Necklace^
^AC0_0_30032_TE_03_Name^,^Bragi's power (slowing speed) -test^
^AC_A_400_6500_Name^,^Temmajin Ring I^
^AC_A_400_6501_Name^,^Temmajin Ring II^
^AC_A_400_6502_Name^,^Temmajin Necklace^
^AC_A_300_6500_Name^,^Lazard Ring I^
^AC_A_300_6501_Name^,^Lazard Ring II^
^AC_A_300_6502_Name^,^Lazard Necklace^
^AC_P_400_6000_Name^,^The Ring of the Ju -joo^
^AC_P_400_6001_Name^,^The Ring of the Juju II^
^AC_P_400_6002_Name^,^The Ring Necklace^
^AC_P_400_6003_Name^,^Corridor Ring I^
^AC_P_400_6004_Name^,^Corridor Ring II^
^AC_P_400_6005_Name^,^Corridor Necklace^
^AC_P_400_6006_Name^,^Battlefield Ring I^
^AC_P_400_6007_Name^,^Battlefield Ring II^
^AC_P_400_6008_Name^,^Battlefield Necklace^
^AC_FE_300_6001_Name^,^North Wind Rings I^
^AC_FE_300_6002_Name^,^North Wind Rings II^
^AC_FE_300_6003_Name^,^North wind Necklace^
^EV_AC_A_400_6000_Name^,^Teleo Dark Ring I (Rental)^
^EV_AC_A_400_6001_Name^,^Teleo Dark Ring II (Rental)^
^EV_AC_A_400_6002_Name^,^Teleo Dark Necklace (Rental)^
^AC_A_600_6500_Name^,^The Ring of sophisticated Jenazaon I^
^AC_A_600_6501_Name^,^Sophisticated Jenazaon Ring II^
^AC_A_600_6502_Name^,^Sophisticated Jenazaon's Necklace^
^AC0_EV_4_0_0004_Name^,^Trust Ring I (15th)^
^AC0_EV_4_0_0005_Name^,^Trust Ring II (15th)^
^AC0_EV_4_0_0006_Name^,^Trust Necklace (15th)^
^EV0_504_30014_Name^,^Ellora's Ring I (Rental)^
^EV0_504_30014_1_Name^,^Ellora's Ring II (Rental)^
^EV0_504_30021_Name^,^Ellora's Necklace (rental)^
^AC_A_600_6003_Name^,^Nors Ring I^
^AC_A_600_6004_Name^,^Nors Ring II^
^AC_A_600_6005_Name^,^Nors Necklace^
^EV_AC_000_0001_Name^,^Ellora Ring I (30 days)^
^EV_AC_000_0002_Name^,^Ellora Ring II (30 days)^
^EV_AC_000_0003_Name^,^Ellora Necklace (30 days)^
^EV_A_604_6000_Name^,^Alsacian Ring(1 day)^
