t_key,t_korean
^NPC_0401_Name^,^General (401)^
^NPC_0402_Name^,^Complex Knight Commander_Male (402)^
^NPC_0403_Name^,^Complex Knight Commander_Female (403)^
^NPC_0404_Name^,^Knight (404)^
^NPC_0405_Name^,^Noncommisioned Officer_Male (405)^
^NPC_0406_Name^,^Noncommisioned Officer_Female (406)^
^NPC_0407_Name^,^Soldier_Male (407)^
^NPC_0408_Name^,^Soldier_Female (408)^
^NPC_0409_Name^,^Second Grade Mage_Female (409)^
^NPC_0410_Name^,^Ravager Lucimer (410)^
^NPC_0411_Name^,^Quick Gunman Slow (411)^
^NPC_0412_Name^,^Government Official (412)^
^NPC_0413_Name^,^Plain White Mage_Male (413)^
^NPC_0414_Name^,^Plain White Mage_Female (414)^
^NPC_0415_Name^,^Plain Dark Mage_Male (415)^
^NPC_0416_Name^,^Intricate Mage_Female (416)^
^NPC_0417_Name^,^Duke (417)^
^NPC_0418_Name^,^Great Magician Yulnus (418)^
^NPC_0419_Name^,^Great Sorcerer of Destruction_Male (419)^
^NPC_0420_Name^,^W. Magician (420)^
^NPC_0421_Name^,^Count (421)^
^NPC_0422_Name^,^Maid (422)^
^NPC_0423_Name^,^Lord Chamberlain (423)^
^NPC_0424_Name^,^Darkness Researcher (424)^
^NPC_0425_Name^,^Queen (425)^
^NPC_0426_Name^,^Mage of the Arcanum (426)^
^NPC_0427_Name^,^Dark Mage (427)^
^NPC_0428_Name^,^Princess Lania  (428)^
^NPC_0429_Name^,^King (429)^
^NPC_0430_Name^,^Royalty Lady (430)^
^NPC_0431_Name^,^Transit Shrine Keeper (431)^
^NPC_0432_Name^,^Male Archon (432)^
^NPC_0433_Name^,^Male High Priest (433)^
^NPC_0434_Name^,^Male Priest (434)^
^NPC_0435_Name^,^Female Priestess (435)^
^NPC_0436_Name^,^Male Plain Priest (436)^
^NPC_0437_Name^,^Male Shadow (437)^
^NPC_0438_Name^,^Female Shadow (438)^
^NPC_0439_Name^,^Male Master Blacksmith (439)^
^NPC_0440_Name^,^Male Complex Blacksmith (440)^
^NPC_0441_Name^,^Male Blacksmith (441)^
^NPC_0442_Name^,^Female Master Blacksmith (442)^
^NPC_0443_Name^,^Middle Age Male Merchant (443)^
^NPC_0444_Name^,^Young Merchant (444)^
^NPC_0445_Name^,^Male First Shipmate (445)^
^NPC_0446_Name^,^Male Engineer (446)^
^NPC_0447_Name^,^Male Complex Crewman (447)^
^NPC_0448_Name^,^Male Foreman Master Artisan (448)^
^NPC_0449_Name^,^Grandfather (449)^
^NPC_0450_Name^,^Grandmother (450)^
^NPC_0451_Name^,^General (Transformed Balboad) (451)^
^NPC_2000_Name^,^Villager Young Man (2000)^
^NPC_2001_Name^,^Militia Young Man (2001)^
^NPC_2002_Name^,^Miner Young Man (2002)^
^NPC_2003_Name^,^Farmer Young Man (2003)^
^NPC_2004_Name^,^Merchant Young Man (2004)^
^NPC_2005_Name^,^Middle-aged Villager (2005)^
^NPC_2006_Name^,^Militia Captain Male (2006)^
^NPC_2007_Name^,^Miner Foreman Male (2007)^
^NPC_2008_Name^,^Middle-aged Farmer (2008)^
^NPC_2009_Name^,^Middle-aged Merchant (2009)^
^NPC_5000_Name^,^Maid (5000)^
^NPC_5001_Name^,^Village Lady (5001)^
^NPC_5002_Name^,^Middle-aged Female (5002)^
^NPC_5003_Name^,^Laborer Lady (5003)^
^NPC_5004_Name^,^Publican (5004)^
^NPC_5005_Name^,^Pub Worker (5005)^
^NPC_5006_Name^,^Female Chef (5006)^
^NPC_5007_Name^,^Middle-aged Merchant Woman (5007)^
^NPC_5008_Name^,^Merchant Lady (5008)^
^Inner_02_Name^,^Standard Outfit (Shoulders)^
^Inner_03_Name^,^Standard Outfit (Body)^
^Inner_04_Name^,^Standard Outfit (Hands)^
^Inner_05_Name^,^Standard Outfit (Feet)^
^AR0_110_1_9999_Name^,^Lobby Guardian Helm^
^AR0_110_2_9999_Name^,^Lobby Guardian Pauldron^
^AR0_110_3_9999_Name^,^Lobby Guardian Armor^
^AR0_110_4_9999_Name^,^Lobby Guardian Gloves^
^AR0_110_5_9999_Name^,^Lobby Guardian Boots^
^AR1_012_1_9999_Name^,^Lobby Berserker Helm^
^AR1_012_2_9999_Name^,^Lobby Berserker Pauldron^
^AR1_012_3_9999_Name^,^Lobby Berserker Armor^
^AR1_012_4_9999_Name^,^Lobby Berserker Gloves^
^AR1_012_5_9999_Name^,^Lobby Berserker Boots^
^AR3_106_1_9999_Name^,^Lobby Berserker Helm^
^AR3_106_2_9999_Name^,^Lobby Berserker Pauldron^
^AR3_106_3_9999_Name^,^Lobby Berserker Armor^
^AR3_106_4_9999_Name^,^Lobby Berserker Gloves^
^AR3_106_5_9999_Name^,^Lobby Berserker Boots^
^AR4_107_1_9999_Name^,^Lobby Berserker Helm^
^AR4_107_2_9999_Name^,^Lobby Berserker Pauldron^
^AR4_107_3_9999_Name^,^Lobby Berserker Armor^
^AR4_107_4_9999_Name^,^Lobby Berserker Gloves^
^AR4_107_5_9999_Name^,^Lobby Berserker Boots^
^AR5_106_1_9999_Name^,^Lobby Priest Helm^
^AR5_106_2_9999_Name^,^Lobby Priest Pauldron^
^AR5_106_3_9999_Name^,^Lobby Priest Armor^
^AR5_106_4_9999_Name^,^Lobby Priest Gloves^
^AR5_106_5_9999_Name^,^Lobby Priest Boots^
^AR0_000_3_91031_Name^,^Shabby Stalwart Heavy Armor^
^AR0_000_5_91031_Name^,^Shabby Stalwart Boots^
^AR1_000_3_91031_Name^,^Shabby Brutal Heavy Armor^
^AR1_000_5_91031_Name^,^Shabby Brutal Boots^
^AR2_000_3_91031_Name^,^Shabby Wild Light Suits^
^AR2_000_5_91031_Name^,^Shabby Wild Boots^
^AR3_000_3_91031_Name^,^Shabby Veiled Light Armor^
^AR3_000_5_91031_Name^,^Shabby Veiled Boots^
^AR4_000_3_91031_Name^,^Shabby Arcane Robe^
^AR4_000_5_91031_Name^,^Shabby Arcane Boots^
^AR5_000_3_91031_Name^,^Shabby Devout Robe^
^AR5_000_5_91031_Name^,^Shabby Devout Boots^
^AR0_000_3_91051_Name^,^Simple Stalwart Heavy Armor^
^AR0_000_5_91051_Name^,^Simple Stalwart Boots^
^AR1_000_3_91051_Name^,^Simple Brutal Heavy Armor^
^AR1_000_5_91051_Name^,^Simple Brutal Boots^
^AR2_000_3_91051_Name^,^Simple Wild Light Suits^
^AR2_000_5_91051_Name^,^Simple Wild Boots^
^AR3_000_3_91051_Name^,^Simple Veiled Light Armor^
^AR3_000_5_91051_Name^,^Simple Veiled Boots^
^AR4_000_3_91051_Name^,^Simple Arcane Robe^
^AR4_000_5_91051_Name^,^Simple Arcane Boots^
^AR5_000_3_91051_Name^,^Simple Devout Robe^
^AR5_000_5_91051_Name^,^Simple Devout Boots^
^AR0_001_3_92051_Name^,^Dragon Knight Stalwart Heavy Armor^
^AR0_001_4_92051_Name^,^Dragon Knight Stalwart Gloves^
^AR0_001_5_92051_Name^,^Dragon Knight Stalwart Boots^
^AR1_001_3_92051_Name^,^Dragon Knight Brutal Heavy Armor^
^AR1_001_4_92051_Name^,^Dragon Knight Brutal Gloves^
^AR1_001_5_92051_Name^,^Dragon Knight Brutal Boots^
^AR3_001_3_92051_Name^,^Dragon Knight Veiled Light Armor^
^AR3_001_4_92051_Name^,^Dragon Knight Veiled Gloves^
^AR3_001_5_92051_Name^,^Dragon Knight Veiled Boots^
^AR4_001_3_92051_Name^,^Dragon Knight Arcane Robe^
^AR4_001_4_92051_Name^,^Dragon Knight Arcane Gloves^
^AR4_001_5_92051_Name^,^Dragon Knight Arcane Boots^
^AR5_001_3_92051_Name^,^Dragon Knight Devout Robe^
^AR5_001_4_92051_Name^,^Dragon Knight Devout Gloves^
^AR5_001_5_92051_Name^,^Dragon Knight Devout Boots^
^AR0_002_3_91102_Name^,^Sturdy Stalwart Heavy Armor ^
^AR0_002_4_91102_Name^,^Sturdy Stalwart Gloves^
^AR0_002_5_91102_Name^,^Sturdy Stalwart Boots^
^AR1_002_3_91102_Name^,^Sturdy Brutal Heavy Armor ^
^AR1_002_4_91102_Name^,^Sturdy Brutal Gloves^
^AR1_002_5_91102_Name^,^Sturdy Brutal Boots^
^AR2_002_3_91102_Name^,^Sturdy Wild Light Suits^
^AR2_002_4_91102_Name^,^Sturdy Wild Gloves^
^AR2_002_5_91102_Name^,^Sturdy Wild Boots^
^AR3_002_3_91102_Name^,^Sturdy Veiled Light Armor ^
^AR3_002_4_91102_Name^,^Sturdy Veiled Gloves^
^AR3_002_5_91102_Name^,^Sturdy Veiled Boots^
^AR4_022_3_91102_Name^,^Sturdy Arcane Robe ^
^AR4_022_4_91102_Name^,^Sturdy Arcane Gloves^
^AR4_022_5_91102_Name^,^Sturdy Arcane Boots^
^AR5_022_3_91102_Name^,^Sturdy Devout Robe ^
^AR5_022_4_91102_Name^,^Sturdy Devout Gloves^
^AR5_022_5_91102_Name^,^Sturdy Devout Boots^
^AR0_002_3_92103_Name^,^Fairy Stalwart Heavy Armor^
^AR0_002_4_92103_Name^,^Fairy Stalwart Gloves^
^AR0_002_5_92103_Name^,^Fairy Stalwart Boots^
^AR1_002_3_92103_Name^,^Fairy Brutal Heavy Armor^
^AR1_002_4_92103_Name^,^Fairy Brutal Gloves^
^AR1_002_5_92103_Name^,^Fairy Brutal Boots^
^AR3_002_3_92103_Name^,^Fairy Veiled Light Armor^
^AR3_002_4_92103_Name^,^Fairy Veiled Gloves^
^AR3_002_5_92103_Name^,^Fairy Veiled Boots^
^AR4_022_3_92103_Name^,^Fairy Arcane Robe^
^AR4_022_4_92103_Name^,^Fairy Arcane Gloves^
^AR4_022_5_92103_Name^,^Fairy Arcane Boots^
^AR5_022_3_92103_Name^,^Fairy Devout Robe^
^AR5_022_4_92103_Name^,^Fairy Devout Gloves^
^AR5_022_5_92103_Name^,^Fairy Devout Boots^
^AR0_002_3_92104_Name^,^Woodland Stalwart Heavy Armor^
^AR0_002_4_92104_Name^,^Woodland Stalwart Gloves^
^AR0_002_5_92104_Name^,^Woodland Stalwart Boots^
^AR1_002_3_92104_Name^,^Woodland Brutal Heavy Armor^
^AR1_002_4_92104_Name^,^Woodland Brutal Gloves^
^AR1_002_5_92104_Name^,^Woodland Brutal Boots^
^AR3_002_3_92104_Name^,^Woodland Veiled Light Armor^
^AR3_002_4_92104_Name^,^Woodland Veiled Gloves^
^AR3_002_5_92104_Name^,^Woodland Veiled Boots^
^AR4_022_3_92104_Name^,^Woodland Arcane Robe^
^AR4_022_4_92104_Name^,^Woodland Arcane Gloves^
^AR4_022_5_92104_Name^,^Woodland Arcane Boots^
^AR5_022_3_92104_Name^,^Woodland Devout Robe^
^AR5_022_4_92104_Name^,^Woodland Devout Gloves^
^AR5_022_5_92104_Name^,^Woodland Devout Boots^
^AR0_022_3_92131_Name^,^Capital Guard Stalwart Heavy Armor^
^AR0_022_4_92131_Name^,^Capital Guard Stalwart Gloves^
^AR0_022_5_92131_Name^,^Capital Guard Stalwart Boots^
^AR1_022_3_92131_Name^,^Capital Guard Brutal Heavy Armor^
^AR1_022_4_92131_Name^,^Capital Guard Brutal Gloves^
^AR1_022_5_92131_Name^,^Capital Guard Brutal Boots^
^AR3_022_3_92131_Name^,^Capital Guard Veiled Light Armor^
^AR3_022_4_92131_Name^,^Capital Guard Veiled Gloves^
^AR3_022_5_92131_Name^,^Capital Guard Veiled Boots^
^AR4_022_3_92131_Name^,^Capital Guard Arcane Robe^
^AR4_022_4_92131_Name^,^Capital Guard Arcane Gloves^
^AR4_022_5_92131_Name^,^Capital Guard Arcane Boots^
^AR5_022_3_92131_Name^,^Capital Guard Devout Robe^
^AR5_022_4_92131_Name^,^Capital Guard Devout Gloves^
^AR5_022_5_92131_Name^,^Capital Guard Devout Boots^
^AR0_023_3_91151_Name^,^Infantry Stalwart Heavy Armor^
^AR0_023_4_91151_Name^,^Infantry Stalwart Gloves^
^AR0_023_5_91151_Name^,^Infantry Stalwart Boots^
^AR1_023_3_91151_Name^,^Infantry Brutal Heavy Armor^
^AR1_023_4_91151_Name^,^Infantry Brutal Gloves^
^AR1_023_5_91151_Name^,^Infantry Brutal Boots^
^AR2_003_3_91151_Name^,^Infantry Wild Heavy Armor^
^AR2_003_4_91151_Name^,^Infantry Wild Gloves^
^AR2_003_5_91151_Name^,^Infantry Wild Boots^
^AR3_003_3_91151_Name^,^Infantry Veiled Light Armor^
^AR3_003_4_91151_Name^,^Infantry Veiled Gloves^
^AR3_003_5_91151_Name^,^Infantry Veiled Boots^
^AR4_002_3_91151_Name^,^Infantry Arcane Robe^
^AR4_002_4_91151_Name^,^Infantry Arcane Gloves^
^AR4_002_5_91151_Name^,^Infantry Arcane Boots^
^AR5_003_3_91151_Name^,^Infantry Devout Robe^
^AR5_003_4_91151_Name^,^Infantry Devout Gloves^
^AR5_003_5_91151_Name^,^Infantry Devout Boots^
^AR0_023_3_92154_Name^,^Marauder Stalwart Heavy Armor^
^AR0_023_4_92154_Name^,^Marauder Stalwart Gloves^
^AR0_023_5_92154_Name^,^Marauder Stalwart Boots^
^AR1_023_3_92154_Name^,^Marauder Brutal Heavy Armor^
^AR1_023_4_92154_Name^,^Marauder Brutal Gloves^
