t_key,t_korean
^AR2_005_1_92301_RE2_Name^,^Wild Helm of Hope VI^
^AR2_005_2_92301_RE2_Name^,^Wild Pauldron of Hope VI^
^AR2_005_3_92301_RE2_Name^,^Wild Light Armor of Hope VI^
^AR2_005_4_92301_RE2_Name^,^Wild Gloves of Hope VI^
^AR2_005_5_92301_RE2_Name^,^Wild Boots of Hope VI^
^AR2_004_1_93302_RE2_Name^,^Wild Helm of Hope VII^
^AR2_004_2_93302_RE2_Name^,^Wild Pauldron of Hope VII^
^AR2_004_3_93302_RE2_Name^,^Wild Light Armor of Hope VII^
^AR2_004_4_93302_RE2_Name^,^Wild Gloves of Hope VII^
^AR2_004_5_93302_RE2_Name^,^Wild Boots of Hope VII^
^AR2_109_1_92501_RE2_Name^,^Wild Helm of Hope IX^
^AR2_109_2_92501_RE2_Name^,^Wild Pauldron of Hope IX^
^AR2_109_3_92501_RE2_Name^,^Wild Light Armor of Hope IX^
^AR2_109_4_92501_RE2_Name^,^Wild Gloves of Hope IX^
^AR2_109_5_92501_RE2_Name^,^Wild Boots of Hope IX^
^AR2_ev1_3_1_92105_Name^,^(Quest) Karasha Wild Helm(14 days)^
^AR2_ev1_3_2_92105_Name^,^(Quest) Karasha Wild Pauldron(14 days)^
^AR2_ev1_3_3_92105_Name^,^(Quest) Karasha Wild Light Armor(14 days)^
^AR2_ev1_3_4_92105_Name^,^(Quest) Karasha Wild Gloves(14 days)^
^AR2_ev1_3_5_92105_Name^,^(Quest) Karasha Wild Boots(14 days)^
^AR2_ev1_4_1_92105_Name^,^(Event) Karasha Wild Helm(30 days)^
^AR2_ev1_4_2_92105_Name^,^(Event) Karasha Wild Pauldron(30 days)^
^AR2_ev1_4_3_92105_Name^,^(Event) Karasha Wild Light Armor(30 days)^
^AR2_ev1_4_4_92105_Name^,^(Event) Karasha Wild Gloves(30 days)^
^AR2_ev1_4_5_92105_Name^,^(Event) Karasha Wild Boots(30 days)^
^AR2_ev2_3_1_92105_Name^,^Karasha Wild Helm(14 days)^
^AR2_ev2_3_2_92105_Name^,^Karasha Wild Pauldron(14 days)^
^AR2_ev2_3_3_92105_Name^,^Karasha Wild Light Armor(14 days)^
^AR2_ev2_3_4_92105_Name^,^Karasha Wild Gloves(14 days)^
^AR2_ev2_3_5_92105_Name^,^Karasha Wild Boots(14 days)^
