t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^BG0_001_0_0000_Name^,^10 compartment bag^,^10スロットかばん^,^^,^^,^^,^^
^BG0_001_0_0000_description^,^Bag with 10 storage slots^,^10枠のスロットを持つかばん^,^^,^^,^^,^^
^BG0_001_0_0001_Name^,^16 compartment basic bag^,^16スロット基本かばん^,^^,^^,^^,^^
^BG0_001_0_0001_description^,^Bag with 16 storage slots^,^16枠のスロットを持つかばん^,^^,^^,^^,^^
^BG0_001_0_0002_Name^,^12 compartment bag^,^12スロットかばん^,^^,^^,^^,^^
^BG0_001_0_0002_description^,^Bag with 12 storage slots^,^12枠のスロットを持つかばん^,^^,^^,^^,^^
^BG0_001_0_0003_Name^,^8 compartment bag^,^8スロットかばん^,^^,^^,^^,^^
^BG0_001_0_0003_description^,^Bag with 8 storage slots^,^8枠のスロットを持つかばん^,^^,^^,^^,^^
^BG0_001_0_0004_Name^,^6 compartment bag^,^6スロットかばん^,^^,^^,^^,^^
^BG0_001_0_0004_Description^,^Bag with 6 storage slots^,^6枠のスロットを持つかばん^,^^,^^,^^,^^
^BG0_001_0_0005_Name^,^4 compartment bag^,^4スロットかばん^,^^,^^,^^,^^
^BG0_001_0_0005_Description^,^Bag with 4 storage slots^,^4枠のスロットを持つかばん^,^^,^^,^^,^^
^BG0_001_0_0006_Name^,^14 compartment bag^,^14スロットかばん^,^^,^^,^^,^^
^BG0_001_0_0006_Description^,^Bag with 14 storage slots^,^14枠のスロットを持つかばん^,^^,^^,^^,^^
^BG0_001_0_0007_Name^,^18 compartment bag^,^18スロットかばん^,^^,^^,^^,^^
^BG0_001_0_0007_Description^,^Bag with 18 storage slots^,^18枠のスロットを持つかばん^,^^,^^,^^,^^
^CA_IT_BA_0000_Name^,^Plain bag^,^8スロットかばん^,^^,^^,^^,^^
^CA_IT_BA_0000_description^,^Bag with 8 storage slots^,^8枠のスロットを持つかばん^,^^,^^,^^,^^
^CA_IT_BA_0001_Name^,^Luxury bag^,^高級かばん^,^^,^^,^^,^^
^CA_IT_BA_0001_Description^,^Bag with 24 storage slots^,^24枠のスロットを持つかばん^,^^,^^,^^,^^
^EV_IT_BA_0000_Name^,^16 compartment bag^,^16スロットかばん^,^^,^^,^^,^^
^EV_IT_BA_0000_Description^,^Bag with 16 storage slots^,^16枠のスロットを持つかばん^,^^,^^,^^,^^
^CA_IT_BA_0002_Name^,^Plain bag^,^^,^^,^^,^^,^^
^CA_IT_BA_0002_Description^,^Bag with 16 storage slots^,^^,^^,^^,^^,^^
^CA_IT_BA_0003_Name^,^Luxury bag^,^^,^^,^^,^^,^^
^CA_IT_BA_0003_Description^,^Bag with 24 storage slots^,^^,^^,^^,^^,^^
^TS_FS_00_0006_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0007_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0008_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_FS_00_0009_Name^,^Mechanic Version^,^^,^^,^^,^^,^^
^TS_FS_00_0010_Name^,^Apocalypse Version^,^^,^^,^^,^^,^^
^TS_FS_00_0011_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0012_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0013_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_FS_00_0014_Name^,^Mechanic Version^,^^,^^,^^,^^,^^
^TS_FS_00_0015_Name^,^Non-Force Apocalyptic Version^,^^,^^,^^,^^,^^
^TS_FS_00_0016_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0017_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0018_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_FS_00_0019_Name^,^Mechanic Version^,^^,^^,^^,^^,^^
^TS_FS_00_0020_Name^,^Calyptus version of Sorrow^,^^,^^,^^,^^,^^
^TS_FS_00_0021_Name^,^Dark Demon Dragon Karasha Version^,^^,^^,^^,^^,^^
^TS_FS_00_0022_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0023_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0024_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_FS_00_0025_Name^,^Red Demon Dragon Agnas Version^,^^,^^,^^,^^,^^
^TS_FS_00_0026_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0027_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0028_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_FS_00_0029_Name^,^Light Dragon Paragas Version^,^^,^^,^^,^^,^^
^TS_FS_00_0030_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0031_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0032_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_FS_00_0033_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0034_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0035_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_FS_00_0036_Name^,^Mechanic Version^,^^,^^,^^,^^,^^
^TS_FS_00_0037_Name^,^Awakened Apocalypse Version^,^^,^^,^^,^^,^^
^TS_FS_00_0038_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0039_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0040_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_FS_00_0041_Name^,^Mechanic Version^,^^,^^,^^,^^,^^
^TS_FS_00_0042_Name^,^Awakening Non-Force Version^,^^,^^,^^,^^,^^
^TS_FS_00_0043_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0044_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0045_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_FS_00_0046_Name^,^Mechanic Version^,^^,^^,^^,^^,^^
^TS_FS_00_0047_Name^,^Awakening Calypforce Version^,^^,^^,^^,^^,^^
^TS_FS_00_0048_Name^,^Awakened Karasha Version^,^^,^^,^^,^^,^^
^TS_FS_00_0049_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0050_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0051_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_FS_00_0052_Name^,^Awakened Agnas version^,^^,^^,^^,^^,^^
^TS_FS_00_0053_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0054_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0055_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_FS_00_0056_Name^,^Awakening Paragas Version^,^^,^^,^^,^^,^^
^TS_FS_00_0057_Name^,^Gold Version^,^^,^^,^^,^^,^^
^TS_FS_00_0058_Name^,^Crystal Version^,^^,^^,^^,^^,^^
^TS_FS_00_0059_Name^,^Plush Version^,^^,^^,^^,^^,^^
^TS_IT_BA_0001_Name^,^Test (Term) Bag^,^^,^^,^^,^^,^^
^TS_IT_BA_0001_Description^,^Test (Term) Bag^,^^,^^,^^,^^,^^
^TS_IT_BA_0002_Name^,^Fellow (period system) bag^,^^,^^,^^,^^,^^
^TS_IT_BA_0002_Description^,^Fellow (period system) bag^,^^,^^,^^,^^,^^
^CA_IT_BA_0004_Name^,^Premium Bag (45 days)^,^^,^^,^^,^^,^^
^CA_IT_BA_0004_Description^,^A bag with 24 storage slots tHat can be used for 45 days

<R_Y>When the period expires. items in the fixed-term bag slot cannot be used or moved.<R_Y>^,^^,^^,^^,^^,^^
^CA_IT_BA_0005_Name^,^Premium Bag (30 days)^,^^,^^,^^,^^,^^
^CA_IT_BA_0005_Description^,^A bag tHat can use 24 storage slots for 30 days

<R_Y>When the period expires. items in the fixed-term bag slot cannot be used or moved.<R_Y>^,^^,^^,^^,^^,^^
^CA_IT_BA_0006_Name^,^Premium Bag (7 days)^,^^,^^,^^,^^,^^
^CA_IT_BA_0006_Description^,^A bag tHat can use 24 storage slots for 7 days

<R_Y>When the period expires. items in the fixed-term bag slot cannot be used or moved.<R_Y>^,^^,^^,^^,^^,^^
^CA_IT_FB_0001_Name^,^Fellow Bag (14 days)^,^^,^^,^^,^^,^^
^CA_IT_FB_0001_Description^,^Fellow bag with 12 storage slots for 14 days

<R_Y>When the period expires. items in the fixed-term bag slot cannot be used or moved.<R_Y>^,^^,^^,^^,^^,^^
