t_key,t_korean
^Bt_0_0000_NAME^,^Boost Test item 01^
^Bt_0_0000_Description^,^Maximum HP 173 Max MP 173 Power 10 Agility 10^
^Bt_0_0001_NAME^,^Boost Test item 02^
^Bt_0_0001_Description^,^Maximum HP 173 Max MP 173 Mental 10 Intelligence 10^
^EV_BO_00_0000_NAME^,^100 -day commemorative booster (5 days)^
^EV_BO_00_0001_NAME^,^100 -day commemorative booster (7 days)^
^EV_BO_00_0002_NAME^,^100 -day commemorative booster (15th)^
^EV_BO_00_0003_NAME^,^Invitation Event Booster (30 days)^
^EV_BO_00_0004_NAME^,^100 -day commemorative booster (1 day)^
^CA_BO_00_0000_NAME^,^Courage Booster (7 days)^
^CA_BO_00_0000_Description^,^The booster (7 days) of the container can be used for 7 days from the moment you enter the bag and then automatically disappears The booster item is only effective to hold the bag The options are overlapped with the booster 30 days of the container Number of possible possessions: 1 </r_y>^
^CA_BO_00_0001_NAME^,^Courage Booster (30 days)^
^CA_BO_00_0001_Description^,^The booster (30 days) of the container can be used for 30 days from the moment you enter the bag and then automatically disappears The booster item is only effective to hold the bag The options are overlapped with the booster (7 days) of the container Number of possible possessions: 1 </r_y>^
^CA_BO_00_0002_NAME^,^Wisdom Booster (7th)^
^CA_BO_00_0002_Description^,^<R_Y> Booster of Wisdom (7 days) can be used for 7 days from the moment you enter the bag and automatically disappears The booster item is only effective to hold the bag The options are overlapped with the booster of wisdom (30 days) Number of possible possessions: 1 </r_y>^
^CA_BO_00_0003_NAME^,^Wisdom Booster (30 days)^
^CA_BO_00_0003_Description^,^<R_Y> Booster of Wisdom (30 days) can be used for 30 days from the moment you enter the bag and automatically disappears The booster item is only effective to hold the bag The options are overlapped with the booster of wisdom (7 days) Number of possible possessions: 1 </r_y>^
^CA_BO_00_0004_NAME^,^Auxiliary booster (7 days)^
^CA_BO_00_0004_Description^,^<R_Y> Auxiliary booster (7 days) can be used for 7 days from the moment you enter the bag and automatically disappears The booster item is only effective to hold the bag The options are overlapped with the auxiliary booster 30 days Number of possible possessions: 1 </r_y>^
^CA_BO_00_0005_NAME^,^Auxiliary booster (30 days)^
