t_key,t_korean
^CO_0_0000_NAME^,^Lv. 5 Health Potion^
^CO_0_0001_NAME^,^Lv. 15 Health Potion^
^CO_0_0002_NAME^,^Lv. 25 Health Potion^
^CO_0_0003_NAME^,^Lv. 35 Health Potion^
^CO_0_0004_NAME^,^Lv. 45 Health Potion^
^CO_0_0020_NAME^,^Lv. 5 Mana Potion^
^CO_0_0021_NAME^,^Lv. 15 Mana Potion^
^CO_0_0022_NAME^,^Lv. 25 Mana Potion^
^CO_0_0023_NAME^,^Lv. 35 Mana Potion^
^CO_0_0024_NAME^,^Lv. 45 Mana Potion^
^CO_0_0040_NAME^,^Plain STR Potion^
^CO_0_0041_NAME^,^Modest STR Potion^
^CO_0_0042_NAME^,^Austere STR Potion^
^CO_0_0043_NAME^,^Intricate STR Potion^
^CO_0_0044_NAME^,^Profound STR Potion^
^CO_0_0060_NAME^,^Plain Dexterity Potion^
^CO_0_0061_NAME^,^Modest Dexterity Potion^
^CO_0_0062_NAME^,^Austere Dexterity Potion^
^CO_0_0063_NAME^,^Intricate Dexterity Potion^
^CO_0_0064_NAME^,^Profound Dexterity Potion^
^CO_0_0080_NAME^,^Plain INT Potion^
^CO_0_0081_NAME^,^Modest INT Potion^
^CO_0_0082_NAME^,^Austere INT Potion^
^CO_0_0083_NAME^,^Intricate INT Potion^
^CO_0_0084_NAME^,^Profound INT Potion^
^CO_0_0100_NAME^,^Plain CONS Potion^
^CO_0_0101_NAME^,^Modest CONS Potion^
^CO_0_0102_NAME^,^Austere CONS Potion^
^CO_0_0103_NAME^,^Intricate CONS Potion^
^CO_0_0104_NAME^,^Profound CONS Potion^
^CO_0_0120_NAME^,^Plain WILL Potion^
^CO_0_0121_NAME^,^Modest WILL Potion^
^CO_0_0122_NAME^,^Austere WILL Potion^
^CO_0_0123_NAME^,^Intricate WILL Potion^
^CO_0_0124_NAME^,^Profound WILL Potion^
^CO_0_0140_NAME^,^Plain Combat Power Potion^
^CO_0_0141_NAME^,^Modest Combat Power Potion^
^CO_0_0142_NAME^,^Austere Combat Power Potion^
^CO_0_0143_NAME^,^Intricate Combat Power Potion^
^CO_0_0144_NAME^,^Profound Combat Power Potion^
^CO_0_0160_NAME^,^Plain Spell Power Potion^
^CO_0_0161_NAME^,^Modest Spell Power Potion^
^CO_0_0162_NAME^,^Austere Spell Power Potion^
