t_key,t_korean
^EN1_2_000_0001_Name^,^Elite Tempering Stone^
^EN1_2_000_0001_Description^,^Tempers an item up to +20 max. <It_G> - Tempers up +1-3 levels at 100% chance.</It_G> <It_G> - Tempering can be boosted up to the max. level.</It_G> <It_G> - Right-click, then select an equipment to temper.</It_G>^
^EN1_3_000_0002_Name^,^Heroic Tempering Stone^
^EN1_3_000_0002_Description^,^Enhances the attributes of the item at a temper level higher than +20 up to 21 -25. <It_G> - Tempers up +1-3 levels at 100% chance.</It_G> <It_G> - Tempering can be boosted up to the max. level.</It_G> <It_G> - Right-click, then select an equipment to temper</It_G>^
^CO_999_0000_Name^,^2nd Year Anniversary Cake^
^CO_999_0000_Description^,^2nd Year Anniversary Cake.  When used for 21secs. buff effects are activated for 30mins. <UI_G> - STR +200 - INT +200 - CONS 100 - DEX +100 - WILL +100</UI_G>^
^CO_999_0001_Name^,^2nd Year Anniversary Drink^
^CO_999_0001_Description^,^Drink for celebrating 2nd year anniversary.^
^CA_IT_CM_0237_Name^,^Familiar : 2nd Year Anniversary Anniversary Luna^
^CA_IT_CM_0237_Description^,^When used, <UI_G>[2nd Year Anniversary Anniversary Luna]</UI_G> appears in your storage.^
^CA_IT_CM_0238_Name^,^Familiar : 2nd Year Anniversary Anniversary Luna^
^CA_IT_CM_0238_Description^,^When used, <UI_G>[2nd Year Anniversary Anniversary Luna]</UI_G> appears in your storage.^
^CA_IT_CM_0239_Name^,^Familiar : Awakened Torkai^
^CA_IT_CM_0239_Description^,^When used, <UI_G>[Awakened Torkai]</UI_G> appears in your storage.^
^CA_IT_CM_0240_Name^,^Familiar : Awakened Torkai^
^CA_IT_CM_0240_Description^,^When used, <UI_G>[Awakened Torkai]</UI_G> appears in your storage.^
^CA_IT_CM_0241_Name^,^Familiar : Mystic Tishanan^
^CA_IT_CM_0241_Description^,^When used, <UI_G>[Mystic Tishanan]</UI_G> appears in your storage.^
^CA_IT_CM_0242_Name^,^Familiar : Mystic Tishanan^
^CA_IT_CM_0242_Description^,^When used, <UI_G>[Mystic Tishanan]</UI_G> appears in your storage.^
^tt_0_0_0202_name^,^Title: Teisha of Immensity Tamer^
^tt_0_0_0202_description^,^A title obtained by taming Teisha of Immensity.^
^en5_0_000_0160_name^,^Lv.200 Elite Tempering Stone^
^en5_0_000_0160_description^,^Tempers up an item up to +20. <It_G> - The Tempering stone can be used only on items at legendary lv.60 or higher.</It_G> <It_G> - Right-click, then select an equipment to temper</It_G>^
^en5_0_001_0160_name^,^Lv.200 Heroic Tempering Stone^
^en5_0_001_0160_description^,^Tempers up an item up to +25. <It_G> - The Tempering stone can be used only on items at legendary lv.60 or higher.</It_G> <It_G> - Right-click, then select an equipment to temper</It_G>^
^CA_IT_CM_0243_name^,^Familiar : Phantom Torkai^
