t_key,t_korean,t_jpn,t_chinese,t_enu
^HM_Decorate_000_Name^,^Human Man Beard 1^,^ヒューマン男性ヒゲ1^,^^,^^
^HM_Decorate_001_Name^,^Human Man Beard 2^,^ヒューマン男性ヒゲ2^,^^,^^
^HM_Decorate_002_Name^,^Human Man Beard 3^,^ヒューマン男性ヒゲ3^,^^,^^
^HW_Decorate_000_Name^,^Human Woman Beard 1^,^ヒューマン女性ヒゲ1^,^^,^^
^CM_Decorate_000_Name^,^Crocoon Male Beard 1^,^クロクン男性ヒゲ1^,^^,^^
^CM_Decorate_001_Name^,^Crocoon Male Beard 2^,^クロクン男性ヒゲ2^,^^,^^
^CM_Decorate_002_Name^,^Crocoon Male Beard 3^,^クロクン男性ヒゲ3^,^^,^^
^CW_Decorate_000_Name^,^Crocoon Woman Beard 1^,^クロクン女性ヒゲ1^,^^,^^
^CW_Decorate_001_Name^,^Crocoon Woman Beard 2^,^クロクン女性ヒゲ2^,^^,^^
^CW_Decorate_002_Name^,^Crocoon Woman Beard 3^,^クロクン女性ヒゲ3^,^^,^^
^SW_Decorate_000_Name^,^ShaRing Woman Beard 1^,^シャリング女性ヒゲ1^,^^,^^
^SW_Decorate_001_Name^,^ShaRing Woman Beard 2^,^シャリング女性ヒゲ2^,^^,^^
^SW_Decorate_002_Name^,^ShaRing Woman Beard 3^,^シャリング女性ヒゲ3^,^^,^^
