t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^EnchantStone0000_Name^,^Test Jewelry 1^,^!!^,^EnchantStone0001_Name^,^EnchantStone0001_Name^,^EnchantStone0001_Name^,^EnchantStone0001_Name^
^EnchantStone0001_Name^,^Test Jewel 2^,^!!^,^EnchantStone0002_Name^,^EnchantStone0002_Name^,^EnchantStone0002_Name^,^EnchantStone0002_Name^
^EnchantStone0002_Name^,^Test Jewel 3^,^!!^,^ES_AD_0000_Name^,^ES_AD_0000_Name^,^ES_AD_0000_Name^,^ES_AD_0000_Name^
^ES_AD_0000_Name^,^Ruby -Physical Attack Lv 1^,^!!^,^ES_AD_0000_Description^,^ES_AD_0000_Description^,^ES_AD_0000_Description^,^ES_AD_0000_Description^
^ES_AD_0000_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AD_0001_Name^,^ES_AD_0001_Name^,^ES_AD_0001_Name^,^ES_AD_0001_Name^
^ES_AD_0001_Name^,^Ruby -Physical Attack Lv 2^,^!!^,^ES_AD_0001_Description^,^ES_AD_0001_Description^,^ES_AD_0001_Description^,^ES_AD_0001_Description^
^ES_AD_0001_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AD_0002_Name^,^ES_AD_0002_Name^,^ES_AD_0002_Name^,^ES_AD_0002_Name^
^ES_AD_0002_Name^,^Ruby -Physical Attack Lv 3^,^!!^,^ES_AD_0002_Description^,^ES_AD_0002_Description^,^ES_AD_0002_Description^,^ES_AD_0002_Description^
^ES_AD_0002_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AD_0003_Name^,^ES_AD_0003_Name^,^ES_AD_0003_Name^,^ES_AD_0003_Name^
^ES_AD_0003_Name^,^Ruby -Physical Attack Lv 4^,^!!^,^ES_AD_0003_Description^,^ES_AD_0003_Description^,^ES_AD_0003_Description^,^ES_AD_0003_Description^
^ES_AD_0003_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AD_0004_Name^,^ES_AD_0004_Name^,^ES_AD_0004_Name^,^ES_AD_0004_Name^
^ES_AD_0004_Name^,^Ruby -Physical Attack Lv 5^,^!!^,^ES_AD_0004_Description^,^ES_AD_0004_Description^,^ES_AD_0004_Description^,^ES_AD_0004_Description^
^ES_AD_0004_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AD_0005_Name^,^ES_AD_0005_Name^,^ES_AD_0005_Name^,^ES_AD_0005_Name^
^ES_AD_0005_Name^,^Ruby -Physical Attack Lv 6^,^!!^,^ES_AD_0005_Description^,^ES_AD_0005_Description^,^ES_AD_0005_Description^,^ES_AD_0005_Description^
^ES_AD_0005_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AD_0006_Name^,^ES_AD_0006_Name^,^ES_AD_0006_Name^,^ES_AD_0006_Name^
^ES_AD_0006_Name^,^Ruby -Physical Attack Lv 7^,^!!^,^ES_AD_0006_Description^,^ES_AD_0006_Description^,^ES_AD_0006_Description^,^ES_AD_0006_Description^
^ES_AD_0006_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AD_0007_Name^,^ES_AD_0007_Name^,^ES_AD_0007_Name^,^ES_AD_0007_Name^
^ES_AD_0007_Name^,^Ruby -Physical Attack Lv 8^,^!!^,^ES_AD_0007_Description^,^ES_AD_0007_Description^,^ES_AD_0007_Description^,^ES_AD_0007_Description^
^ES_AD_0007_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AD_0008_Name^,^ES_AD_0008_Name^,^ES_AD_0008_Name^,^ES_AD_0008_Name^
^ES_AD_0008_Name^,^Ruby -Physical Attack Lv 9^,^!!^,^ES_AD_0008_Description^,^ES_AD_0008_Description^,^ES_AD_0008_Description^,^ES_AD_0008_Description^
^ES_AD_0008_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AD_0009_Name^,^ES_AD_0009_Name^,^ES_AD_0009_Name^,^ES_AD_0009_Name^
^ES_AD_0009_Name^,^Ruby -Physical Attack Lv 10^,^!!^,^ES_AD_0009_Description^,^ES_AD_0009_Description^,^ES_AD_0009_Description^,^ES_AD_0009_Description^
^ES_AD_0009_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AP_0000_Name^,^ES_AP_0000_Name^,^ES_AP_0000_Name^,^ES_AP_0000_Name^
^ES_AP_0000_Name^,^Ruby -Magic Attack Lv 1^,^!!^,^ES_AP_0000_Description^,^ES_AP_0000_Description^,^ES_AP_0000_Description^,^ES_AP_0000_Description^
^ES_AP_0000_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AP_0001_Name^,^ES_AP_0001_Name^,^ES_AP_0001_Name^,^ES_AP_0001_Name^
^ES_AP_0001_Name^,^Ruby -Magic Attack Lv 2^,^!!^,^ES_AP_0001_Description^,^ES_AP_0001_Description^,^ES_AP_0001_Description^,^ES_AP_0001_Description^
^ES_AP_0001_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AP_0002_Name^,^ES_AP_0002_Name^,^ES_AP_0002_Name^,^ES_AP_0002_Name^
^ES_AP_0002_Name^,^Ruby -Magic Attack Lv 3^,^!!^,^ES_AP_0002_Description^,^ES_AP_0002_Description^,^ES_AP_0002_Description^,^ES_AP_0002_Description^
^ES_AP_0002_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AP_0003_Name^,^ES_AP_0003_Name^,^ES_AP_0003_Name^,^ES_AP_0003_Name^
^ES_AP_0003_Name^,^Ruby -Magic Attack Lv 4^,^!!^,^ES_AP_0003_Description^,^ES_AP_0003_Description^,^ES_AP_0003_Description^,^ES_AP_0003_Description^
^ES_AP_0003_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AP_0004_Name^,^ES_AP_0004_Name^,^ES_AP_0004_Name^,^ES_AP_0004_Name^
^ES_AP_0004_Name^,^Ruby -Magic Attack Lv 5^,^!!^,^ES_AP_0004_Description^,^ES_AP_0004_Description^,^ES_AP_0004_Description^,^ES_AP_0004_Description^
^ES_AP_0004_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AP_0005_Name^,^ES_AP_0005_Name^,^ES_AP_0005_Name^,^ES_AP_0005_Name^
^ES_AP_0005_Name^,^Ruby -Magic Attack Lv 6^,^!!^,^ES_AP_0005_Description^,^ES_AP_0005_Description^,^ES_AP_0005_Description^,^ES_AP_0005_Description^
^ES_AP_0005_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AP_0006_Name^,^ES_AP_0006_Name^,^ES_AP_0006_Name^,^ES_AP_0006_Name^
^ES_AP_0006_Name^,^Ruby -Magic Attack Lv 7^,^!!^,^ES_AP_0006_Description^,^ES_AP_0006_Description^,^ES_AP_0006_Description^,^ES_AP_0006_Description^
^ES_AP_0006_Description^,^<br> <IT_G> -Ctrl + Right -click on the Jewelry UI activation </IT_G>^,^!!^,^ES_AP_0007_Name^,^ES_AP_0007_Name^,^ES_AP_0007_Name^,^ES_AP_0007_Name^
