t_key,t_korean
^EX_0_0000_Name^,^Rhino's horn^
^EX_0_0000_description^,^Broken Rhino horns It's quite sharp^
^EX_0_0001_Name^,^Rhino^
^EX_0_0001_description^,^Broken Rhino's armor You can't recognize the shape^
^EX_0_0002_Name^,^Icebreaker^
^EX_0_0002_description^,^Crumbs from large ice^
^EX_0_0003_Name^,^Flame^
^EX_0_0003_description^,^Crumbs^
^EX_0_0004_Name^,^Spirit^
^EX_0_0004_description^,^Sculptures left by the spirits I feel mysterious energy^
^EX_0_0005_Name^,^Spirit's hairpin^
^EX_0_0005_description^,^Hairpins in which the spirits are plugged into the head I can feel the scent of nature^
^EX_0_0006_Name^,^Teeth^
^EX_0_0006_description^,^The teeth of the wolf It looks hard and sharp^
^EX_0_0007_Name^,^Wolf^
^EX_0_0007_description^,^Leather of the wolf It looks tough and warm^
^EX_0_0008_Name^,^Tattered leather^
^EX_0_0008_description^,^The leather of the wild boar There seems to be no place to use^
^EX_0_0009_Name^,^Wild boar^
^EX_0_0009_description^,^Beautiful wild boar It smells quite powerful^
^EX_0_0010_Name^,^Bragi amulet^
^EX_0_0010_description^,^The amulet that the bragi supervisor cares I don't know what it is effective^
^EX_0_0011_Name^,^This missing ax day^
^EX_0_0011_description^,^Ax blades are missing It doesn't seem to be used anymore^
^EX_0_0012_Name^,^This missing blade^
^EX_0_0012_description^,^The blade was missing It doesn't seem to be used anymore^
^EX_0_0013_Name^,^Broken wand^
^EX_0_0013_description^,^The cane with two rivers Let's use it as a firewood^
^EX_0_0014_Name^,^Broken arrow^
^EX_0_0014_description^,^Arrow that cannot be used because of the broken touch^
^EX_0_0015_Name^,^Rank^
^EX_0_0015_description^,^Classroom with a high rank of flame corps^
^EX_0_0016_Name^,^Flame^
^EX_0_0016_description^,^The object of the flame corps^
^EX_0_0017_Name^,^Torn bearskin^
^EX_0_0017_description^,^Bear leather with clear torn marks It looks a lot of value^
^EX_0_0018_Name^,^Bear^
^EX_0_0018_description^,^Bear's sharp claws The life of a living bear comes to mind^
^EX_0_0019_Name^,^Flicker^
^EX_0_0019_description^,^Stone sculpture on fire It does not turn off even if you pour water^
^EX_0_0020_Name^,^Hoof^
^EX_0_0020_description^,^Honor that fell from the feet of the snowman Still snow^
^EX_0_0021_Name^,^Snowy leather^
^EX_0_0021_description^,^The leather of the white snow man Warm^
^EX_0_0022_Name^,^Shamanism^
^EX_0_0022_description^,^The amulet that the shaman had The pattern looks unusual^
^EX_0_0023_Name^,^Snow Hunter's Arrow^
^EX_0_0023_description^,^The arrow used by the Snow Hunter Unlike other arrows it is white^
^EX_0_0024_Name^,^Blind heart^
^EX_0_0024_description^,^Cold snowbox heart It is the heart of life that has long lived in cold areas^
^EX_0_0025_Name^,^Claw^
^EX_0_0025_description^,^Cold toenails of the frozen wolf Still cold air remains^
