t_key,t_korean,t_jpn,t_chinese,t_enu
^HM_Face_000_Name^,^Human Man Face 1^,^ヒューマン男性の顔1^,^^,^^
^HM_Face_001_Name^,^Human Man Face 2^,^ヒューマン男性の顔2^,^^,^^
^HM_Face_002_Name^,^Human Man Face 3^,^ヒューマン男性の顔3^,^^,^^
^HM_Face_003_Name^,^Human Man Face 4^,^ヒューマン男性の顔4^,^^,^^
^HM_Face_004_Name^,^Human Man Face 5^,^ヒューマン男性の顔5^,^^,^^
^HM_Face_005_Name^,^Human Man Face 6^,^ヒューマン男性の顔6^,^^,^^
^HM_Face_006_Name^,^Human Man Face 7^,^ヒューマン男性の顔7^,^^,^^
^HM_Face_007_Name^,^Human Man Face 8^,^ヒューマン男性の顔8^,^^,^^
^HM_Face_008_Name^,^Human Man Face 9^,^ヒューマン男性の顔9^,^^,^^
^HM_Face_009_Name^,^Human Man Face 10^,^ヒューマン男性の顔10^,^^,^^
^HW_Face_000_Name^,^Human Woman Face 1^,^ヒューマン女性の顔1^,^^,^^
^HW_Face_001_Name^,^Human Woman Face 2^,^ヒューマン女性の顔2^,^^,^^
^HW_Face_002_Name^,^Human Woman Face 3^,^ヒューマン女性の顔3^,^^,^^
^HW_Face_003_Name^,^Human Woman Face 4^,^ヒューマン女性の顔4^,^^,^^
^HW_Face_004_Name^,^Human Woman Face 5^,^ヒューマン女性の顔5^,^^,^^
^HW_Face_005_Name^,^Human Woman Face 6^,^ヒューマン女性の顔6^,^^,^^
^HW_Face_006_Name^,^Human Woman Face 7^,^ヒューマン女性の顔7^,^^,^^
^HW_Face_007_Name^,^Human Woman Face 8^,^ヒューマン女性の顔8^,^^,^^
^HW_Face_008_Name^,^Human Woman Face 9^,^ヒューマン女性の顔9^,^^,^^
^HW_Face_009_Name^,^Human Woman Face 10^,^ヒューマン女性の顔10^,^^,^^
^CM_Face_000_Name^,^Crocoon Man Face 1^,^クロクン男性の顔1^,^^,^^
^CM_Face_001_Name^,^Crocoon Man Face 2^,^クロクン男性の顔2^,^^,^^
^CM_Face_002_Name^,^Crocoon Man Face 3^,^クロクン男性の顔3^,^^,^^
^CW_Face_000_Name^,^Crocoon Woman Face 1^,^クロクン女性の顔1^,^^,^^
^CW_Face_001_Name^,^Crocoon Woman Face 2^,^クロクン女性の顔2^,^^,^^
^CW_Face_002_Name^,^Crocoon Woman Face 3^,^クロクン女性の顔3^,^^,^^
^SW_Face_000_Name^,^ShaRing Girl Face 1^,^シャリング女性の顔1^,^^,^^
^SW_Face_001_Name^,^ShaRing Girl Face 2^,^シャリング女性の顔2^,^^,^^
^SW_Face_002_Name^,^ShaRing Girl Face 3^,^シャリング女性の顔3^,^^,^^
