t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^WolfWildSaddleA_NAME^,^Wolf Basic Saddle^,^狼基本鞍^,^^,^^,^^,^^
^BoarManeSaddleA_NAME^,^Roughmaned Wild Boar^,^獰猛なワイルドボア^,^^,^^,^^,^^
^BoarToothSaddleA_NAME^,^Molar Wild Boar^,^牙のイノシシ^,^^,^^,^^,^^
^BoarWildSaddleA_NAME^,^Wild Boar^,^イノシシ^,^^,^^,^^,^^
^DragAsterSaddleB_NAME^,^Asteras^,^アステラス^,^^,^^,^^,^^
^DragCarasSaddleB_NAME^,^Karasha^,^カラシャ^,^^,^^,^^,^^
^LeopSaddleA_NAME^,^Leo^,^レオ^,^^,^^,^^,^^
^MagHoundSaddleA_NAME^,^Magma Hound^,^マグマハウンド^,^^,^^,^^,^^
^SpidBase1SaddleA_NAME^,^Spider^,^蜘蛛^,^^,^^,^^,^^
^SpidBase4SaddleA_NAME^,^Tarantula^,^タランチュラ^,^^,^^,^^,^^
^LeopSnowSaddleB_NAME^,^Snow Tiger^,^雪原の虎^,^^,^^,^^,^^
^BoarForchSaddleB_NAME^,^Porch^,^ポチ^,^^,^^,^^,^^
^HorsUnicSaddleB_NAME^,^Experimental Unicorn^,^実験用ユニコーン^,^^,^^,^^,^^
^BearSaddleB_NAME^,^Bear^,^熊^,^^,^^,^^,^^
