t_key,t_korean
^FM_000_0000_name^,^Common Pet Scroll^
^FM_000_0000_Description^,^A scroll tHat can transform common mount familiars into pets, so long as their level is at least 1 below yours.

<It_G>Right-click, then select the familiar you wish to change into a pet.</It_G>^
^FM_000_0001_name^,^Elite Pet Scroll^
^FM_000_0001_Description^,^A scroll tHat can transform elite mount familiars into pets, so long as their level is at least 1 below yours.

<It_G>Right-click, then select the familiar you wish to change into a pet.</It_G>^
^FM_000_0002_name^,^Heroic Pet Scroll^
^FM_000_0002_Description^,^A scroll tHat can transform heroic mount familiars into pets, so long as their level is at least 1 below yours.

<It_G>Right-click, then select the familiar you wish to change into a pet.</It_G>^
^FM_000_0014_name^,^Legendary Pet Scroll^
^FM_000_0014_Description^,^A scroll tHat can transform legendary mount familiars into pets, so long as their level is at least 1 below yours.

<It_G>Right-click, then select the familiar you wish to change into a pet.</It_G>^
^FM_000_0003_name^,^Exarahn Heroic Pet Scroll^
^FM_000_0003_Description^,^A scroll tHat can transform heroic mount familiars into pets, so long as their level is at least 1 below yours.

<It_G>Right-click, then select the familiar you wish to change into a pet.</It_G>^
^FM_000_0004_name^,^Lv. 25 Pet Scroll^
^FM_000_0004_Description^,^A scroll tHat can transform Lv. 1-25 common familiars.
Right-click a familiar you wish to change into a pet
(Only for those at a lower level than the character's)

<It_G> - Must have the same grade as the familiar's in order to use it</It_G>
<It_G> - Once a familiar has been changed into a pet, it cannot change back to a familiar</It_G>^
^FM_000_0005_name^,^Lv. 25 Pet Scroll^
^FM_000_0005_Description^,^A scroll tHat can transform Lv. 1-25 elite familiars.
Right-click a familiar you wish to change into a pet
(Only for those at a lower level than the character's)

<It_G> - Must have the same grade as the familiar's in order to use it</It_G>
<It_G> - Once a familiar has been changed into a pet, cannot return as a familiar</It_G>^
^FM_000_0006_name^,^Lv. 30 Pet Scroll^
^FM_000_0006_Description^,^A scroll tHat can transform Lv. 1-30 common familiars.
Right-click a familiar you wish to change into a pet
(Only for those at a lower level than the character's)

<It_G> - Must have the same grade as the familiar's in order to use it</It_G>
<It_G> - Once a familiar has been changed into a pet, cannot return as a familiar</It_G>^
^FM_000_0007_name^,^Lv. 30 Pet Scroll^
^FM_000_0007_Description^,^A scroll tHat can transform Lv. 1-30 elite familiars.
Right-click a familiar you wish to change into a pet
(Only for those at a lower level than the character's)

<It_G> - Must have the same grade as the familiar's in order to use it</It_G>
<It_G> - Once a familiar has been changed into a pet, cannot return as a familiar</It_G>^
^FM_000_0008_name^,^Lv. 30 Pet Scroll^
^FM_000_0008_Description^,^A scroll tHat can transform Lv. 1-30 heroic familiars.
Right-click a familiar you wish to change into a pet/familiar
(Only for those at a lower level than the character's)

<It_G> - Must have the same grade as the familiar's in order to use it</It_G>
<It_G> - Once a familiar has been changed into a pet, cannot return as a familiar</It_G>^
^SF1_0_000_0000_name^,^Lv. 10 Common Seal Stone^
^SF1_0_000_0000_Description^,^Used to seal Lv. 1-10 common familiars.

<It_G> - Can only be used on familiars of the same grade as this item.</It_G>
<It_G> - Sealed familiars can be used to improve gear and increase talent power.</It_G>
<It_G> - Once sealed, a familiar cannot be unsealed.</It_G>^
^SF1_0_000_0001_name^,^Elite Seal Stone^
^SF1_0_000_0001_Description^,^A stone tHat can seal elite familiars so tHat they can be socketed onto Equipment or consumed to increase talent points.

<It_G>The familiar must be the same grade as the stone.</It_G>
<It_G>The familiar must be lower level than your character.</It_G>
<It_G>Once a familiar is sealed, cannot be unsealed.</It_G>
<It_G>Right-click, then select the familiar you wish to change into a pet.</It_G>^
^SF1_1_000_0000_name^,^Heroic Seal Stone^
^SF1_1_000_0000_Description^,^A stone tHat can seal heroic familiars so tHat they can be socketed onto Equipment or consumed to increase talent points.

<It_G>The familiar must be the same grade as the stone.</It_G>
<It_G>The familiar must be lower level than your character.</It_G>
<It_G>Once a familiar is sealed, cannot be unsealed.</It_G>
<It_G>Right-click, then select the familiar you wish to change into a pet.</It_G>^
^SF1_4_000_0000_name^,^Legendary Seal Stone^
^SF1_4_000_0000_Description^,^A stone tHat can seal level legendary familiars so tHat they can be socketed onto Equipment or consumed to increase talent points.

<It_G>The familiar must be the same grade as the stone.</It_G>
<It_G>The familiar must be lower level than your character.</It_G>
<It_G>Once a familiar is sealed, cannot be unsealed.</It_G>
<It_G>Right-click, then select the familiar you wish to change into a pet.</It_G>^
^SF1_1_000_0001_name^,^Lv. 40 Common Seal Stone^
^SF1_1_000_0001_Description^,^Used to seal Lv. 1-40 common familiars.

<It_G> - Can only be used on familiars of the same grade as this item.</It_G>
<It_G> - Sealed familiars can be used to improve gear and increase talent power.</It_G>
<It_G> - Once sealed, a familiar cannot be unsealed.</It_G>^
^SF1_1_000_0002_name^,^Lv. 50 Common Seal Stone^
^SF1_1_000_0002_Description^,^Used to seal Lv. 1-50 common familiars.

<It_G> - Can only be used on familiars of the same grade as this item.</It_G>
<It_G> - Sealed familiars can be used to improve gear and increase talent power.</It_G>
<It_G> - Once sealed, a familiar cannot be unsealed.</It_G>^
^SF1_2_000_0000_name^,^Lv. 20 Common Seal Stone^
^SF1_2_000_0000_Description^,^Used to seal Lv. 1-20 common familiars.

<It_G> - Can only be used on familiars of the same grade as this item.</It_G>
<It_G> - Sealed familiars can be used to improve gear and increase talent power.</It_G>
<It_G> - Once sealed, a familiar cannot be unsealed.</It_G>^
^SF1_2_000_0001_name^,^Lv. 25 Seal Stone^
