t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^fq_01_fk_0001_name^,^Ordinary Divine Dragon's Claw^,^一般神竜の爪^,^^,^^,^^,^^
^fq_01_sl_0001_name^,^Ordinary Divine Dragon's Saddle^,^一般神竜の鞍^,^^,^^,^^,^^
^fq_01_ar_0001_name^,^Ordinary Divine Dragon's Soul Stone^,^一般神竜のソウルストーン^,^^,^^,^^,^^
^fq_02_fk_0001_name^,^Excellent Divine Dragon's Claw^,^優秀な神竜の爪^,^^,^^,^^,^^
^fq_02_sl_0001_name^,^Excellent Divine Dragon's Saddle^,^優秀な神竜の鞍^,^^,^^,^^,^^
^fq_02_ar_0001_name^,^Excellent Divine Dragon's Soul Stone^,^優秀な神竜のソウルストーン^,^^,^^,^^,^^
^fq_03_fk_0001_name^,^Rare Divine Dragon's Claw^,^貴重な神竜の爪^,^^,^^,^^,^^
^fq_03_sl_0001_name^,^Rare Divine Dragon's Saddle^,^貴重な神竜の鞍^,^^,^^,^^,^^
^fq_03_ar_0001_name^,^Rare Divine Dragon Soul Stone^,^貴重な神竜のソウルストーン^,^^,^^,^^,^^
^fq_01_fk_0002_name^,^Ordinary Spirit's Claw^,^一般精霊の爪^,^^,^^,^^,^^
^fq_01_sl_0002_name^,^Ordinary Spirit's Saddle^,^一般精霊の鞍^,^^,^^,^^,^^
^fq_01_ar_0002_name^,^Ordinary Spirit's Soul Stone^,^一般精霊のソウルストーン^,^^,^^,^^,^^
^fq_02_fk_0002_name^,^Excellent Spirit's Claw^,^優秀な精霊の爪^,^^,^^,^^,^^
^fq_02_sl_0002_name^,^Excellent Spirit's Saddle^,^優秀な精霊の鞍^,^^,^^,^^,^^
^fq_02_ar_0002_name^,^Excellent Spirit's Soulstone^,^優秀な精霊のソウルストーン^,^^,^^,^^,^^
^fq_03_fk_0002_name^,^Rare Spirit's Claw^,^貴重な精霊の爪^,^^,^^,^^,^^
^fq_03_sl_0002_name^,^Rare Spirit's Saddle^,^貴重な精霊の鞍^,^^,^^,^^,^^
^fq_03_ar_0002_name^,^Rare Spirit's Soul Stone^,^貴重な精霊のソウルストーン^,^^,^^,^^,^^
^fq_01_fk_0003_name^,^Ordinary Guardian Claw^,^一般守護の爪^,^^,^^,^^,^^
^fq_01_sl_0003_name^,^Ordinary Guardian Saddle^,^一般守護の鞍^,^^,^^,^^,^^
^fq_01_ar_0003_name^,^Ordinary Guardian Soulstone^,^一般守護のソウルストーン^,^^,^^,^^,^^
^fq_02_fk_0003_name^,^Excellent Guardian Claw^,^優秀な守護の爪^,^^,^^,^^,^^
^fq_02_sl_0003_name^,^Excellent Guardian Saddle^,^優秀な守護の鞍^,^^,^^,^^,^^
^fq_02_ar_0003_name^,^Excellent Guardian Soulstone^,^優秀な守護のソウルストーン^,^^,^^,^^,^^
^fq_03_fk_0003_name^,^Rare Guardian Claw^,^貴重な守護の爪^,^^,^^,^^,^^
^fq_03_sl_0003_name^,^Rare Guardian Saddle^,^貴重な守護の鞍^,^^,^^,^^,^^
^fq_03_ar_0003_name^,^Rare Guardian Soulstone^,^貴重な守護のソウルストーン^,^^,^^,^^,^^
^fq_01_fk_0004_name^,^Ordinary Blessed Claws^,^一般祝福された爪^,^^,^^,^^,^^
^fq_01_sl_0004_name^,^Ordinary Blessed Saddle^,^一般祝福された鞍^,^^,^^,^^,^^
^fq_01_ar_0004_name^,^Ordinary Blessed Soulstone^,^一般祝福されたソウルストーン^,^^,^^,^^,^^
^fq_02_fk_0004_name^,^Outstanding Blessed Claws^,^優秀な祝福された爪^,^^,^^,^^,^^
^fq_02_sl_0004_name^,^Outstanding Blessed Saddle^,^優秀な祝福された鞍^,^^,^^,^^,^^
^fq_02_ar_0004_name^,^Outstanding Blessed Soulstone^,^優秀な祝福されたソウルストーン^,^^,^^,^^,^^
^fq_03_fk_0004_name^,^Rare Blessed Claw^,^貴重な祝福された爪^,^^,^^,^^,^^
^fq_03_sl_0004_name^,^Rare Blessed Saddle^,^貴重な祝福された鞍^,^^,^^,^^,^^
^fq_03_ar_0004_name^,^Rare Blessed Soulstone^,^貴重な祝福されたソウルストーン^,^^,^^,^^,^^
^fq_01_fk_0005_name^,^Ordinary Cursed Claws^,^一般呪われた爪^,^^,^^,^^,^^
^fq_01_sl_0005_name^,^Ordinary Cursed Saddle^,^一般呪われた鞍^,^^,^^,^^,^^
^fq_01_ar_0005_name^,^Ordinary Cursed Soulstone^,^一般呪われたソウルストーン^,^^,^^,^^,^^
^fq_02_fk_0005_name^,^Outstanding Cursed Claw^,^優秀な呪われた爪^,^^,^^,^^,^^
^fq_02_sl_0005_name^,^Outstanding Cursed Saddle^,^優秀な呪われた鞍^,^^,^^,^^,^^
^fq_02_ar_0005_name^,^Outstanding Cursed Soulstone^,^優秀な呪われたソウルストーン^,^^,^^,^^,^^
^fq_03_fk_0005_name^,^Rare Cursed Claw^,^貴重な呪われた爪^,^^,^^,^^,^^
^fq_03_sl_0005_name^,^Rare Cursed Saddle^,^貴重な呪われた鞍^,^^,^^,^^,^^
^fq_03_ar_0005_name^,^Rare Cursed Soulstone^,^貴重な呪われたソウルストーン^,^^,^^,^^,^^
^fq_02_fk_0006_name^,^Lesser Hunter's Claw^,^下級ハンターの爪^,^^,^^,^^,^^
^fq_02_sl_0006_name^,^Lesser Hunter's Saddle^,^下級ハンターの鞍^,^^,^^,^^,^^
^fq_02_ar_0006_name^,^Lesser Hunter's Soulstone^,^下級ハンターのソウルストーン^,^^,^^,^^,^^
^fq_02_fk_0007_name^,^Intermediate Hunter's Claw^,^中級ハンターの爪^,^^,^^,^^,^^
^fq_02_sl_0007_name^,^Intermediate Hunter's Saddle^,^中級ハンターの鞍^,^^,^^,^^,^^
^fq_02_ar_0007_name^,^Intermediate Hunter's Soulstone^,^中級ハンターのソウルストーン^,^^,^^,^^,^^
^fq_02_fk_0008_name^,^Greater Hunter's Claw^,^上級ハンターの爪^,^^,^^,^^,^^
^fq_02_sl_0008_name^,^Greater Hunter's Saddle^,^上級ハンターの鞍^,^^,^^,^^,^^
^fq_02_ar_0008_name^,^Greater Hunter's Soulstone^,^上級ハンターのソウルストーン^,^^,^^,^^,^^
^fq_02_fk_0009_name^,^Lesser Slayer's Claw^,^特急ハンターの爪^,^^,^^,^^,^^
^fq_02_sl_0009_name^,^Lesser Slayer's Saddle^,^特急ハンターの鞍^,^^,^^,^^,^^
^fq_02_ar_0009_name^,^Lesser Slayer's Soulstone^,^特急ハンターのソウルストーン^,^^,^^,^^,^^
^fq_02_fk_1009_name^,^Middle Slayer's Claw^,^!!^,^^,^^,^^,^^
^fq_02_sl_1009_name^,^Middle Slayer's Saddle^,^!!^,^^,^^,^^,^^
^fq_02_ar_1009_name^,^Middle Slayer's Soulstone^,^!!^,^^,^^,^^,^^
^fq_01_fk_0006_name^,^Ordinary Holy Claws^,^!!^,^^,^^,^^,^^
^fq_01_sl_0006_name^,^Ordinary Holy Saddle^,^!!^,^^,^^,^^,^^
^fq_01_ar_0006_name^,^Ordinary Holy Soulstone^,^!!^,^^,^^,^^,^^
^fq_02_fk_0010_name^,^Outstanding Holy Claws^,^!!^,^^,^^,^^,^^
^fq_02_sl_0010_name^,^Outstanding Holy Saddle^,^!!^,^^,^^,^^,^^
^fq_02_ar_0010_name^,^Outstanding Holy Soulstone^,^!!^,^^,^^,^^,^^
^fq_03_fk_0006_name^,^Rare Holy Claw^,^!!^,^^,^^,^^,^^
^fq_03_sl_0006_name^,^Rare Holy Saddle^,^!!^,^^,^^,^^,^^
^fq_03_ar_0006_name^,^Rare Holy Soulstone^,^!!^,^^,^^,^^,^^
^fq_02_fk_0011_name^,^Special Blue Horse Claw^,^!!^,^^,^^,^^,^^
^fq_02_sl_0011_name^,^Special Blue Horse Saddle^,^!!^,^^,^^,^^,^^
^fq_02_ar_0011_name^,^Special Blue Horse Soul Stone^,^!!^,^^,^^,^^,^^
^fq_03_fk_0007_name^,^Blessed Blue Horse Claw^,^!!^,^^,^^,^^,^^
^fq_03_sl_0007_name^,^Blessed Blue Horse Saddle^,^!!^,^^,^^,^^,^^
^fq_03_ar_0007_name^,^Blessed Blue Horse Soul Stone^,^!!^,^^,^^,^^,^^
^fq_03_fk_0008_name^,^Kuhalan's Claw^,^!!^,^^,^^,^^,^^
^fq_03_sl_0008_name^,^Kuhalan's Saddle^,^!!^,^^,^^,^^,^^
^fq_03_ar_0008_name^,^Kuhalan's Soulstone^,^!!^,^^,^^,^^,^^
^fq_02_fk_0012_name^,^Elite Knight's Claw^,^!!^,^^,^^,^^,^^
^fq_02_sl_0012_name^,^Elite Knight's Saddle^,^!!^,^^,^^,^^,^^
^fq_02_ar_0012_name^,^Elite Knight's Soulstone^,^!!^,^^,^^,^^,^^
^fq_01_fk_0007_name^,^Ordinary Nightmare Claw^,^!!^,^^,^^,^^,^^
^fq_01_sl_0007_name^,^Ordinary Nightmare Saddle^,^!!^,^^,^^,^^,^^
^fq_01_ar_0007_name^,^Ordinary Nightmare Soulstone^,^!!^,^^,^^,^^,^^
^fq_02_fk_0013_name^,^Excellent Nightmare Claw^,^!!^,^^,^^,^^,^^
^fq_02_sl_0013_name^,^Excellent Nightmare Saddle^,^!!^,^^,^^,^^,^^
^fq_02_ar_0013_name^,^Excellent Nightmare Soulstone^,^!!^,^^,^^,^^,^^
^fq_03_fk_0009_name^,^Rare Nightmare Claw^,^!!^,^^,^^,^^,^^
^fq_03_sl_0009_name^,^Rare Nightmare Saddle^,^!!^,^^,^^,^^,^^
^fq_03_ar_0009_name^,^Rare Nightmare Soulstone^,^!!^,^^,^^,^^,^^
^fq_04_fk_0001_name^,^Noble Nightmare Claw^,^!!^,^^,^^,^^,^^
^fq_04_sl_0001_name^,^Noble Nightmare Saddle^,^!!^,^^,^^,^^,^^
^fq_04_ar_0001_name^,^Noble Nightmare Soulstone^,^!!^,^^,^^,^^,^^
^fq_01_fk_0008_name^,^Ordinary jet-black Claw^,^!!^,^^,^^,^^,^^
^fq_01_sl_0008_name^,^Ordinary jet-black Saddle^,^!!^,^^,^^,^^,^^
^fq_01_ar_0008_name^,^Ordinary jet-black Soulstone^,^!!^,^^,^^,^^,^^
^fq_02_fk_0014_name^,^Outstanding jet-black Claw^,^!!^,^^,^^,^^,^^
^fq_02_sl_0014_name^,^Outstanding jet-black Saddle^,^!!^,^^,^^,^^,^^
^fq_02_ar_0014_name^,^Outstanding jet-black Soulstone^,^!!^,^^,^^,^^,^^
^fq_03_fk_0010_name^,^Rare Ebony Claw^,^!!^,^^,^^,^^,^^
^fq_03_sl_0010_name^,^Rare Ebony Saddle^,^!!^,^^,^^,^^,^^
^fq_03_ar_0010_name^,^Rare Ebony Soulstone^,^!!^,^^,^^,^^,^^
^fq_04_fk_0002_name^,^Noble Ebony Claw^,^!!^,^^,^^,^^,^^
^fq_04_sl_0002_name^,^Noble Ebony Saddle^,^!!^,^^,^^,^^,^^
^fq_04_ar_0002_name^,^Noble Ebony Soulstone^,^!!^,^^,^^,^^,^^
^fq_06_fk_0001_name^,^Sand Claw^,^!!^,^^,^^,^^,^^
^fq_06_sl_0001_name^,^Sand Saddle^,^!!^,^^,^^,^^,^^
^fq_06_ar_0001_name^,^Sand Soulstone^,^!!^,^^,^^,^^,^^
