t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^HM_Hair_000_Name^,^human male head 1^,^ヒューマン男性の髪1^,^^,^^,^^,^^
^HM_Hair_001_Name^,^human male head 2^,^ヒューマン男性の髪2^,^^,^^,^^,^^
^HM_Hair_002_Name^,^human male head 3^,^ヒューマン男性の髪3^,^^,^^,^^,^^
^HM_Hair_003_Name^,^human male head 4^,^ヒューマン男性の髪4^,^^,^^,^^,^^
^HM_Hair_004_Name^,^human male head 5^,^ヒューマン男性の髪5^,^^,^^,^^,^^
^HM_Hair_005_Name^,^human male head 6^,^ヒューマン男性の髪6^,^^,^^,^^,^^
^HM_Hair_006_Name^,^human male head 7^,^ヒューマン男性の髪7^,^^,^^,^^,^^
^HM_Hair_007_Name^,^human male head 8^,^ヒューマン男性の髪8^,^^,^^,^^,^^
^HM_Hair_008_Name^,^human male head 9^,^ヒューマン男性の髪9^,^^,^^,^^,^^
^HM_Hair_009_Name^,^human male head 10^,^ヒューマン男性の髪10^,^^,^^,^^,^^
^HM_Hair_010_Name^,^human male head 11^,^ヒューマン男性の髪11^,^^,^^,^^,^^
^HM_Hair_011_Name^,^human male head 12^,^ヒューマン男性の髪12^,^^,^^,^^,^^
^HM_Hair_012_Name^,^human male head 13^,^ヒューマン男性の髪13^,^^,^^,^^,^^
^HM_Hair_013_Name^,^human male head 14^,^ヒューマン男性の髪14^,^^,^^,^^,^^
^HM_Hair_014_Name^,^human male head 15^,^ヒューマン男性の髪15^,^^,^^,^^,^^
^HW_Hair_000_Name^,^human female head 1^,^ヒューマン女性の髪1^,^^,^^,^^,^^
^HW_Hair_001_Name^,^human female head 2^,^ヒューマン女性の髪2^,^^,^^,^^,^^
^HW_Hair_002_Name^,^human female head 3^,^ヒューマン女性の髪3^,^^,^^,^^,^^
^HW_Hair_003_Name^,^human female head 4^,^ヒューマン女性の髪4^,^^,^^,^^,^^
^HW_Hair_004_Name^,^human female head 5^,^ヒューマン女性の髪5^,^^,^^,^^,^^
^HW_Hair_005_Name^,^human female head 6^,^ヒューマン女性の髪6^,^^,^^,^^,^^
