t_key,t_korean
^MA_1_0001_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Brakarr Forest
Hakain's Crossing</UI_G>

<UI_Y>A material used in weapon and Armor crafting.</UI_Y>^
^MA_1_0001_Name^,^Copper Ore^
^MA_1_0002_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Hakanas Highlands</UI_G>

<UI_Y>A material used in weapon and Armor crafting.</UI_Y>^
^MA_1_0002_Name^,^Iron Ore^
^MA_1_0003_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Parna's Coast</UI_G>

<UI_Y>A material used in weapon and Armor crafting.</UI_Y>^
^MA_1_0003_Name^,^Mithril Ore^
^MA_1_0004_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Tritael Rift</UI_G>

<UI_Y>A material used in weapon and Armor crafting.</UI_Y>^
^MA_1_0004_Name^,^Turalium Ore^
^MA_1_0005_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Cloying Wastes</UI_G>
<UI_G> Ellora Sanctuary</UI_G>

<UI_Y>A material used in weapon and Armor crafting.</UI_Y>^
^MA_1_0005_Name^,^Adamantite Ore^
^MA_1_0006_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Parna's Coast</UI_G>

<UI_Y>A material used in weapon and Armor crafting.</UI_Y>^
^MA_1_0006_Name^,^Dragonium Ore^
^MA_1_1001_Description^,^<UI_Y>A material used in weapon crafting.</UI_Y>^
^MA_1_1001_Name^,^Copper Ingot^
^MA_1_1002_Description^,^<UI_Y>A material used in Armor crafting.</UI_Y>^
^MA_1_1002_Name^,^Copper Alloy^
^MA_1_2001_Description^,^<UI_Y>A material used in weapon crafting.</UI_Y>^
^MA_1_2001_Name^,^Iron Ingot^
^MA_1_2002_Description^,^<UI_Y>A material used in Armor crafting.</UI_Y>^
^MA_1_2002_Name^,^Iron Alloy^
^MA_1_3001_Description^,^<UI_Y>A material used in weapon crafting.</UI_Y>^
^MA_1_3001_Name^,^Mithril Ingot^
^MA_1_3002_Description^,^<UI_Y>A material used in Armor crafting.</UI_Y>^
^MA_1_3002_Name^,^Mithril Alloy^
^MA_1_3003_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Weapon crafting</UI_G>

<UI_Y>A material used in weapon crafting.</UI_Y>^
^MA_1_3003_name^,^Tempered Mithril Ingot^
^MA_1_3004_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Armor crafting</UI_G>

<UI_Y>A material used in metal Armor crafting.</UI_Y>^
^MA_1_3004_name^,^Tempered Mithril Alloy^
^MA_1_4001_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Weapon crafting</UI_G>

<UI_Y>A material used in weapon crafting.</UI_Y>^
^MA_1_4001_name^,^Turalium Ingot^
^MA_1_4002_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Armor crafting</UI_G>

<UI_Y>A material used in metal Armor crafting.</UI_Y>^
^MA_1_4002_name^,^Turalium Alloy^
^MA_1_5001_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Weapon crafting</UI_G>

<UI_Y>A material used in weapon crafting.</UI_Y>^
^MA_1_5001_Name^,^Adamantium Ingot^
^MA_1_5002_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Weapon crafting</UI_G>

<UI_Y>A material used in weapon crafting.</UI_Y>^
^MA_1_5002_Name^,^Tempered Adamantium Ingot^
^MA_1_5003_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Armor crafting</UI_G>

<UI_Y>A material used in Armor crafting.</UI_Y>^
^MA_1_5003_Name^,^Adamantium Alloy^
^MA_1_5004_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Armor crafting</UI_G>

<UI_Y>A material used in Armor crafting.</UI_Y>^
^MA_1_5004_Name^,^Tempered Adamantium Alloy^
^MA_10_0001_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Exarahn Badlands</UI_G>^
^MA_10_0001_Name^,^Exarium Ore^
^MA_10_1001_Description^,^<UI_Y>A material used in PvP Jewelry crafting.</UI_Y>^
^MA_10_1001_Name^,^Exarium Powder^
^MA_10_1002_Description^,^<UI_Y>A material used in PvP weapon crafting.</UI_Y>^
^MA_10_1002_Name^,^Exarium Ingot^
^MA_10_1003_Description^,^<UI_Y>A material used in PvP Armor crafting.</UI_Y>^
^MA_10_1003_Name^,^Exarium Alloy^
^MA_10_1004_Description^,^<UI_Y>A material used in PvP Armor crafting.</UI_Y>^
^MA_10_1004_Name^,^Exarium Weave^
^MA_10_1005_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Akeron Badlands</UI_G>^
^MA_10_1005_Name^,^Kherim Ore^
^MA_10_1006_Description^,^<UI_Y>A material used in PvP Jewelry crafting.</UI_Y>^
^MA_10_1006_Name^,^Kherim Powder^
^MA_10_1007_Description^,^<UI_Y>A material used in PvP weapon crafting.</UI_Y>^
^MA_10_1007_Name^,^Kherim Ingot^
^MA_10_1008_Description^,^<UI_Y>A material used in PvP Armor crafting.</UI_Y>^
^MA_10_1008_Name^,^Kherim Alloy^
^MA_10_1009_Description^,^<UI_Y>A material used in PvP Armor crafting.</UI_Y>^
^MA_10_1009_Name^,^Kherim Weave^
^MA_10_1010_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Exarahn Shop</UI_G>

<UI_Y>A material used in Modest Slayer item crafting, along with Arrested Atan, Karnin, and Berit's Spirit.</UI_Y>^
^MA_10_1010_Name^,^Doomed Soul Stone^
^MA_10_1011_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Weapon crafting</UI_G>

<UI_Y>A material used in Modest Slayer weapon crafting.</UI_Y>^
^MA_10_1011_Name^,^Atan's Bound Spirit^
^MA_10_1012_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Armor crafting </UI_G>

<UI_Y>A material used in Modest Slayer Armor crafting.</UI_Y>^
^MA_10_1012_Name^,^Karnin's Bound Spirit^
^MA_10_1013_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Jewelry crafting</UI_G>

<UI_Y>A material used in Modest Slayer Jewelry crafting.</UI_Y>^
^MA_10_1013_Name^,^Berit's Bound Spirit^
^MA_10_1014_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Akeron Badlands</UI_G>^
^MA_10_1014_Name^,^Aura^
^MA_10_2001_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Exarahn Badlands</UI_G>

<UI_Y>A material used in PvP item crafting.</UI_Y>^
^MA_10_2001_Name^,^Chaos Fragment^
^MA_10_2002_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Exarahn Badlands</UI_G>

<UI_Y>A material used in PvP item crafting.</UI_Y>^
^MA_10_2002_Name^,^Chaos Essence^
^MA_10_2003_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Akeron Badlands</UI_G>

<UI_Y>A material used in PvP item crafting.</UI_Y>^
^MA_10_2003_Name^,^Spirit Fragment^
^MA_10_2004_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Akeron Badlands</UI_G>

<UI_Y>A material used in PvP item crafting.</UI_Y>^
^MA_10_2004_Name^,^Spirit Essence^
^ma_10_3001_Description^,^<UI_Y>A material used in PvP item crafting.</UI_Y>^
^ma_10_3001_Name^,^Cursed Soul Stone^
^ma_10_3002_Description^,^<UI_Y>A material used in PvP item crafting.</UI_Y>^
^ma_10_3002_Name^,^Frozen Soul Stone^
^MA_10_3003_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Exarahn Badlands</UI_G>

<UI_Y>A material used in crafting the Jewelry needed to tame Nightmare Megantes.</UI_Y>^
^MA_10_3003_name^,^Megantes Shell^
^MA_10_3004_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Exarahn Badlands</UI_G>

<UI_Y>A material used in crafting the Jewelry needed to tame Nightmare Megantes.</UI_Y>^
^MA_10_3004_name^,^Megantes Horn^
^MA_10_3005_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Exarahn Badlands</UI_G>

<UI_Y>A material used in crafting the Jewelry needed to tame Abyssal Vylet.</UI_Y>^
^MA_10_3005_name^,^Vylet Claw^
^MA_10_3006_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Exarahn Badlands</UI_G>

<UI_Y>A material used in crafting the Jewelry needed to tame Abyssal Vylet.</UI_Y>^
^MA_10_3006_name^,^Vylet Bone^
^MA_10_3007_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Exarahn Badlands</UI_G>

<UI_Y>A material used in crafting the Jewelry needed to tame Terrible Pyludd.</UI_Y>^
^MA_10_3007_name^,^Pyludd Flame^
^MA_10_3008_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Exarahn Badlands</UI_G>

<UI_Y>A material used in crafting the Jewelry needed to tame Terrible Pyludd.</UI_Y>^
^MA_10_3008_name^,^Pyludd Tail^
^ma_11_0001_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Hunting monsters </UI_G>

<UI_Y>A material used in crafting items to tame familiars.</UI_Y>^
^ma_11_0001_Name^,^Familiar Orb^
^MA_11_0002_Description^,^A substance tHat shows hints of Exarahn's touch.^
^MA_11_0002_Name^,^Exarahn Remnant^
^MA_11_0003_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Familiar Research Merchant</UI_G>

<UI_Y>A material used in higher-grade familiar mark crafting.</UI_Y>^
^MA_11_0003_name^,^Elite Taming Potion^
^MA_11_0004_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Parna's Coast</UI_G>

<UI_Y>A material used in crafting taming items.</UI_Y>^
^MA_11_0004_name^,^Shining Cherpa Snow Flower^
^MA_11_0005_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Parna's Coast</UI_G>

<UI_Y>A material used in crafting the item needed to tame Blue-shelled Turtles.</UI_Y>^
^MA_11_0005_name^,^Shining Amethyst^
^MA_11_0006_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Parna's Coast</UI_G>

<UI_Y>A material used in crafting taming items.</UI_Y>^
^MA_11_0006_name^,^Shining Mithril^
^MA_12_0001_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Tritael Rift</UI_G>
<UI_G> Cloying Wastes</UI_G>

<UI_Y>A piece of Karasha's soul, found on the strongest beasts of Tritael Rift and Cloying Wastes. Can be used to obtain Karasha's Pure Soul.</UI_Y>^
^MA_12_0001_name^,^Karasha's Soul Fragment^
^MA_12_0002_Description^,^<UI_Y>Obtained from:</UI_Y>

<UI_Y>A pure form of Karasha's soul, used in crafting Karasha set items.</UI_Y>^
^MA_12_0002_name^,^Karasha's Pure Soul^
^MA_12_0003_Description^,^<UI_Y>Found in:</UI_Y>

<UI_Y>A material used in crafting Karasha set items.</UI_Y>^
^MA_12_0003_name^,^Magic Dragon Essence^
^MA_12_0004_Description^,^A material used in crafting Karasha set items. (Comment for Testing 4)^
^MA_12_0004_name^,^Dragon Scales^
^MA_12_0005_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Weapon crafting</UI_G>

<UI_Y>A material used in weapon crafting.</UI_Y>^
^MA_12_0005_Name^,^Refined Adamantite Ingot^
^MA_12_0006_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Armor crafting</UI_G>

<UI_Y>A material used in metal Armor crafting.</UI_Y>^
^MA_12_0006_Name^,^Refined Adamantite Alloy^
^MA_12_0007_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Armor crafting</UI_G>

<UI_Y>A material used in Armor crafting.</UI_Y>^
^MA_12_0007_Name^,^Dense Luminous Cloth Bolt^
^MA_12_0008_Description^,^<UI_Y>Obtained from:</UI_Y>
<UI_G> Jewelry crafting</UI_G>

<UI_Y>A material used in Jewelry crafting.</UI_Y>^
^MA_12_0008_Name^,^Dense Emerald^
^MA_2_0001_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Brakarr Forest
Hakain's Crossing</UI_G>

<UI_Y>A material used in Jewelry crafting.</UI_Y>^
^MA_2_0001_Name^,^Silver Ore^
^MA_2_0002_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Hakanas Highlands</UI_G>

<UI_Y>A material used in Jewelry crafting.</UI_Y>^
^MA_2_0002_Name^,^Gold Ore^
^MA_2_0003_Description^,^<UI_Y>Found in:</UI_Y>
<UI_G> Parna's Coast</UI_G>

<UI_Y>A material used in Jewelry crafting.</UI_Y>^
