t_key,t_korean
^CA_BX_00_0000_Name^,^Ellora's Favor Package^
^CA_BX_00_0000_Description^,^Contains the following items:<UI_G><br> Ellun (100 Pack)<br> Blessed Gift Box x30</UI_G>^
^CA_BX_00_0001_Name^,^Limited Familiar Launch Set^
^CA_BX_00_0001_Description^,^Contains the following items:<UI_G><br> Skeron (Familiar)<br> Cullaghan Claw<br> Cullaghan Saddle<br> Cullaghan Soul Stone</UI_G><br><br><UI_Y>Can be purchased until TKTKTK.<br>All items will bind when obtained.</UI_Y>^
^CA_BX_00_0002_Name^,^Ellun (10 Pack)^
^CA_BX_00_0002_Description^,^Contains the following items:<UI_G><br> Ellun x10</UI_G>^
^CA_BX_00_0003_Name^,^Ellun (40 Pack)^
^CA_BX_00_0003_Description^,^Contains the following items:<UI_G><br> Ellun x40</UI_G>^
^CA_BX_00_0004_Name^,^Ellun (85 Pack)^
^CA_BX_00_0004_Description^,^Contains the following items:<UI_G><br> Ellun x85</UI_G>^
^CA_BX_00_0005_Name^,^Ellun (266 Pack)^
^CA_BX_00_0005_Description^,^Contains the following items:<UI_G><br> Ellun x266</UI_G>^
^CA_BX_00_0006_Name^,^Ellun (462 Pack)^
^CA_BX_00_0006_Description^,^Contains the following items:<UI_G><br> Ellun x462</UI_G>^
^PE_0_0000_Name^,^Exarahn Berserker Box^
^PE_0_0000_Description^,^Contains the following items:<UI_G><br>Hunter GreatSword<br>Hunter Crossbow<br>Hunter Lance<br>Hunter Brutal Helm<br>Hunter Brutal Pauldron<br>Hunter Brutal Heavy Armor<br>Hunter Brutal Gloves<br>Hunter Brutal Boots<br>Common Consumable Box</UI_G>^
^PE_0_0001_Name^,^Exarahn Guardian Box^
^PE_0_0001_Description^,^Contains the following items:<UI_G><br>Hunter Sword<br>Hunter Crossbow<br>Hunter Lance<br>Hunter Stalwart Helm<br>Hunter Stalwart Pauldron<br>Hunter Stalwart Heavy Armor<br>Hunter Stalwart Gloves<br>Hunter Stalwart Boots<br>Hunter Shield<br>Common Consumable Box</UI_G>^
^PE_0_0002_Name^,^Exarahn Assassin Box^
^PE_0_0002_Description^,^Contains the following items:<UI_G><br>Hunter Dagger x2<br>Hunter Crossbow<br>Hunter Lance<br>Hunter Veiled Helm<br>Hunter Veiled Pauldron<br>Hunter Veiled Light Armor<br>Hunter Veiled Gloves<br>Hunter Veiled Boots<br>Common Consumable Box</UI_G>^
^PE_0_0003_Name^,^Exarahn Wizard Box^
^PE_0_0003_Description^,^Contains the following items:<UI_G><br>Hunter Staff<br>Hunter Crossbow<br>Hunter Lance<br>Hunter Arcane Hat<br>Hunter Arcane Pauldron<br>Hunter Arcane Robe<br>Hunter Arcane Gloves<br>Hunter Arcane Boots<br>Common Consumable Box</UI_G>^
^PE_0_0004_Name^,^Exarahn Priest Box^
^PE_0_0004_Description^,^Contains the following items:<UI_G><br>Hunter Scepter<br>Hunter Crossbow<br>Hunter Lance<br>Hunter Devout Hat<br>Hunter Devout Pauldron<br>Hunter Devout Robe<br>Hunter Devout Gloves<br>Hunter Devout Boots<br>Hunter Crest<br>Common Consumable Box</UI_G>^
^CA_BX_00_0007_Name^,^Ellun (100 Pack)^
^CA_BX_00_0007_Description^,^Contains the following items:<UI_G><br> Ellun x100</UI_G>^
^PE_0_0005_Name^,^Common Consumable Box^
^PE_0_0005_Description^,^Contains the following items:<UI_G><br>Hunter Necklace<br>Hunter Ring x2<br>Austere Health Recovery Potion x20<br>Austere Mana Recovery Potion x20<br>Thin Felt Bandage x20<br>Prime Beefsteak x20<br>Aromatic Milk x20<br>Blackwind (Familiar)<br>Pegasus (Familiar)</UI_G>^
^PE_0_0006_Name^,^Lv. 14 Berserker Box^
^PE_0_0006_Description^,^Contains the following items:<UI_G><br>Capital Guard GreatSword<br>Capital Guard Brutal Heavy Armor<br>Capital Guard Brutal Gloves<br>Capital Guard Brutal Boots<br>Detachment Ring of Strength x2<br>Detachment Necklace of Strength<br>Level 14 Common Consumable Box</UI_G>^
^PE_0_0007_Name^,^Lv. 14 Guardian Box^
^PE_0_0007_Description^,^Contains the following items:<UI_G><br>Capital Guard Sword<br>Capital Guard Stalwart Heavy Armor<br>Capital Guard Stalwart Gloves<br>Capital Guard Stalwart Boots<br>Detachment Shield<br>Detachment Ring of Strength x2<br>Detachment Necklace of Strength<br>Level 14 Common Consumable Box</UI_G>^
^PE_0_0008_Name^,^Lv. 14 Assassin Box^
^PE_0_0008_Description^,^Contains the following items:<UI_G><br>Capital Guard Dagger x2<br>Capital Guard Veiled Light Armor<br>Capital Guard Veiled Gloves<br>Capital Guard Veiled Boots<br>Detachment Ring of Strength x2<br>Detachment Necklace of Strength<br>Level 14 Common Consumable Box</UI_G>^
^PE_0_0009_Name^,^Lv. 14 Wizard Box^
^PE_0_0009_Description^,^Contains the following items:<UI_G><br>Capital Guard Staff<br>Capital Guard Arcane Robe<br>Capital Guard Arcane Gloves<br>Capital Guard Arcane Boots<br>Detachment Ring of Wisdom x2<br>Detachment Necklace of Wisdom<br>Level 14 Common Consumable Box</UI_G>^
^PE_0_0010_Name^,^Lv. 14 Priest Box^
^PE_0_0010_Description^,^Contains the following items:<UI_G><br>Capital Guard Scepter<br>Capital Guard Devout Robe<br>Capital Guard Devout Gloves<br>Capital Guard Devout Boots<br>Detachment Crest<br>Detachment Ring of Wisdom x2<br>Detachment Necklace of Wisdom<br>Level 14 Common Consumable Box</UI_G>^
^PE_0_0011_Name^,^Lv. 14 Common Box^
^PE_0_0011_Description^,^Contains the following items:<UI_G><br>Health Recovery Potion I x20<br>Mana Recovery Potion I x20<br>Elf Fruit Cake x20<br>Elf Fruit Juice x20<br>Cotton Bandage x20<br>Bag (16 Slots) x2</UI_G>^
^PE_0_0012_Name^,^Lv. 18 Berserker Box^
^PE_0_0012_Description^,^Contains the following items:<UI_G><br>Militia GreatSword<br>Militia Brutal Pauldron<br>Militia Brutal Heavy Armor<br>Militia Brutal Gloves<br>Militia Brutal Boots<br>Militia Ring of Strength x2<br>Militia Necklace of Strength<br>Level 18 Common Consumable Box</UI_G>^
^PE_0_0013_Name^,^Lv. 18 Guardian Box^
^PE_0_0013_Description^,^Contains the following items:<UI_G><br>Militia Sword<br>Militia Stalwart Pauldron<br>Militia Stalwart Heavy Armor<br>Militia Stalwart Gloves<br>Militia Stalwart Boots<br>Militia Shield<br>Militia Ring of Strength x2<br>Militia Necklace of Strength<br>Level 18 Common Consumable Box</UI_G>^
^PE_0_0014_Name^,^Lv. 18 Assassin Box^
^PE_0_0014_Description^,^Contains the following items:<UI_G><br>Militia Dagger x2<br>Militia Veiled Pauldron<br>Militia Veiled Light Armor<br>Militia Veiled Gloves<br>Militia Veiled Boots<br>Militia Ring of Strength x2<br>Militia Necklace of Strength<br>Level 18 Common Consumable Box</UI_G>^
^PE_0_0015_Name^,^Lv. 18 Wizard Box^
