t_key,t_korean
^QU_0_0_0000_Name^,^Ancient hammer^
^QU_0_0_0000_description^,^Hammer tHat Holy Land Manager had^
^QU_0_0_0001_Name^,^Kuhalin's hammer^
^QU_0_0_0001_description^,^The blacksmith of the blacksmith tHat Kuhalin was stolen^
^QU_0_0_0002_Name^,^Supervisor^
^QU_0_0_0002_description^,^Bragi supervisor can open a treasure chest with wealth^
^QU_0_0_0003_Name^,^Bragish strap^
^QU_0_0_0004_Name^,^Red fox tail^
^QU_0_0_0005_Name^,^Pork^
^QU_0_0_0006_Name^,^Shining powder^
^QU_0_0_0006_description^,^Flour falling from the body of the glow spirit^
^QU_0_0_0008_Name^,^Pharmacopathy with good effect^
^QU_0_0_0009_Name^,^Water tank^
^QU_0_0_0009_description^,^The water of the brilliance pond is contained^
^QU_0_0_0011_Name^,^Bragish strap^
^QU_0_0_0012_Name^,^JEEX's certificate^
^QU_0_0_0013_Name^,^Lost explosive^
^QU_0_0_0014_Name^,^Ruins^
^QU_0_0_0015_Name^,^Return scroll^
^QU_0_0_0016_Name^,^Ancient crystal sculpture^
^QU_0_0_0016_description^,^A piece of powerful ancient power^
^QU_0_0_0017_Name^,^Torn^
^QU_0_0_0017_description^,^There is a trace of being attacked by Fellow^
^QU_0_0_0018_Name^,^Bragi^
^QU_0_0_0019_Name^,^Flame golem^
^QU_0_0_0020_Name^,^Letter to Yulners^
^QU_0_0_0021_Name^,^Elf's Cheonri Telescope^
^QU_0_0_0022_Name^,^Rabbit leather^
^QU_0_0_0023_Name^,^Frost^
^QU_0_0_0024_Name^,^Guardian debris^
^QU_0_0_0025_Name^,^Map of ruins^
^QU_0_0_0026_Name^,^Cold crystal^
^QU_0_0_0027_Name^,^Karendia's relics^
^QU_0_0_0028_Name^,^Ruby's fallen stone statue^
^QU_0_0_0029_Name^,^Bee^
^QU_0_0_0030_Name^,^Slab^
^QU_0_0_0031_Name^,^Researcher's research report^
^QU_0_0_0032_Name^,^Purified slab^
^QU_0_0_0033_Name^,^Emergency treatment box^
^QU_0_0_0034_Name^,^Lack of quality^
^QU_0_0_0035_Name^,^Brilliance^
^QU_0_0_0036_Name^,^Fox's feet^
^QU_0_0_0037_Name^,^Paved^
^QU_0_0_0037_description^,^It must be delivered to the reconnaissance crew Boris in the southern ruins of the ancient ruins^
^QU_0_0_0038_Name^,^Parchment^
^QU_0_0_0038_description^,^We must tell Coleman a potion merchant in the Getacial Governor of the Sirryong Knights^
^QU_0_0_0039_Name^,^Taslan's heart^
^QU_0_0_0039_description^,^A bad spider heart It's very cold^
^QU_0_0_0040_Name^,^Water tank^
^QU_0_0_0040_description^,^The water obtained from the spRing is contained^
^QU_0_0_0041_Name^,^Crow's letter^
^QU_0_0_0043_Name^,^Ghost^
^QU_0_0_0044_Name^,^Band of ancient elves^
^QU_0_0_0044_description^,^The article written by ancient elves is engraved^
^QU_0_0_0045_Name^,^Angry red fox leather^
^QU_0_0_0046_Name^,^Solid wild boar molar^
^QU_0_0_0047_Name^,^Reconnaissance^
^QU_0_0_0047_description^,^Effectively hemostasis^
^QU_0_0_0048_Name^,^Bragi^
^QU_0_0_0048_description^,^The Necklace used by Bragi Xiamen for magic consciousness^
^QU_0_0_0049_Name^,^Reindeer^
^QU_0_0_0049_description^,^Reindeer meat Sometimes when eaten^
^QU_0_0_0050_Name^,^Assassin^
^QU_0_0_0050_description^,^Mystery blood Blood disappears in no time and the remaining traces^
^QU_0_0_0051_Name^,^Spider^
^QU_0_0_0051_description^,^A fluid full of spider body^
^QU_0_0_0052_Name^,^Elf's painkiller^
^QU_0_0_0052_description^,^Elf special painkillers tHat do not want to use the ingredients^
^QU_0_0_0053_Name^,^Ungdam^
^QU_0_0_0053_description^,^Bear's gallbladder Once a panacea^
^QU_0_0_0054_Name^,^Reindeer^
^QU_0_0_0054_description^,^It is different from antler with antler I don't know the effect^
^QU_0_0_0055_Name^,^Spider^
^QU_0_0_0055_description^,^Spider poison If you are an adult you won't die^
^QU_0_0_0056_Name^,^Wolf^
^QU_0_0_0056_description^,^Claws from the body of the wolf^
^QU_0_0_0057_Name^,^Werewolf^
^QU_0_0_0057_description^,^The clothes tHat the werewolf was weaRing^
^QU_0_0_0058_Name^,^Mokdong's token^
^QU_0_0_0058_description^,^Mokdong Captain issuing Mokdong Mark Unlicensed livestock is illegal The owner is Grek^
^QU_0_0_0059_Name^,^Werewolf^
^QU_0_0_0059_description^,^Leather peeled off the body of the werewolf^
^QU_0_0_0060_Name^,^Bear^
^QU_0_0_0060_description^,^Bear's heart It's pretty big^
^QU_0_0_0061_Name^,^Hunter Captain's Mark^
^QU_0_0_0061_description^,^Chapter of the Kingdom issuer Unlicensed hunting is illegal The owner is Jack^
^QU_0_0_0062_Name^,^Jack's Diary (Book)^
^QU_0_0_0062_description^,^Jack's diary recorded his variation It is similar to hunting journal^
^QU_0_0_0063_Name^,^Report on the ruins swallowed by fire^
^QU_0_0_0063_description^,^Report written by Scouts Corners WHat happened in the ruins swallowed by fire is described^
^QU_0_0_0064_Name^,^Food sack^
^QU_0_0_0064_description^,^Sack of food Pretty heavy^
^QU_0_0_0065_Name^,^Shining wooden crystal^
^QU_0_0_0065_description^,^The decision of a tree growing on Lake Morine It is said tHat the power of the Guardian was in the power^
^QU_0_0_0067_Name^,^Extension bag^
^QU_0_0_0067_description^,^A bag containing an extension^
^QU_0_0_0068_Name^,^plank^
^QU_0_0_0068_description^,^Spacious wooden board^
^QU_0_0_0069_Name^,^Crossbow^
^QU_0_0_0069_description^,^A clunky but strong leather Gloves^
^QU_0_0_0070_Name^,^Crossbow^
^QU_0_0_0070_description^,^Dress specially made to protect the body from the toxicity of the medicine^
^QU_0_0_0071_Name^,^Granddaughter^
^QU_0_0_0071_description^,^Dolls suit for girls who have eaten or five or six or six^
^QU_0_0_0072_Name^,^Rabbit meat^
^QU_0_0_0072_description^,^Rabbit meat with a clear red color^
^QU_0_0_0074_Name^,^Honeybag^
^QU_0_0_0074_description^,^Honey house extracted from the bee of bees^
^QU_0_0_0075_Name^,^Honeycomb^
^QU_0_0_0075_description^,^The beehive who drove off all bees The larvae remain^
^QU_0_0_0077_Name^,^Regards^
^QU_0_0_0077_description^,^A letter asking for regards^
^QU_0_0_0078_Name^,^Love letter^
^QU_0_0_0078_description^,^A letter tHat seems to be out of the heart mark^
^QU_0_0_0079_Name^,^Werewolf^
^QU_0_0_0079_description^,^The head of a werewolf removes the tongue^
^QU_0_0_0080_Name^,^Rabbit^
^QU_0_0_0080_description^,^Cut from the rabbit^
^QU_0_0_0081_Name^,^Kingdom command 4 grade 4^
^QU_0_0_0081_description^,^The kingdom command is a general work^
^QU_0_0_0082_Name^,^Vaginal leather^
^QU_0_0_0082_description^,^Tense and smooth cowhide^
^QU_0_0_0083_Name^,^Turtle^
^QU_0_0_0083_description^,^Hard shells of meat pulled out^
^QU_0_0_0084_Name^,^Buffalo^
^QU_0_0_0084_description^,^The horns of a buffalo with a gentle end^
^QU_0_0_0085_Name^,^Wolf^
^QU_0_0_0085_description^,^I aimed at a severe wolf meat In addition it is tough^
^QU_0_0_0087_Name^,^Chakai's one eye^
^QU_0_0_0087_description^,^One eye left in Chakai^
^QU_0_0_0088_Name^,^Wild boar^
^QU_0_0_0088_description^,^The long and sharp molar of the wild boar^
^QU_0_0_0089_Name^,^Blacksmith^
^QU_0_0_0089_description^,^Black porcelain leather in the same color as the night sky^
^QU_0_0_0090_Name^,^Juicy beef^
^QU_0_0_0090_description^,^Elastic flesh^
^QU_0_0_0091_Name^,^Vampire^
^QU_0_0_0091_description^,^The blood of the vampires with high viscosity and wriggling^
^QU_0_0_0092_Name^,^Blood^
^QU_0_0_0092_description^,^Strange blood of a buffalo near black^
^QU_0_0_0093_Name^,^Pile of vegetables^
^QU_0_0_0093_description^,^Vegetables maintaining freshness^
^QU_0_0_0094_Name^,^Food bag^
^QU_0_0_0094_description^,^A bag of grain^
^QU_0_0_0095_Name^,^Seed sack^
^QU_0_0_0095_description^,^A sack of grain and vegetables^
^QU_0_0_0096_Name^,^Wasp^
^QU_0_0_0096_description^,^Stolled from wasp^
^QU_0_0_0097_Name^,^Wasp^
^QU_0_0_0097_description^,^Wasps tHat have been the wasp It is used as a medicine^
^QU_0_0_0098_Name^,^Queen^
^QU_0_0_0098_description^,^It is incomparable with other wasps^
^QU_0_0_0099_Name^,^Carbim denomination^
^QU_0_0_0099_description^,^Causes used to prove tHat they are Cabel^
^QU_0_0_0100_Name^,^Inspector^
^QU_0_0_0100_description^,^Order used by the kingdom inspector Almost all -round in administration^
^QU_0_0_0101_Name^,^Teeth^
^QU_0_0_0101_description^,^The sharp teeth of the black voter^
^QU_0_0_0103_Name^,^Dagger^
^QU_0_0_0103_description^,^A Dagger used by a dark wizard to baptize the followers of the dark^
^QU_0_0_0105_Name^,^Fresh vegetable^
^QU_0_0_0105_description^,^Vivid colored vegetables^
^QU_0_0_0106_Name^,^Fresh rabbit meat^
^QU_0_0_0106_description^,^Rabbit meat with vivid color^
^QU_0_0_0107_Name^,^Vampire^
^QU_0_0_0107_description^,^Vampire's long fangs There is a hole^
^QU_0_0_0108_Name^,^Werewolf^
^QU_0_0_0108_description^,^Claws extracted from the werewolf's body It's like a weapon^
^QU_0_0_0109_Name^,^Carbim denomination^
^QU_0_0_0109_description^,^Causes used to prove tHat they are Cabel^
^QU_0_0_0110_Name^,^Frost spiders^
^QU_0_0_0110_description^,^The bridge of the cold and creepy frost spider Some people are praised because they are the best food^
^QU_0_0_0111_Name^,^Sarant's diary business area^
^QU_0_0_0112_Name^,^Natural minerals^
^QU_0_0_0113_Name^,^Hatsling claw^
^QU_0_0_0114_Name^,^Karad Pirates' Secret Documents^
^QU_0_0_0115_Name^,^Bear feet^
^QU_0_0_0115_description^,^Bear sole known as the most delicious in the bear's body^
^QU_0_0_0116_Name^,^Crystal^
^QU_0_0_0116_description^,^Modified horns tHat seem to be modified only There is something in a horned creature^
^QU_0_0_0117_Name^,^Wolf^
^QU_0_0_0117_description^,^The blood of the wolf If you do not ask to collect you will not be particularly intended to collect^
^QU_0_0_0118_Name^,^Brain^
^QU_0_0_0118_description^,^The brain of the cow tHat has been crazy as an unknown cause No one can eat this suspicious cow^
^QU_0_0_0119_Name^,^Bear^
^QU_0_0_0119_description^,^It is strong but difficult to process^
^QU_0_0_0121_Name^,^Turtle^
^QU_0_0_0121_description^,^Turtle meat with good texture and light texture^
^QU_0_0_0122_Name^,^Water snake^
^QU_0_0_0122_description^,^Dokni of a sharp water snake tHat can be used as a needle^
^QU_0_0_0123_Name^,^Bark^
^QU_0_0_0123_description^,^Soft and strong water snake shell^
^QU_0_0_0124_Name^,^Water snake^
