t_key,t_eng,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^WR1511box2_Name^,^라비니족의 버서커 15레벨 랜덤박스^,^^,^^,^Level 15 Rabbini Berserker Enigma Chest^,^^,^^
^WR1512box2_Name^,^라비니족의 버서커 15레벨 랜덤박스^,^^,^^,^Level 15 Rabbini Berserker Enigma Chest^,^^,^^
^WR1513box2_Name^,^라비니족의 버서커 15레벨 랜덤박스^,^^,^^,^Level 15 Rabbini Berserker Enigma Chest^,^^,^^
^WR2011box2_Name^,^라비니족의 버서커 20레벨 랜덤박스^,^^,^^,^Level 20 Rabbini Berserker Enigma Chest^,^^,^^
^WR2012box2_Name^,^라비니족의 버서커 20레벨 랜덤박스^,^^,^^,^Level 20 Rabbini Berserker Enigma Chest^,^^,^^
^WR2013box2_Name^,^라비니족의 버서커 20레벨 랜덤박스^,^^,^^,^Level 20 Rabbini Berserker Enigma Chest^,^^,^^
^WR2511box2_Name^,^라비니족의 버서커 25레벨 랜덤박스^,^^,^^,^Level 25 Rabbini Berserker Enigma Chest^,^^,^^
^WR2512box2_Name^,^라비니족의 버서커 25레벨 랜덤박스^,^^,^^,^Level 25 Rabbini Berserker Enigma Chest^,^^,^^
^WR2513box2_Name^,^라비니족의 버서커 25레벨 랜덤박스^,^^,^^,^Level 25 Rabbini Berserker Enigma Chest^,^^,^^
^WR3011box2_Name^,^라비니족의 버서커 30레벨 랜덤박스^,^^,^^,^Level 30 Rabbini Berserker Enigma Chest^,^^,^^
^WR3012box2_Name^,^라비니족의 버서커 30레벨 랜덤박스^,^^,^^,^Level 30 Rabbini Berserker Enigma Chest^,^^,^^
^WR3013box2_Name^,^라비니족의 버서커 30레벨 랜덤박스^,^^,^^,^Level 30 Rabbini Berserker Enigma Chest^,^^,^^
^GD1511box2_Name^,^라비니족의 가디언 15레벨 랜덤박스^,^^,^^,^Level 15 Rabbini Guardian Enigma Chest^,^^,^^
^GD1512box2_Name^,^라비니족의 가디언 15레벨 랜덤박스^,^^,^^,^Level 15 Rabbini Guardian Enigma Chest^,^^,^^
^GD1513box2_Name^,^라비니족의 가디언 15레벨 랜덤박스^,^^,^^,^Level 15 Rabbini Guardian Enigma Chest^,^^,^^
^GD2011box2_Name^,^라비니족의 가디언 20레벨 랜덤박스^,^^,^^,^Level 20 Rabbini Guardian Enigma Chest^,^^,^^
^GD2012box2_Name^,^라비니족의 가디언 20레벨 랜덤박스^,^^,^^,^Level 20 Rabbini Guardian Enigma Chest^,^^,^^
^GD2013box2_Name^,^라비니족의 가디언 20레벨 랜덤박스^,^^,^^,^Level 20 Rabbini Guardian Enigma Chest^,^^,^^
^GD2511box2_Name^,^라비니족의 가디언 25레벨 랜덤박스^,^^,^^,^Level 25 Rabbini Guardian Enigma Chest^,^^,^^
^GD2512box2_Name^,^라비니족의 가디언 25레벨 랜덤박스^,^^,^^,^Level 25 Rabbini Guardian Enigma Chest^,^^,^^
^GD2513box2_Name^,^라비니족의 가디언 25레벨 랜덤박스^,^^,^^,^Level 25 Rabbini Guardian Enigma Chest^,^^,^^
^GD3011box2_Name^,^라비니족의 가디언 30레벨 랜덤박스^,^^,^^,^Level 30 Rabbini Guardian Enigma Chest^,^^,^^
^GD3012box2_Name^,^라비니족의 가디언 30레벨 랜덤박스^,^^,^^,^Level 30 Rabbini Guardian Enigma Chest^,^^,^^
^GD3013box2_Name^,^라비니족의 가디언 30레벨 랜덤박스^,^^,^^,^Level 30 Rabbini Guardian Enigma Chest^,^^,^^
^TF1511box2_Name^,^라비니족의 어쌔신 15레벨 랜덤박스^,^^,^^,^Level 15 Rabbini Assassin Enigma Chest^,^^,^^
^TF1512box2_Name^,^라비니족의 어쌔신 15레벨 랜덤박스^,^^,^^,^Level 15 Rabbini Assassin Enigma Chest^,^^,^^
^TF1513box2_Name^,^라비니족의 어쌔신 15레벨 랜덤박스^,^^,^^,^Level 15 Rabbini Assassin Enigma Chest^,^^,^^
