t_key,t_korean
^MS_RA_DO_0001_Name^,^The Hero of the Slaughter (Sharing)^
^MS_RA_DO_0001_Description^,^When used you can randomly obtain a PVP hero item with more than intermediate massacre^
^CA_RA_00_0343_Name^,^Leon's Lucky Box^
^CA_RA_00_0343_Description^,^When used you can get one of the following items with a certain probability <UI_G> Fellow: Soing Poeion Fellow: Soing Galerion Fellow: Soing Runerion Fellow: Torcy Fellow: Awakening Rodeish Fellow: Metal Leviathan Fellow: Golden Levi Fellow: Awakening Torkai Pet: Attack Captain Jeritspet: Shaman Manatsu Pet: Garrison Captain Schuma Torkai Mark PC Room Fellow Box II Jackpot Elun Lucky Money Legend+ Emotional Tools Lucky Box^
^CA_RA_00_0344_Name^,^Leon's Blessing Box^
^CA_RA_00_0344_Description^,^When used you can get one of the following items with a certain probability <UI_G> Fellow: Soing Forerion Fellow: Soing Galerion Fellow: Soing Runerion </ui_g>^
^CA_RA_00_0345_Name^,^Legend+ Emotional Tool Lucky Box^
^CA_RA_00_0345_Description^,^If you use it you can get a legend+ appraisal tool from 5 to 25^
^CA_RA_00_0346_Name^,^Fellow Lab Market Box II^
^CA_RA_00_0346_Description^,^When used you can randomly obtain one of the fellows' signs in the fellow laboratory^
^CA_RA_00_0347_Name^,^Fellow Legend Sewing Stone Extract Box Lucky Box^
^CA_RA_00_0347_Description^,^When used you can get one of the following items with a certain probability <UI_G> +5 Enhancement Legend Legend +6 Enhancement Legend Legend +7 Enhancement Legend Extracting Peak </UI_G>^
^CA_RA_00_0348_Name^,^Fellow Taming Booster Lucky Box^
^CA_RA_00_0348_Description^,^When used you can get one of the following items with a certain probability <UI_G> Fellow Test Booster Lv 1 Fellow Taming Booster Lv 2 Fellow Taming Booster Lv 3 Fellow Taming Booster Lv 4 Fellow Taming Booster Booster Lv 5 </UI_G>^
^CA_RA_00_0349_Name^,^Item creation Daecheong Pooster Lucky Box^
