t_key,t_korean
^RC_1_1_10001_Name^,^Copper Ingot Recipe^
^RC_1_2_10001_Name^,^Iron Ingot Recipe^
^RC_1_3_10001_Name^,^Mithril Ingot Recipe^
^RC_1_1_11011_Name^,^Copper Sword Recipe^
^RC_1_1_21011_Name^,^Copper GreatSword Recipe^
^RC_1_1_31011_Name^,^Copper Dagger Recipe^
^RC_1_1_41011_Name^,^Copper Scepter Recipe^
^RC_1_1_51011_Name^,^Copper Staff Recipe^
^RC_1_2_12011_Name^,^Steel Sword Recipe^
^RC_1_2_22011_Name^,^Steel GreatSword Recipe^
^RC_1_2_32011_Name^,^Steel Dagger Recipe^
^RC_1_2_42011_Name^,^Steel Scepter Recipe^
^RC_1_2_52011_Name^,^Steel Staff Recipe^
^RC_1_2_12021_Name^,^Recipe for Reinforced Steel One-Handed Sword^
^RC_1_2_22021_Name^,^Recipe for Reinforced Steel Two-Handed Sword^
^RC_1_2_32021_Name^,^Recipe for Reinforced Steel Dagger^
^RC_1_2_42021_Name^,^Recipe for Reinforced Steel One-Handed Staff^
^RC_1_2_52021_Name^,^Recipe for Reinforced Steel Two-Handed Staff^
^RC_1_3_13011_Name^,^Mithril Sword Recipe^
^RC_1_3_23011_Name^,^Mithril GreatSword Recipe^
^RC_1_3_33011_Name^,^Mithril Dagger Recipe^
^RC_1_3_43011_Name^,^Mithril Scepter Recipe^
^RC_1_3_53011_Name^,^Mithril Staff Recipe^
^RC_1_3_13021_Name^,^Tempered Mithril Sword Recipe^
^RC_1_3_23021_Name^,^Tempered Mithril GreatSword Recipe^
^RC_1_3_33021_Name^,^Tempered Mithril Dagger Recipe^
^RC_1_3_43021_Name^,^Tempered Mithril Scepter Recipe^
^RC_1_3_53021_Name^,^Tempered Mithril Staff Recipe^
^RC_1_3_13031_Name^,^Shining Mithril Sword Recipe^
^RC_1_3_23031_Name^,^Shining Mithril GreatSword Recipe^
^RC_1_3_33031_Name^,^Shining Mithril Dagger Recipe^
^RC_1_3_43031_Name^,^Shining Mithril Scepter Recipe^
^RC_1_3_53031_Name^,^Shining Mithril Staff Recipe^
^RC_2_1_10001_Name^,^Copper Alloy Recipe^
^RC_2_2_10001_Name^,^Iron Alloy Recipe^
^RC_2_3_10001_Name^,^Mithril Alloy Recipe^
^RC_2_1_10011_Name^,^Rough Cloth Recipe^
^RC_2_2_10011_Name^,^Thin Cloth Recipe^
^RC_2_3_10011_Name^,^Thick Cloth Recipe^
^RC_2_1_11011_3_Name^,^Copper Stalwart Heavy Armor Recipe^
^RC_2_1_11011_4_Name^,^Copper Stalwart Gloves Recipe^
^RC_2_1_11011_5_Name^,^Copper Stalwart Boots Recipe^
^RC_2_1_11012_3_Name^,^Copper Brutal Heavy Armor Recipe^
^RC_2_1_11012_4_Name^,^Copper Brutal Gloves Recipe^
^RC_2_1_11012_5_Name^,^Copper Brutal Heavy Boots Recipe^
^RC_2_1_21011_3_Name^,^Copper Veiled Light Armor Recipe^
^RC_2_1_21011_4_Name^,^Copper Veiled Gloves Recipe^
^RC_2_1_21011_5_Name^,^Copper Veiled Boots Recipe^
^RC_2_1_31011_3_Name^,^Rough Arcane Robe Recipe^
^RC_2_1_31011_4_Name^,^Rough Arcane Gloves Recipe^
^RC_2_1_31011_5_Name^,^Rough Arcane Boots Recipe^
^RC_2_1_31012_3_Name^,^Rough Devout Robe Recipe^
^RC_2_1_31012_4_Name^,^Rough Devout Gloves Recipe^
^RC_2_1_31012_5_Name^,^Rough Devout Boots Recipe^
^RC_2_1_41011_1_Name^,^Copper Shield Recipe^
^RC_2_1_51011_1_Name^,^Copper Crest Recipe^
^RC_2_2_12011_2_Name^,^Steel Stalwart Pauldron Recipe^
^RC_2_2_12011_3_Name^,^Steel Stalwart Heavy Armor Recipe^
^RC_2_2_12011_4_Name^,^Steel Stalwart Gloves Recipe^
^RC_2_2_12011_5_Name^,^Steel Stalwart Boots Recipe^
^RC_2_2_12012_2_Name^,^Steel Brutal Pauldron Recipe^
^RC_2_2_12012_3_Name^,^Steel Brutal Heavy Armor Recipe^
^RC_2_2_12012_4_Name^,^Steel Brutal Gloves Recipe^
^RC_2_2_12012_5_Name^,^Steel Brutal Boots Recipe^
^RC_2_2_22011_2_Name^,^Steel Veiled Pauldron Recipe^
^RC_2_2_22011_3_Name^,^Steel Veiled Light Armor Recipe^
^RC_2_2_22011_4_Name^,^Steel Veiled Gloves Recipe^
^RC_2_2_22011_5_Name^,^Steel Veiled Boots Recipe^
^RC_2_2_32011_2_Name^,^Thin Arcane Pauldron Recipe^
^RC_2_2_32011_3_Name^,^Thin Arcane Robe Recipe^
^RC_2_2_32011_4_Name^,^Thin Arcane Gloves Recipe^
^RC_2_2_32011_5_Name^,^Thin Arcane Boots Recipe^
^RC_2_2_32012_2_Name^,^Thin Devout Pauldron Recipe^
^RC_2_2_32012_3_Name^,^Thin Devout Robe Recipe^
^RC_2_2_32012_4_Name^,^Thin Devout Gloves Recipe^
^RC_2_2_32012_5_Name^,^Thin Devout Boots Recipe^
^RC_2_2_42011_1_Name^,^Steel Shield Recipe^
^RC_2_2_52011_1_Name^,^Steel Crest Recipe^
^RC_2_2_12021_2_Name^,^강화된 강철 수호 어깨 제조법^
^RC_2_2_12021_3_Name^,^강화된 강철 수호 중갑 제조법^
^RC_2_2_12021_4_Name^,^강화된 강철 수호 장갑 제조법^
^RC_2_2_12021_5_Name^,^강화된 강철 수호 신발 제조법^
^RC_2_2_12022_2_Name^,^강화된 강철 광폭 어깨 제조법^
^RC_2_2_12022_3_Name^,^강화된 강철 광폭 중갑 제조법^
^RC_2_2_12022_4_Name^,^강화된 강철 광폭 장갑 제조법^
^RC_2_2_12022_5_Name^,^강화된 강철 광폭 신발 제조법^
^RC_2_2_22021_2_Name^,^강화된 강철 그림자 어깨 제조법^
^RC_2_2_22021_3_Name^,^강화된 강철 그림자 경갑 제조법^
^RC_2_2_22021_4_Name^,^강화된 강철 그림자 장갑 제조법^
^RC_2_2_22021_5_Name^,^강화된 강철 그림자 신발 제조법^
^RC_2_2_32021_2_Name^,^강화된 얇은 어깨 제조법^
^RC_2_2_32021_3_Name^,^강화된 얇은 원소 로브 제조법^
^RC_2_2_32021_4_Name^,^강화된 얇은 원소 장갑 제조법^
^RC_2_2_32021_5_Name^,^강화된 얇은 원소 신발 제조법^
^RC_2_2_32022_2_Name^,^강화된 얇은 신념 어깨 제조법^
^RC_2_2_32022_3_Name^,^강화된 얇은 신념 로브 제조법^
^RC_2_2_32022_4_Name^,^강화된 얇은 신념 장갑 제조법^
^RC_2_2_32022_5_Name^,^강화된 얇은 신념 신발 제조법^
^RC_2_2_42021_1_Name^,^강화된 강철 방패 제조법^
^RC_2_2_52021_1_Name^,^강화된 강철 아티펙트 제조법^
^RC_2_3_13011_1_Name^,^Mithril Stalwart Helm Recipe^
^RC_2_3_13011_2_Name^,^Mithril Stalwart Pauldron Recipe^
^RC_2_3_13011_3_Name^,^Mithril Stalwart Heavy Armor Recipe^
^RC_2_3_13011_4_Name^,^Mithril Stalwart Gloves Recipe^
^RC_2_3_13011_5_Name^,^Mithril Stalwart Shoes Recipe^
^RC_2_3_13012_1_Name^,^Mithril Brutal Helm Recipe^
^RC_2_3_13012_2_Name^,^Mithril Brutal Pauldron Recipe^
^RC_2_3_13012_3_Name^,^Mithril Brutal Heavy Armor Recipe^
^RC_2_3_13012_4_Name^,^Mithril Brutal Gloves Recipe^
^RC_2_3_13012_5_Name^,^Mithril Brutal Boots Recipe^
^RC_2_3_23011_1_Name^,^Mithril Veiled Helm Recipe^
^RC_2_3_23011_2_Name^,^Mithril Veiled Pauldron Recipe^
^RC_2_3_23011_3_Name^,^Mithril Veiled Light Armor Recipe^
^RC_2_3_23011_4_Name^,^Mithril Veiled Gloves Recipe^
^RC_2_3_23011_5_Name^,^Mithril Veiled Boots Recipe^
^RC_2_3_33011_1_Name^,^Thick Arcane Hat Recipe^
^RC_2_3_33011_2_Name^,^Thick Arcane Pauldron Recipe^
