t_key,t_korean
^SF2_101_1_0001_Name^,^Savage Gray Wolf^
^SF2_101_1_0002_Name^,^Gray Wolf Alpha^
^SF2_101_1_0003_Name^,^Ruins Wolf^
^SF2_101_1_0004_Name^,^Pritsha the Cannibal^
^SF2_101_1_0005_Name^,^Pegasus^
^SF2_101_1_0006_Name^,^Nightmare^
^SF2_101_1_0007_Name^,^Armored Pegasus^
^SF2_101_1_0008_Name^,^Shadow Wolf^
^SF2_101_1_0009_Name^,^Chakai^
^SF2_101_1_0010_Name^,^Panther Prowler^
^SF2_101_1_0011_Name^,^Shadow Wolf^
^SF2_101_1_0012_Name^,^Shadow Hound^
^SF2_101_1_0013_Name^,^Highland Panther^
^SF2_101_1_0014_Name^,^White-maned Panther^
^SF2_101_1_0015_Name^,^Trutan^
^SF2_101_1_0016_Name^,^Scavenger Bear^
^SF2_101_1_0017_Name^,^Warrior Bear^
^SF2_101_1_0018_Name^,^Graymane Bear^
^SF2_101_1_0019_Name^,^Graymane Bear^
^SF2_101_1_0020_Name^,^Feral Boar^
^SF2_101_1_0021_Name^,^Feral Boar^
^SF2_101_1_0022_Name^,^Razorback^
^SF2_101_1_0023_Name^,^Wild Buffalo^
^SF2_101_1_0024_Name^,^Matted Buffalo^
^SF2_101_1_0025_Name^,^Spotted Cow^
^SF2_101_1_0026_Name^,^Fierce Buffalo^
^SF2_101_1_0027_Name^,^Fierce Buffalo^
^SF2_101_1_0028_Name^,^Fenris^
^SF2_101_1_0029_Name^,^Cunning Blue Wolf^
^SF2_101_1_0030_Name^,^Savage Blue Wolf^
^SF2_101_1_0031_Name^,^Lashaka^
^SF2_101_1_0032_Name^,^Frostclaw Bear^
^SF2_101_1_0033_Name^,^Taslan the Devourer^
^SF2_101_1_0034_Name^,^Undead Spider^
^SF2_101_1_0035_Name^,^Frost Spider^
^SF2_101_1_0036_Name^,^Cold-Tusk^
^SF2_101_1_0037_Name^,^Tamed Buffalo^
^SF2_101_1_0038_Name^,^Ruins Reindeer^
^SF2_101_1_0039_Name^,^Ambermane Caribou^
^SF2_101_1_0040_Name^,^Darkmane Caribou^
^SF2_101_1_0041_Name^,^Crystalhorn Doe^
^SF2_101_1_0042_Name^,^Ambermane Caribou^
^SF2_101_1_0043_Name^,^Darkhoof Reindeer^
^SF2_101_1_0044_Name^,^Rogaton the White^
^SF2_101_1_0045_Name^,^Morineh Turtle^
^SF2_101_1_0046_Name^,^Black Wind^
^SF2_101_1_0047_Name^,^Tamed Pony^
^SF2_101_1_0048_Name^,^Black Wolf^
^SF2_101_1_0049_Name^,^Ruins Tarantula^
^SF2_101_1_0050_Name^,^Magma Hound^
^SF2_101_1_0051_Name^,^Lavashell Tortoise^
^SF2_101_1_0052_Name^,^Unicorn^
^SF2_101_1_0053_Name^,^Crimson Shadewing^
^SF2_101_1_0054_Name^,^Fury Boar^
^SF2_101_1_0055_Name^,^Snow Tiger^
^SF2_101_1_0056_Name^,^Krooger^
^SF2_101_1_0057_Name^,^Tamed Snow Tiger^
^SF2_101_1_0058_Name^,^Ferocious Grizzly^
^SF2_101_1_0059_Name^,^Uru^
^SF2_101_1_0060_Name^,^Kellwoods Reindeer^
^SF2_101_1_0061_Name^,^Ignis Hound^
^SF2_101_1_0062_Name^,^Karasha the Dark One^
^SF2_101_1_0063_Name^,^Patula the Rotund^
^SF2_101_1_0064_Name^,^Armored Thunderhawk^
^SF2_101_1_0065_Name^,^Gray Wolf^
^SF2_101_1_0066_Name^,^Gray Wolf^
^SF2_101_1_0067_Name^,^Invisible Dragon^
^SF2_101_1_0068_Name^,^Stingray Vessel^
^SF2_101_1_0069_Name^,^Emberstone Flamecrest^
^SF2_101_1_0070_Name^,^White Chaser^
^SF2_101_1_0071_Name^,^Black Stormwing^
^SF2_101_1_0072_Name^,^Floating Whale^
^SF2_101_1_0073_Name^,^War Horse^
^SF2_101_1_0074_Name^,^White Horse^
^SF2_101_1_0075_Name^,^Bochepa^
^SF2_101_1_0076_Name^,^Pegasus^
^SF2_101_1_0077_Name^,^Redfeather Hatchling^
^SF2_101_1_0078_Name^,^Leorid^
^SF2_101_1_0079_Name^,^Scalleda^
^SF2_101_1_0080_Name^,^Aranosaur^
^SF2_101_1_0081_Name^,^Flotier^
^SF2_101_1_0082_Name^,^Keeshar^
^SF2_101_1_0083_Name^,^Baranosaurus^
^SF2_101_1_0084_Name^,^Brakarr Gallant^
^SF2_101_1_0085_Name^,^Large Ruins Reindeer^
^SF2_101_1_0086_Name^,^Ambermane Caribou^
^SF2_101_1_0087_Name^,^Ambermane Doe^
^SF2_101_1_0088_Name^,^Logash^
^SF2_101_1_0089_Name^,^Crystalhorn Stag^
^SF2_101_1_0090_Name^,^Scavenger Bear^
^SF2_101_1_0091_Name^,^Emberstone Flamecrest^
^SF2_101_1_0092_Name^,^Shadow Wolf^
^SF2_101_1_0093_Name^,^White-maned Panther^
^SF2_101_1_0094_Name^,^Laetta^
^SF2_101_1_0095_Name^,^Blood Destrier^
^SF2_101_1_0096_Name^,^Hoonbaba^
^SF2_101_1_0097_Name^,^White-whisker Panther^
^SF2_101_1_0098_Name^,^Black Bison^
^SF2_101_1_0099_Name^,^Al-Shai^
^SF2_101_1_0100_Name^,^Natan the Tyrant^
^SF2_101_1_0101_Name^,^Ruby Bloodwyrm^
^SF2_101_1_0102_Name^,^King's Caribou^
^SF2_101_1_0103_Name^,^Ashwyrm^
^SF2_101_1_0104_Name^,^Redplate Drake^
^SF2_101_1_0105_Name^,^Twilight Kargyle^
^SF2_101_1_0106_Name^,^Void Kargyle^
^SF2_101_1_0107_Name^,^Leorid^
^SF2_101_1_0108_Name^,^Flotier^
^SF2_101_1_0109_Name^,^Meadow Ostrich^
^SF2_101_1_0110_Name^,^Falcon^
^SF2_101_1_0111_Name^,^Long-tailed Scorpion^
^SF2_101_1_0112_Name^,^Big-clawed Scorpion^
^SF2_101_1_0113_Name^,^Tundra Bison^
^SF2_101_1_0114_Name^,^Feral Snowclaw Wolf^
^SF2_101_1_0115_Name^,^Coastal Reindeer^
^SF2_101_1_0116_Name^,^Whitecap Boar^
^SF2_101_1_0117_Name^,^Blue Zubzub^
^SF2_101_1_0118_Name^,^Abritus^
^SF2_101_1_0119_Name^,^Nightmare^
^SF2_101_1_0120_Name^,^Blahba^
^SF2_101_1_0121_Name^,^Ramphastos^
^SF2_101_1_0122_Name^,^Blue Frost Wyvern^
^SF2_101_1_0123_Name^,^Leoness^
^SF2_101_1_0124_Name^,^Terror Kerav^
^SF2_101_1_0125_Name^,^Latoras^
^SF2_101_1_0126_Name^,^Korunu^
^SF2_101_1_0127_Name^,^Pirune^
^SF2_101_1_0128_Name^,^Adhel^
^SF2_101_1_0129_Name^,^Helona^
^SF2_101_1_0130_Name^,^Venator^
^SF2_101_1_0131_Name^,^Verusa^
^SF2_101_1_0132_Name^,^Goldhorn^
^SF2_101_1_0133_Name^,^Lahav^
^SF2_101_1_0134_Name^,^Frostclaw Bear^
^SF2_101_1_0135_Name^,^Lahav^
^SF2_101_1_0136_Name^,^Taishma^
^SF2_101_1_0137_Name^,^Shumark^
^SF2_101_1_0138_Name^,^Leoshma^
^SF2_101_1_0139_Name^,^Caspert^
^SF2_101_1_0140_Name^,^Venomous Caspert^
^SF2_101_1_0141_Name^,^Gatekeeper Matura^
^SF2_101_1_0142_Name^,^Coastal Reindeer^
^SF2_101_1_0143_Name^,^Stoneclaw Liger^
^SF2_101_1_0144_Name^,^Blizzard Wolf^
^SF2_101_1_0145_Name^,^Savage Gray Wolf^
^SF2_101_1_0146_Name^,^Gray Wolf Alpha^
^SF2_101_1_0147_Name^,^Ruins Wolf^
^SF2_101_1_0148_Name^,^Pritsha the Cannibal^
^SF2_101_1_0149_Name^,^Shadow Wolf^
^SF2_101_1_0150_Name^,^Chakai^
^SF2_101_1_0151_Name^,^Panther Prowler^
^SF2_101_1_0152_Name^,^Shadow Wolf^
^SF2_101_1_0153_Name^,^Shadow Hound^
^SF2_101_1_0154_Name^,^Highland Panther^
^SF2_101_1_0155_Name^,^White-maned Panther^
^SF2_101_1_0156_Name^,^Trutan^
^SF2_101_1_0157_Name^,^Scavenger Bear^
