t_key,t_korean
^Setall31_Name^,^Dark Ruins Set^
^Setgd22_Name^,^Royal Guard Set^
^Setwr23_Name^,^Royal Guard Set^
^Settf24_Name^,^Assassin Set^
^Setwz25_Name^,^Royal Set of elements^
^Setpr26_Name^,^Royal Guard Set^
^Setgd37_Name^,^Burning ruins of Guardian Set^
^Setwr38_Name^,^A Berzerker range of burning ruins^
^Settf39_Name^,^Assassin Set^
^Setwz310_Name^,^A Set of burning ruins^
^Setpr311_Name^,^Burning ruins of belief Set^
^Setall312_Name^,^Vampire Set^
^Setgd313_Name^,^Cursed family Guardian Set^
^Setwr314_Name^,^A Berzerker range of cursed families^
^Settf315_Name^,^Assassin Set of a cursed family^
^Setwz316_Name^,^A Set of elements of a cursed family^
^Setpr317_Name^,^Cursed Family Set^
^Setgd318_Name^,^Martlen's Guardian Set^
^Setwr319_Name^,^Martlen's Berzerker Set^
^Settf320_Name^,^Martlen's Assassin Set^
^Setwz321_Name^,^Set of the frozen mellene element^
^Setpr322_Name^,^Martlen's belief Set^
^pvpSetgd2528_Name^,^Lower hunter Set^
^pvpSetwr2528_Name^,^Lower hunter Set^
^pvpSettf2528_Name^,^Lower hunter Set^
^pvpSetwz2528_Name^,^Lower hunter Set^
^pvpSetpr2528_Name^,^Lower hunter Set^
^pvpSetgd3033_Name^,^Intermediate hunter Set^
^pvpSetwr3033_Name^,^Intermediate hunter Set^
^pvpSettf3033_Name^,^Intermediate hunter Set^
^pvpSetwz3033_Name^,^Intermediate hunter Set^
^pvpSetpr3033_Name^,^Intermediate hunter Set^
^pvpSetgd3538_Name^,^A senior hunter Set^
^pvpSetwr3538_Name^,^A senior hunter Set^
^pvpSettf3538_Name^,^A senior hunter Set^
^pvpSetwz3538_Name^,^A senior hunter Set^
^pvpSetpr3538_Name^,^A senior hunter Set^
^pvpSetgd4564_Name^,^Lower -level massacre Set^
^pvpSetwr4564_Name^,^Lower -level massacre Set^
^pvpSettf4564_Name^,^Lower -level massacre Set^
^pvpSetwz4564_Name^,^Lower -level massacre Set^
^pvpSetpr4564_Name^,^Lower -level massacre Set^
^pvpSetgd5069_Name^,^Intermediate^
^pvpSetwr5069_Name^,^Intermediate^
^pvpSettf5069_Name^,^Intermediate^
^pvpSetwz5069_Name^,^Intermediate^
