t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^SB_1_0_0001_Name^,^세게 치기 (LV1)^,^強打 (LV1)^,^^,^Rightful Strike 1^,^^,^^
^SB_1_0_0001_Description^,^세게 치기 (Lv1) 스킬을 배울 수 있는 스킬북 입니다.^,^強打 (Lv1) スキルを習得できるスキルブック。^,^^,^Read this book to learn Rightful Strike level 1.^,^^,^^
^SB_1_0_0002_Name^,^세게 치기 (LV2)^,^強打 (LV2)^,^^,^Rightful Strike 2^,^^,^^
^SB_1_0_0002_Description^,^세게 치기 (Lv2) 스킬을 배울 수 있는 스킬북 입니다.^,^強打 (Lv2) スキルを習得できるスキルブック。^,^^,^Read this book to learn Rightful Strike level 2.^,^^,^^
^SB_1_0_0003_Name^,^세게 치기 (LV3)^,^強打 (LV3)^,^^,^Rightful Strike 3^,^^,^^
^SB_1_0_0003_Description^,^세게 치기 (Lv3) 스킬을 배울 수 있는 스킬북 입니다.^,^強打 (Lv3) スキルを習得できるスキルブック。^,^^,^Read this book to learn Rightful Strike level 3.^,^^,^^
^SB_1_0_0004_Name^,^세게 치기 (LV4)^,^強打 (LV4)^,^^,^Rightful Strike 4^,^^,^^
^SB_1_0_0004_Description^,^세게 치기 (Lv4) 스킬을 배울 수 있는 스킬북 입니다.^,^強打 (Lv4) スキルを習得できるスキルブック。^,^^,^Read this book to learn Rightful Strike level 4.^,^^,^^
^SB_1_0_0005_Name^,^세게 치기 (LV5)^,^強打 (LV5)^,^^,^Rightful Strike 5^,^^,^^
^SB_1_0_0005_Description^,^세게 치기 (Lv5) 스킬을 배울 수 있는 스킬북 입니다.^,^強打 (Lv5) スキルを習得できるスキルブック。^,^^,^Read this book to learn Rightful Strike level 5.^,^^,^^
^SB_1_0_0006_Name^,^세게 치기 (LV6)^,^強打 (LV6)^,^^,^Rightful Strike 6^,^^,^^
^SB_1_0_0006_Description^,^세게 치기 (Lv6) 스킬을 배울 수 있는 스킬북 입니다.^,^強打 (Lv6) スキルを習得できるスキルブック。^,^^,^Read this book to learn Rightful Strike level 6.^,^^,^^
^SB_1_0_0007_Name^,^세게 치기 (LV7)^,^強打 (LV7)^,^^,^Rightful Strike 7^,^^,^^
^SB_1_0_0007_Description^,^세게 치기 (Lv7) 스킬을 배울 수 있는 스킬북 입니다.^,^強打 (Lv7) スキルを習得できるスキルブック。^,^^,^Read this book to learn Rightful Strike level 7.^,^^,^^
