t_key,t_korean
^CA_ST_CM_0231_Name^,^Taegeuk Cloak (30 days)^
^CA_ST_CM_0231_Description^,^<r_y> Taegeuk caps (30 days) can be worn for 30 days and then automatically disappears The taekwondo cloak (30 days) is consumed from the moment you enter the bag </R_Y>^
^MS_ST_CM_0006_Name^,^Pure weapon of Archeron Conqueror (6 days)^
^MS_ST_CM_0006_Description^,^<R_Y> The pure weapon (6 days) of the Archeron conqueror can be worn for 6 days and then automatically disappears The pure weapon (6 days) of the Archeron conqueror is consumed from the moment you enter the bag </R_Y>^
^CA_ST_CM_0258_Name^,^Ellora's Wings (3 days)^
^CA_ST_CM_0259_Name^,^White Pentagram (3 days)^
^CA_ST_CM_0260_Name^,^Academic goods weapon costumes (3 days)^
^CA_ST_CM_0258_Description^,^<r_y> Ellora's wings (3 days) can be worn for 3 days and then automatically disappeared Ellora's wings (3 days) spend time from the moment they enter the bag </R_Y>^
^CA_ST_CM_0259_Description^,^<r_y> White pentagram (3 days) can be worn for 3 days and then automatically disappears White pentagram (3 days) is consumed from the moment you enter the bag </R_Y>^
^CA_ST_CM_0260_Description^,^<R_Y> School supplies weapon costumes (3 days) can be worn for 3 days and automatically disappeared Academic goods weapon costumes (3 days) are consumed from the moment they enter the bag </R_Y>^
^EV_ST_DO_0001_Name^,^Pure costume of ancient golden horse dragons (7 days)^
^EV_ST_DO_0001_Description^,^Time is spent from the moment you enter the bag and you can wear it for 7 days When the period expires it automatically disappears </R_Y>^
^IT_ST_DO_0002_Name^,^One -handed magic rod of ancient golden horse dragons (30 days)^
^IT_ST_DO_0002_Description^,^Time is spent from the moment you enter the bag and you can wear it for 30 days When the period expires it automatically disappears </R_Y>^
^EV_ST_DO_0003_Name^,^Pure costume of ancient golden horse dragons (30 days)^
^EV_ST_DO_0003_Description^,^Time is spent from the moment you enter the bag and you can wear it for 30 days When the period expires it automatically disappears </R_Y>^
^CA_ST_CM_0264_Name^,^Hakanas Student Uniform (3 days)^
^CA_ST_CM_0265_Name^,^Hakanas Student Uniform (7th)^
^CA_ST_CM_0264_Description^,^<r_y> Hakanas Student Uniform (3 days) can be worn for 3 days and then automatically disappears <br> The new school year Hakanas student uniform (3 days) is spent from the moment you enter the bag </R_y </r_y >^
