t_key,t_korean
^EW0_003_0_0002_Name^,^Bragain Hunter's Dagger (Secondary)^
^EW0_004_0_0001_Name^,^Worker Bragain Skewers^
^EW2_016_0_0000_Name^,^Gust's Ladle^
^EW4_002_0_0002_Name^,^Tony Kleki's Sword (Secondary)^
^EW4_011_0_9002_Name^,^Jason Clecky's Dagger (Secondary)^
^EW4_013_0_9002_Name^,^Combatant's Dagger (Secondary)^
^EW8_001_0_0000_Name^,^Skull Soldier's Shield^
^EW8_003_0_0000_Name^,^Skull Guard Knight's Shield^
^EW8_027_0_0000_Name^,^The Lion's Shield of Light^
^EW8_013_0_0000_Name^,^Steel Sentinel's One-Handed Shield^
^EW8_015_0_0000_Name^,^Chief Bragi's Shield^
^EW4_005_0_0001_Name^,^Ice Commander Rondo's Sword (Secondary)^
^EW2_041_0_0000_Name^,^Gust's Frying Pan^
^SU0_001_0_9999_Name^,^Lobby Shield 001^
^SU0_002_0_9999_Name^,^Lobby Shield 002^
^SU0_003_0_9999_Name^,^lobby Shield 003^
^SU0_004_0_9999_Name^,^Lobby Shield 004^
^SU0_005_0_9999_Name^,^Lobby Shield 005^
^SU0_006_0_9999_Name^,^Lobby Shield 006^
^SU0_007_0_9999_Name^,^Lobby Shield 007^
^SU0_008_0_9999_Name^,^Lobby Shield 008^
^SU0_009_0_9999_Name^,^Lobby Shield 009^
^SU0_010_0_9999_Name^,^Lobby Shield 010^
^SU0_011_0_9999_Name^,^Lobby Shield 011^
^SU0_012_0_9999_Name^,^Lobby Shield 012^
^SU0_013_0_9999_Name^,^Lobby Shield 013^
^SU0_014_0_9999_Name^,^Lobby Shield 014^
^SU0_015_0_9999_Name^,^Lobby Shield 015^
^SU0_016_0_9999_Name^,^Lobby Shield 016^
^SU0_017_0_9999_Name^,^Lobby Shield 017^
^SU0_018_0_9999_Name^,^Lobby Shield 018^
^SU0_019_0_9999_Name^,^Lobby Shield 019^
^SU0_020_0_9999_Name^,^Lobby Shield 020^
^SU0_021_0_9999_Name^,^Lobby Shield 021^
^SU0_022_0_9999_Name^,^Lobby Shield 022^
^SU0_017_0_1011_Name^,^Old Shield^
^SU0_017_0_1051_Name^,^Normal Shield^
^SU0_017_0_2061_Name^,^Shield of the New Dragon Knights^
^SU0_001_0_1101_Name^,^Useful Shield^
^SU0_002_0_2102_Name^,^Fairy's Shield^
^SU0_001_0_2101_Name^,^Forest Shield^
^SU0_002_0_1151_Name^,^General's Shield^
^SU0_006_0_2151_Name^,^The Assaulter's Shield^
^SU0_002_0_2141_Name^,^Shield of the Ancient Fire Golem^
^SU0_006_0_2171_Name^,^Dispatch's Shield^
^SU0_006_0_1201_Name^,^Master's Shield^
^SU0_007_0_2201_Name^,^Vampire's Shield^
^SU0_007_0_2202_Name^,^The Shield of the Militia^
^SU0_007_0_2221_Name^,^Cursed Shield^
^SU0_007_0_1251_Name^,^Elite Soldier's Shield^
^SU0_003_0_3231_Name^,^Garrison's Shield^
^SU0_003_0_2251_Name^,^Shield of the Sky^
^SU0_003_0_2254_Name^,^Snowfield Shield^
^SU0_005_0_3341_Name^,^The Cold Shield^
^SU0_003_0_2252_Name^,^Giant's Shield^
^SU0_005_0_3342_Name^,^Yataiman's Shield^
^SU0_003_0_1301_Name^,^New Templar's Shield^
^SU0_004_0_2301_Name^,^The Fury's Shield^
^SU0_004_0_2271_Name^,^Shield of the Wind Militia^
^SU0_010_0_3351_Name^,^Corrupted Follower's Shield^
^SU0_004_0_1351_Name^,^Skilled Templar's Shield^
^SU0_005_0_2351_Name^,^Shield of the Frost Legion^
^SU0_005_0_1401_Name^,^Krokun's Shield^
^SU0_010_0_3301_Name^,^Ice Commander's Shield^
^SU0_353_1_1402_Name^,^Elite Templar's Shield^
^SU0_002_0_2142_Name^,^Shield of the Knights of Pegasus^
^SU0_006_0_2191_Name^,^Shield of the Undead Legion^
^SU0_006_0_3401_Name^,^The Commander-in-Chief's Shield^
^SU1_017_0_1011_Name^,^Old Crest^
^SU1_017_0_1051_Name^,^Normal Crests^
^SU1_017_0_2061_Name^,^Crest of the New Dragon Knights^
^SU1_001_0_1101_Name^,^Useful Crests^
^SU1_002_0_2102_Name^,^Fairy Crest^
^SU1_001_0_2101_Name^,^Forest Crest^
^SU1_002_0_1151_Name^,^Crests of regular soldiers^
^SU1_006_0_2151_Name^,^The Assault's Crest^
^SU1_002_0_2141_Name^,^Ancient Fire Golem Crest^
^SU1_006_0_2171_Name^,^Crest of the contingent^
^SU1_006_0_1201_Name^,^Crest of the skilled soldier^
^SU1_007_0_2201_Name^,^Vampire Crest^
^SU1_007_0_2202_Name^,^Crest of the militia^
^SU1_007_0_2221_Name^,^Crest of the Cursed House^
^SU1_007_0_1251_Name^,^Elite Soldier's Crest^
^SU1_003_0_3231_Name^,^Garrison Crests^
^SU1_003_0_2251_Name^,^Crest of the Sky^
^SU1_003_0_2254_Name^,^Snowfield Crest^
^SU1_004_0_2271_Name^,^Crest of the cold weather^
^SU1_003_0_2252_Name^,^Crest of the Giants^
^SU1_004_0_2272_Name^,^Crest of Yatai only^
^SU1_003_0_1301_Name^,^Crests of new knights^
^SU1_004_0_2301_Name^,^The Crest of the Bundles^
^SU1_005_0_1401_Name^,^Crest of the Wind Militia^
^SU1_005_0_3341_Name^,^Crest of the Fallen Follower^
^SU1_004_0_1351_Name^,^Skilled Knights Crest^
^SU1_005_0_2351_Name^,^Crest of the Frost Legion^
^SU1_010_0_3351_Name^,^Krokun Crest^
^SU1_010_0_3301_Name^,^The Crest of the Ice Legionnaire^
^SU1_353_1_1402_Name^,^Crests of the elite knights^
