t_key,t_korean
^SU2_001_0_2101_EV3_Name^,^Hero's Armor I^
^SU2_002_0_2102_EV3_Name^,^Hero's Armor II^
^SU2_006_0_2151_EV3_Name^,^Hero's Armor III^
^SU2_007_0_2202_EV3_Name^,^Hero's Armor IV^
^SU2_005_0_3341_EV3_Name^,^Hero's Armor V^
^SU2_010_0_3351_EV3_Name^,^Hero's Armor VI^
^SU2_010_0_3301_EV3_Name^,^Hero's Armor VII^
^SU2_006_0_3401_EV3_Name^,^Hero's Armor VIII^
^SU0_604_018_6000_Name^,^Alsatian Shield^
^SU5_604_000_6001_Name^,^Alsatian Crest^
^SU2_604_011_6002_Name^,^Alsatian Gauntlets^
^SU0_CA2_018_5000_Name^,^2nd Anniversary Ellora's Shield^
^SU1_CA2_000_5001_Name^,^2nd Anniversary Ellora's Crest^
^SU2_CA2_011_5002_Name^,^2nd Anniversary Ellora's Gauntlets^
^PVP_SU0_400_018_6000_Name^,^Telleo Dark Shield^
^PVP_SU1_400_000_6001_Name^,^Telleo Dark Crest^
^PVP_SU2_400_011_6002_Name^,^Telleo Dark Gauntlets^
^SU3_201_0_0000_Name^,^Lobby Teddy Bear^
^SU3_101_0_0001_Name^,^Old Teddy Bear^
^SU3_101_0_0004_Name^,^New Dragon Knights Teddy Bear^
^SU3_101_0_0006_Name^,^Forest Teddy Bear^
^SU3_110_0_0110_Name^,^Fairy Teddy Bear^
^SU3_110_0_0009_Name^,^Contingent Teddy Bear^
^SU3_110_0_0015_Name^,^Dead Teddy Bear^
^SU3_110_1_0015_Name^,^Attacker's Teddy Bear^
^SU3_120_0_0020_Name^,^Count's Teddy Bear^
^SU3_120_0_0022_Name^,^Garrison Teddy Bear^
^SU3_120_0_0025_Name^,^Sky Teddy Bear^
^SU3_120_1_0025_Name^,^Snowy Teddy Bear^
^SU3_120_0_0027_Name^,^Family Teddy Bear^
^SU3_120_0_0028_Name^,^Cultist Teddy Bear^
^SU3_001_0_0030_Name^,^Reinforced Mithril Teddy Bear^
