t_key,t_korean
^EW0_001_0_0000_Name^,^(Old) Salant's Sword^
^EW0_003_0_0000_Name^,^Braghin Worker's Saw^
^EW0_003_0_0001_Name^,^Braghin Hunter's Bandsaw^
^EW0_004_0_0000_Name^,^Braghin Worker's Skewer^
^EW0_006_0_0000_Name^,^Braghin Scout's Sword^
^EW0_006_0_0001_Name^,^Braghin Scout's Sword (Long Range)^
^EW0_008_0_0000_Name^,^Elite Braghin Warrior's Sword^
^EW0_009_0_0000_Name^,^Skeleton Soldier's Sword^
^EW0_999_0_0000_Name^,^Rusty Iron Sword (NPC)^
^EW0_999_0_0001_Name^,^Longsword (NPC)^
^EW0_010_0_0000_Name^,^Karade Pirate Keeper's Hatchet^
^EW0_011_0_0000_Name^,^Chief Mate Keelhaul's Bandsaw^
^EW0_012_0_0000_Name^,^Pirate King Varanac's Sword^
^EW0_012_0_0001_Name^,^Merumi Warrior's Short Spear^
^EW0_013_0_0000_Name^,^Karade Pirate Guard's Throwing Sword^
^EW0_014_0_0000_Name^,^Karade Pirate Deckhand's Cutlass^
^EW0_014_0_0001_Name^,^Comital Scout's Sword^
^EW0_014_0_0002_Name^,^Merumi Javelinier's Javelin^
^EW0_015_0_0000_Name^,^Agul Hunter's Bone Spear^
^EW0_016_0_0000_Name^,^Chief Muglock's Bone Sword^
^EW0_017_0_0000_Name^,^Skeleton Defender's Sword^
^EW0_019_0_0000_Name^,^Crokhoon Sword^
^EW0_020_0_0000_Name^,^Crokhoon Hatchet^
^EW0_021_0_0000_Name^,^Lyga's Sword^
^EW0_022_0_0000_Name^,^Yeritz's Sword^
^EW0_023_0_0000_Name^,^Dark Army Knight's Sword^
^EW0_024_0_0000_Name^,^Commander Hellpa's Sword^
^EW0_025_0_0000_Name^,^Urvus' Sword^
^EW0_047_0_0000_Name^,^Envoy of Light's Shield^
^EW0_053_0_0000_Name^,^Count Rondo's Sword^
^EW1_002_0_0000_Name^,^Shu'khan's Heavy Axe^
^EW1_004_0_0000_Name^,^Ashuram's Scythe^
^EW1_012_0_0000_Name^,^Rondo's Greatsword^
^EW2_000_0_0000_Name^,^Merumi Javelin (Transparent)^
^EW2_001_0_0000_Name^,^Yeti Hunter's Spear^
^EW2_001_0_0001_Name^,^Yeti Warrior's Spear^
^EW2_001_0_0002_Name^,^Ryno Soldier's Axe^
^EW2_002_0_0000_Name^,^Braghin Worker's Pickaxe^
^EW2_002_0_0001_Name^,^Braghin Worker's Axe^
^EW2_003_0_0000_Name^,^Braghin Worker's Hammer^
^EW2_005_0_0000_Name^,^Braghin Overseer's Weapon^
^EW2_005_0_0001_Name^,^Braghin Chieftain's Weapon (Transformed)^
^EW2_005_0_0002_Name^,^Hecterson's Instrument^
^EW2_005_0_0003_Name^,^Vampire Guard's One-Handed Weapon^
^EW2_007_0_0000_Name^,^Braghin Worker's Axe^
^EW2_008_0_0000_Name^,^Braghin Worker's Hoe^
^EW2_009_0_0000_Name^,^NPC Guard_Spear^
^EW2_010_0_0000_Name^,^Skeleton Soldier's Axe^
^EW2_011_0_0000_Name^,^Ryno Soldier's Hatchet^
^EW2_013_0_0000_Name^,^Yeti Warrior's Club^
^EW2_015_0_0000_Name^,^Agul Fighter's Bone Club^
^EW2_016_0_0001_Name^,^Gustav's Ladle^
^EW2_019_0_0000_Name^,^Crokhoon Leopard Rider's Spear^
^EW2_020_0_0000_Name^,^Makontin's Smithing Hammer^
^EW2_022_0_0000_Name^,^Male Blacksmith's Hammer^
^EW2_030_0_0000_Name^,^Titan Hunter's Club^
^EW2_033_0_0000_Name^,^Titan Patrol's Hatchet^
^EW2_044_0_0000_Name^,^Rex's Weapon^
^EW2_045_0_0000_Name^,^Daveen's Gem Hammer^
