t_key,t_korean
^WE7_001_0_2101_EV3_Name^,^Hero's Shortbow I^
^WE7_002_0_2102_EV3_Name^,^Hero's Shortbow II^
^WE7_015_0_2151_EV3_Name^,^Hero's Shortbow III^
^WE7_004_0_2202_EV3_Name^,^Hero's Shortbow IV^
^WE7_018_0_3281_EV3_Name^,^Hero's Shortbow V^
^WE7_010_0_3282_EV3_Name^,^Hero's Shortbow VI^
^WE7_009_0_3301_EV3_Name^,^Hero's Shortbow VII^
^WE7_008_0_3351_EV3_Name^,^Hero's Shortbow VIII^
^EW2_045_0_0003_Name^,^Maid Devy Weapon^
^WE0_400_6000_Name^,^Alsas Sword^
^WE1_400_6001_Name^,^Alsas Greatsword^
^WE2_400_6002_Name^,^Alsas Dagger^
^WE3_400_6003_Name^,^Alsas Scepter^
^WE4_400_6004_Name^,^Alsas Staff^
^WE5_400_6005_Name^,^Alsas Lance^
^WE6_400_6006_Name^,^Alsas Crossbow^
^WE6_400_6007_Name^,^Alsas Shortbow^
^WE0_CA2_5000_Name^,^2nd Year Anniversary Ellora's Sword^
^WE1_CA2_5001_Name^,^2nd Year Anniversary Ellora's Greatsword^
^WE4_CA2_5002_Name^,^2nd Year Anniversary Ellora's Dagger^
^WE5_CA2_5003_Name^,^2nd Year Anniversary Ellora's Scepter^
^WE6_CA2_5004_Name^,^2nd Year Anniversary Ellora's Staff^
^WE8_CA2_5005_Name^,^2nd Year Anniversary Ellora's Lance^
^WE9_CA2_5006_Name^,^2nd Year Anniversary Ellora's Crossbow^
^WE7_CA2_5007_Name^,^2nd Year Anniversary Ellora's Shortbow^
^PVP_WE0_400_6000_Name^,^Teleo's Dark Sword^
^PVP_WE1_400_6001_Name^,^Teleo's Dark Greatsword^
^PVP_WE2_400_6002_Name^,^Teleo's Dark Dagger^
^PVP_WE3_400_6003_Name^,^Teleo's Dark Scepter^
^PVP_WE4_400_6004_Name^,^Teleo's Dark Staff^
^PVP_WE5_400_6005_Name^,^Teleo's Dark Lance^
^PVP_WE6_400_6006_Name^,^Teleo's Dark Crossbow^
^PVP_WE6_400_6007_Name^,^Teleo's Dark Shortbow^
^WE11_001_0_0000_Name^,^Lobby Scepter^
^WE11_101_0_0000_Name^,^Rusty Magic Wand^
^WE11_101_0_0004_Name^,^Dragon Knights' Magic Wand^
^WE11_101_0_0006_Name^,^Forest's Magic Wand^
^WE11_101_0_0008_Name^,^Fairy's Magic Wand^
^WE11_110_0_0009_Name^,^Detachment Magic Wand^
^WE11_110_0_0013_Name^,^Dead Magic Wand^
^WE11_110_1_0013_Name^,^Marauding Knight's Magic Wand^
^WE11_110_0_0018_Name^,^The Count's Magic Wand^
^WE11_120_0_0022_Name^,^Garrison's Magic Wand^
^WE11_120_0_0023_Name^,^Azure Magic Wand^
^WE11_120_0_0025_Name^,^Snowfield Magic Wand^
^WE11_120_0_0028_Name^,^Merumi's Magic Wand^
^WE11_120_0_0029_Name^,^Zealot's Magic Wand^
^WE11_001_0_0030_Name^,^Tempered Mithril Magic Wand^
^WE11_001_1_0030_Name^,^Crude Hunting Magic Wand^
^WE11_001_2_0030_Name^,^Shining Mithril Magic Wand^
^WE11_001_3_0030_Name^,^Corrupted Follower Magic Wand^
^WE11_001_0_0031_Name^,^Crokhoon Magic Wand^
^WE11_001_0_0035_Name^,^Blessed Aisha's Magic Wand^
^WE11_001_1_0035_Name^,^Perfected Mithril Magic Wand^
^WE11_001_2_0035_Name^,^Ruinous Magic Wand^
^WE11_002_0_0040_Name^,^Blessed Supreme Commander's Magic Wand^
^PVPWE11_p001_0_040_Name^,^Embellished Hunting Magic Wand^
