t_key,t_korean
^loading_tip_f00_001^,^Use the [W], [A], [S], and [D] keys to move forward, left, back, and right, respectively.^
^loading_tip_f00_002^,^Move your camera by holding down on the right mouse button then moving your mouse.^
^loading_tip_f00_003^,^Press the Auto-Attack icon after selecting a target to attack it.^
^loading_tip_d00_001^,^Party with your friends to take on difficult dungeons.^
^loading_tip_d00_002^,^When you die in a dungeon, you'll revive at the dungeon entrance.^
^loading_tip_d00_003^,^Click the Victory Shrine after completing a dungeon to exit.^
^loading_tip_f01_001^,^Press [F] to talk to a nearby NPC.^
^loading_tip_f01_002^,^Press [F] to pick up loot.^
^loading_tip_f01_003^,^Place your skills, potions, and emotes on your quickslot bar for easier access.^
^loading_tip_f01_004^,^Hold the middle mouse button to move your camera.^
^loading_tip_f01_005^,^Use transit shrines to get around more quickly.^
^loading_tip_f01_006^,^When you die, you'll suffer from dire wounds. Talk to a mender to cure them.^
^loading_tip_f01_007^,^There are so many familiars in the world. Tame the ones tHat catch your eye!^
^loading_tip_f01_008^,^Press Ctrl + Tab to select nearby allies.^
^loading_tip_f01_009^,^Starting at level 7, you'll no longer receive the Goddess's Blessing.^
^loading_tip_f01_010^,^Too crowded? Try moving to a different channel.^
^loading_tip_f01_011^,^Stuck in terrain? Use your recall stone to escape.^
^loading_tip_f01_012^,^You can use world shrines to teleport to different regions of the world.^
^loading_tip_f01_013^,^The more you successfully temper an item, the more effects you'll get.^
^loading_tip_f01_014^,^Familiars gain EXP even while they're just standing around.^
^loading_tip_f01_015^,^Go to the Settings menu to get another quickslot bar.^
^loading_tip_f01_016^,^Use talents to enhance your skills.^
^loading_tip_f01_017^,^Press ] to see dungeon reset information.^
^loading_tip_f01_018^,^Every attempt at taming consumes taming points.^
^loading_tip_f01_019^,^Taming points reset upon level up. They also reset at 4 AM CET each day.^
^loading_tip_f01_020^,^Use sealed familiars to obtain talent power.^
^loading_tip_f01_021^,^The elite familiars of Parna's Coast have a natural resistance to the cold.^
^loading_tip_f01_022^,^You can craft all sorts of special items.^
^loading_tip_f01_023^,^Familiars can require different amounts of taming points to tame.^
