t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^N_C02_CarmTreasS1_001_Name^,^무라크^,^ムラク^,^^,^Murak^,^^,^^
^N_C02_CarmTreasS1_001_NameDetail^,^해적^,^海賊^,^^,^Pirate^,^^,^^
^N_C02_CarmTreasS1_002_Name^,^유바^,^ユバ^,^^,^Yuba^,^^,^^
^N_C02_CarmTreasS1_002_NameDetail^,^카라드해적단^,^カラード海賊団^,^^,^Karade Pirate^,^^,^^
^N_C02_HuFBank01_001_Name^,^에레만^,^エレマン^,^^,^Ereman^,^^,^^
^N_C02_HuFBank01_001_NameDetail^,^여행자^,^旅人^,^^,^Adventurer^,^^,^^
^N_C02_HuFEli01_001_Name^,^유니스^,^ユニス^,^^,^Yunis^,^^,^^
^N_C02_HuFEli01_001_NameDetail^,^잠입요원^,^潜入要員^,^^,^Infiltration Agent^,^^,^^
^N_C02_HuFFar01_001_Name^,^바하^,^バハ^,^^,^Bach^,^^,^^
^N_C02_HuFFar01_001_NameDetail^,^노예^,^奴隷^,^^,^Slave^,^^,^^
^N_C02_HuFFar01_002_Name^,^노예^,^奴隷^,^^,^Slave^,^^,^^
^N_C02_HuFFar01_002_NameDetail^,^^,^^,^^,^^,^^,^^
^N_C02_HuFFar01_003_Name^,^시람 라메트^,^シラム ラメート^,^^,^Siram Lamet^,^^,^^
^N_C02_HuFFar01_003_NameDetail^,^광부^,^鉱夫^,^^,^Miner^,^^,^^
^N_C02_HuFFar01_004_Name^,^에베인^,^エベイン^,^^,^Ebein^,^^,^^
^N_C02_HuFFar01_004_NameDetail^,^모험가^,^冒険家^,^^,^Adventurer^,^^,^^
^N_C02_HuFFar01_005_Name^,^주마^,^ジューマー^,^^,^Juma^,^^,^^
^N_C02_HuFFar01_005_NameDetail^,^농부^,^農民^,^^,^Farmer^,^^,^^
^N_C02_HuFfooE01_001_Name^,^아야만^,^アヤマン^,^^,^Ayaman^,^^,^^
^N_C02_HuFfooE01_001_NameDetail^,^관리인^,^管理人^,^^,^Manager^,^^,^^
^N_C02_HuFKep01_001_Name^,^파티마^,^パティマ^,^^,^Patima^,^^,^^
^N_C02_HuFKep01_001_NameDetail^,^백색의 치료사^,^白色の治療士^,^^,^Mender^,^^,^^
^N_C02_HuFKep01_002_Name^,^티프^,^ティプ^,^^,^Tiff^,^^,^^
^N_C02_HuFKep01_002_NameDetail^,^백색의 치료사^,^白色の治療士^,^^,^Mender^,^^,^^
^N_C02_HuFKep01_003_Name^,^아브하^,^アブハ^,^^,^Abha^,^^,^^
^N_C02_HuFKep01_003_NameDetail^,^백색의 치료사^,^白色の治療士^,^^,^Mender^,^^,^^
^N_C02_HuFKep01_004_Name^,^카사^,^カサ^,^^,^Kasa^,^^,^^
^N_C02_HuFKep01_004_NameDetail^,^백색의 치료사^,^白色の治療士^,^^,^Mender^,^^,^^
^N_C02_HuFKep01_005_Name^,^세레나^,^セレナ^,^^,^Serena^,^^,^^
^N_C02_HuFKep01_005_NameDetail^,^조사단^,^調査団^,^^,^Investigation Team^,^^,^^
^N_C02_HuFKep01_006_Name^,^루센^,^ルセン^,^^,^Lucen^,^^,^^
^N_C02_HuFKep01_006_NameDetail^,^백색의 치료사^,^白色の治療士^,^^,^Mender^,^^,^^
^N_C02_HuFLib02_001_Name^,^레인 돌멘^,^レイン ドルマン^,^^,^Lain Dolman^,^^,^^
^N_C02_HuFLib02_001_NameDetail^,^잡화 상인^,^雑貨商人^,^^,^General Merchant^,^^,^^
^N_C02_HuFLib02_002_Name^,^하스탄주민^,^ハスタン村人^,^^,^Hastan Villager^,^^,^^
^N_C02_HuFLib02_002_NameDetail^,^^,^^,^^,^^,^^,^^
^N_C02_HuFLine01_001_Name^,^에이든 헤이글^,^ヘイグル^,^^,^Aden Heigl^,^^,^^
^N_C02_HuFLine01_001_NameDetail^,^용병대장^,^傭兵隊長^,^^,^Mercenary Commander^,^^,^^
^N_C02_HuFLine01_002_Name^,^시아나 램스터^,^シアナ ラムスター^,^^,^Seana Lamster^,^^,^^
^N_C02_HuFLine01_002_NameDetail^,^대사제^,^大司祭^,^^,^High Priest^,^^,^^
^N_C02_HuFLine01_003_Name^,^리제 아크스^,^リゼ アクス^,^^,^Lizeh Achs^,^^,^^
^N_C02_HuFLine01_003_NameDetail^,^사제^,^司祭^,^^,^Priest^,^^,^^
^N_C02_HuFMag01_001_Name^,^나얀^,^ナヤン^,^^,^Nayan^,^^,^^
^N_C02_HuFMag01_001_NameDetail^,^조사원^,^調査員^,^^,^Investigator^,^^,^^
^N_C02_HuFMer01_001_Name^,^라일라^,^ライラー^,^^,^Lila^,^^,^^
^N_C02_HuFMer01_001_NameDetail^,^음식 상인^,^食料商人^,^^,^Food Merchant^,^^,^^
^N_C02_HuFMer01_002_Name^,^자밀^,^ジャミル^,^^,^Jamille^,^^,^^
