t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^n_c02_1_0001_Name^,^거대 부유 고래^,^!!^,^^,^Sky Titan^,^^,^^
^n_c02_1_0001_NameDetail^,^^,^!!^,^^,^^,^^,^^
^n_c02_1_0002_Name^,^선장 윌버그^,^^,^^,^Captain Willburg^,^^,^^
^n_c02_1_0002_NameDetail^,^바다 펠로우 로이카호 선장^,^^,^^,^Sea Familiar Roika Captain^,^^,^^
^n_c02_1_0003_Name^,^에레만^,^^,^^,^Ereman^,^^,^^
^n_c02_1_0003_NameDetail^,^로이카호 일등 항해사^,^^,^^,^Chief Mate of Roika^,^^,^^
^n_c02_1_0004_Name^,^자툴란 경비대^,^^,^^,^Zatulan Guards^,^^,^^
^n_c02_1_0004_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_1_0005_Name^,^자툴란 경비대^,^^,^^,^Zatulan Guards^,^^,^^
^n_c02_1_0005_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_1_0006_Name^,^라비니 엘루미^,^^,^^,^Ellumi Rabbini^,^^,^^
^n_c02_1_0006_NameDetail^,^엘룬 상인^,^^,^^,^Ellun Merchant^,^^,^^
^n_c02_1_0007_Name^,^파티마^,^^,^^,^Patima^,^^,^^
^n_c02_1_0007_NameDetail^,^백색의 치료사^,^^,^^,^White Healer^,^^,^^
^n_c02_1_0008_Name^,^임무 게시판^,^^,^^,^Quest Board^,^^,^^
^n_c02_1_0008_NameDetail^,^자툴란 교역항^,^^,^^,^Zatulan Entrepot^,^^,^^
^n_c02_1_0009_Name^,^아마린^,^^,^^,^Amarin^,^^,^^
^n_c02_1_0009_NameDetail^,^물약 상인^,^^,^^,^Potion Merchant^,^^,^^
^n_c02_1_0010_Name^,^라일라^,^^,^^,^Laila^,^^,^^
^n_c02_1_0010_NameDetail^,^잡화 상인^,^^,^^,^General Merchant^,^^,^^
^n_c02_1_0011_Name^,^라만^,^^,^^,^Raman^,^^,^^
^n_c02_1_0011_NameDetail^,^음식 상인^,^^,^^,^Food Merchant^,^^,^^
^n_c02_1_0012_Name^,^벨 벡슨^,^^,^^,^Bell Vexon^,^^,^^
^n_c02_1_0012_NameDetail^,^판매 대행 중개인^,^^,^^,^Auction Broker^,^^,^^
^n_c02_1_0013_Name^,^아라크라 무크라^,^^,^^,^Arakhra Mukhra^,^^,^^
^n_c02_1_0013_NameDetail^,^창고지기^,^^,^^,^Portable Storage Master^,^^,^^
^n_c02_1_0014_Name^,^키르 타르파^,^^,^^,^Kheer Tarpa^,^^,^^
^n_c02_1_0014_NameDetail^,^야수 조련사^,^^,^^,^Beast Trainer^,^^,^^
^n_c02_1_0015_Name^,^키르 타르파의 펠로우^,^^,^^,^Kheer Tarpa's Familiar^,^^,^^
^n_c02_1_0015_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_1_0016_Name^,^샤이크^,^^,^^,^Shaikh^,^^,^^
^n_c02_1_0016_NameDetail^,^무기 상인^,^^,^^,^Weapon Merchant^,^^,^^
^n_c02_1_0017_Name^,^무라크^,^^,^^,^Muraque^,^^,^^
^n_c02_1_0017_NameDetail^,^무기 제작 기술자^,^^,^^,^Weapon Craftsman^,^^,^^
^n_c02_1_0018_Name^,^무기제작대^,^^,^^,^Weapon Anvil^,^^,^^
^n_c02_1_0018_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_1_0019_Name^,^나스르^,^^,^^,^Nassr^,^^,^^
^n_c02_1_0019_NameDetail^,^방어구 상인^,^^,^^,^Armor Merchant^,^^,^^
^n_c02_1_0020_Name^,^마즈눈^,^^,^^,^Majnun^,^^,^^
^n_c02_1_0020_NameDetail^,^방어구 제작 기술자^,^^,^^,^Armor Craftsman^,^^,^^
^n_c02_1_0021_Name^,^방어구제작대^,^^,^^,^Armor Anvil^,^^,^^
^n_c02_1_0021_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_1_0022_Name^,^가릴 포네트^,^^,^^,^Garil Ponet^,^^,^^
^n_c02_1_0022_NameDetail^,^요리 장인^,^^,^^,^Master Chef^,^^,^^
^n_c02_1_0023_Name^,^게일 맥베인^,^^,^^,^Gale McBain^,^^,^^
^n_c02_1_0023_NameDetail^,^요리사^,^^,^^,^Cook^,^^,^^
^n_c02_1_0024_Name^,^조리기구^,^^,^^,^Cooker^,^^,^^
^n_c02_1_0024_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_1_0025_Name^,^키아스 라마드^,^^,^^,^Kyaas Ramad^,^^,^^
^n_c02_1_0025_NameDetail^,^연금술 장인^,^^,^^,^Master Alchemist^,^^,^^
^n_c02_1_0026_Name^,^미올 맥시드^,^^,^^,^Miol Maxid^,^^,^^
^n_c02_1_0026_NameDetail^,^연금술사^,^^,^^,^Alchemist^,^^,^^
^n_c02_1_0027_Name^,^실험기구^,^^,^^,^Experiment Tool^,^^,^^
^n_c02_1_0027_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_1_0028_Name^,^다미야^,^^,^^,^Damiya^,^^,^^
^n_c02_1_0028_NameDetail^,^장신구 제작 기술자^,^^,^^,^Accessory Craftsman^,^^,^^
^n_c02_1_0029_Name^,^장신구제작대^,^^,^^,^Accessory Anvil^,^^,^^
^n_c02_1_0029_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_1_0030_Name^,^에길 노튼^,^^,^^,^Agil Noton^,^^,^^
^n_c02_1_0030_NameDetail^,^펠로우 장인^,^^,^^,^Familiar Craftsman^,^^,^^
^n_c02_1_0031_Name^,^나팜 아크바^,^^,^^,^Napam Akba^,^^,^^
^n_c02_1_0031_NameDetail^,^펠로우 연구학자^,^^,^^,^Familiar Researcher^,^^,^^
^n_c02_1_0032_Name^,^펠로우연구대^,^^,^^,^Familiar Study Table^,^^,^^
^n_c02_1_0032_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_1_0033_Name^,^유나 킴^,^^,^^,^Yuna Kim^,^^,^^
^n_c02_1_0033_NameDetail^,^풍요의 씨앗 조합^,^^,^^,^Seed of Fertility Union^,^^,^^
^n_c02_1_0034_Name^,^올라얀^,^^,^^,^Olayan^,^^,^^
^n_c02_1_0034_NameDetail^,^교역항 주민^,^^,^^,^Entrepot Resident^,^^,^^
^n_c02_1_0035_Name^,^바하^,^^,^^,^Bach^,^^,^^
^n_c02_1_0035_NameDetail^,^교역항 주민^,^^,^^,^Entrepot Resident^,^^,^^
^n_c02_1_0036_Name^,^파리드^,^^,^^,^Parid^,^^,^^
^n_c02_1_0036_NameDetail^,^콜렉터^,^^,^^,^Collector^,^^,^^
^n_c02_1_0037_Name^,^자우프^,^^,^^,^Jaouf^,^^,^^
^n_c02_1_0037_NameDetail^,^콜렉터의 펠로우^,^^,^^,^Collector's Familiar^,^^,^^
^n_c02_1_0038_Name^,^유바^,^^,^^,^Yuba^,^^,^^
^n_c02_1_0038_NameDetail^,^콜렉터 주화 보급원^,^^,^^,^Collector's Coin Supplier^,^^,^^
^n_c02_1_0039_Name^,^시람 라메트^,^^,^^,^Siram Lamet^,^^,^^
^n_c02_1_0039_NameDetail^,^촌장^,^^,^^,^Village Chief^,^^,^^
^n_c02_2_0001_Name^,^베르칸 경비대^,^^,^^,^Berkan Guards^,^^,^^
^n_c02_2_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_2_0002_Name^,^베르칸 경비대^,^^,^^,^Berkan Guards^,^^,^^
^n_c02_2_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_2_0003_Name^,^티프^,^^,^^,^Tiff^,^^,^^
^n_c02_2_0003_NameDetail^,^백색의 치료사^,^^,^^,^White Healer^,^^,^^
^n_c02_2_0004_Name^,^임무 게시판^,^^,^^,^Quest Board^,^^,^^
^n_c02_2_0004_NameDetail^,^베르칸 마을^,^^,^^,^Berkan Village^,^^,^^
^n_c02_2_0005_Name^,^자밀^,^^,^^,^Zamil^,^^,^^
^n_c02_2_0005_NameDetail^,^물약 상인^,^^,^^,^Potion Merchant^,^^,^^
^n_c02_2_0006_Name^,^위디아^,^^,^^,^Wydia^,^^,^^
^n_c02_2_0006_NameDetail^,^잡화 상인^,^^,^^,^General Merchant^,^^,^^
^n_c02_2_0007_Name^,^타지^,^^,^^,^Tazi^,^^,^^
^n_c02_2_0007_NameDetail^,^음식 상인^,^^,^^,^Food Merchant^,^^,^^
^n_c02_2_0008_Name^,^사트라^,^^,^^,^Satra^,^^,^^
^n_c02_2_0008_NameDetail^,^판매 대행 중개인^,^^,^^,^Auction Broker^,^^,^^
^n_c02_2_0009_Name^,^이반 루시드^,^^,^^,^Ivan Lucid^,^^,^^
^n_c02_2_0009_NameDetail^,^창고지기^,^^,^^,^Portable Storage Master^,^^,^^
^n_c02_2_0010_Name^,^리야드^,^^,^^,^Liyad^,^^,^^
^n_c02_2_0010_NameDetail^,^야수 조련사^,^^,^^,^Beast Trainer^,^^,^^
^n_c02_2_0011_Name^,^리야드의 펠로우^,^^,^^,^Liyad's Familiar^,^^,^^
^n_c02_2_0011_NameDetail^,^^,^^,^^,^^,^^,^^
^n_c02_2_0012_Name^,^하르갈 마흐람^,^^,^^,^Hargal Mahram^,^^,^^
^n_c02_2_0012_NameDetail^,^풍요의 씨앗 조합^,^^,^^,^Seed of Fertility Union^,^^,^^
^n_c02_2_0013_Name^,^하마드^,^^,^^,^Hamad^,^^,^^
^n_c02_2_0013_NameDetail^,^마을 주민^,^^,^^,^Villager^,^^,^^
^n_c02_2_0014_Name^,^아사프^,^^,^^,^Asaf^,^^,^^
^n_c02_2_0014_NameDetail^,^마을 주민^,^^,^^,^Villager^,^^,^^
^n_c02_2_0015_Name^,^카이르^,^^,^^,^Kayar^,^^,^^
^n_c02_2_0015_NameDetail^,^콜렉터^,^^,^^,^Collector^,^^,^^
^n_c02_2_0016_Name^,^왈리드^,^^,^^,^Walid^,^^,^^
