t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^N_f04_0_0001_0001_name^,^포^,^ポゥ^,^^,^Poe^,^^,^^
^N_f04_0_0001_0001_namedetail^,^바다 펠로우 고레카호 선장^,^海フェローゴレカ号船長^,^^,^HST Gorkahn Crew Lead^,^^,^^
^N_f04_0_0001_0002_name^,^조디^,^ジョディー^,^^,^Jody^,^^,^^
^N_f04_0_0001_0002_namedetail^,^페가수스 기사단원^,^ペガサス騎士団^,^^,^Pegasus Knight^,^^,^^
^N_f04_0_0001_0003_name^,^에롤^,^エロル^,^^,^Errol^,^^,^^
^N_f04_0_0001_0003_namedetail^,^페가수스 기사단장^,^ペガサス騎士団長^,^^,^Pegasus Knight Captain^,^^,^^
^N_f04_0_0001_0004_name^,^오스카^,^オスカー^,^^,^Oscar^,^^,^^
^N_f04_0_0001_0004_namedetail^,^페가수스 부기사단장^,^ペガサス副騎士団長^,^^,^Pegasus Knight Lieutenant^,^^,^^
^N_f04_0_0001_0005_name^,^믈렉^,^ムレッグ^,^^,^Mullec^,^^,^^
^N_f04_0_0001_0005_namedetail^,^진리의 마법사^,^真理の魔法師^,^^,^Virtue^,^^,^^
^N_f04_0_0001_0006_name^,^쿠아노마르^,^クアノーマル^,^^,^Quanomar^,^^,^^
^N_f04_0_0001_0006_namedetail^,^펠로우 사냥꾼^,^フェローハンター^,^^,^Familiar Trapper^,^^,^^
^N_f04_0_0001_0007_name^,^제룩스^,^ゼルクス^,^^,^Zelluchs^,^^,^^
^N_f04_0_0001_0007_namedetail^,^모험왕^,^冒険王^,^^,^Adventure King^,^^,^^
^N_f04_0_0001_0008_name^,^아쿨^,^アクル^,^^,^Achul^,^^,^^
^N_f04_0_0001_0008_namedetail^,^불사의 사막 정찰병^,^不死の砂漠偵察兵^,^^,^Cloying Wastes Wanderer^,^^,^^
^N_f04_0_0001_0018_name^,^무칸^,^ムカン^,^^,^Moukan^,^^,^^
^N_f04_0_0001_0018_namedetail^,^바다 펠로우 고레카호 선원^,^海フェローゴレカ号船員^,^^,^HST Gorkahn Crewman^,^^,^^
^N_f04_0_0001_0019_name^,^사르가소^,^サルガソ^,^^,^Sargaso^,^^,^^
^N_f04_0_0001_0019_namedetail^,^마법무기 장인^,^魔法武器職人^,^^,^Magic Weapon Master Craftsman^,^^,^^
^N_f04_0_0001_0020_name^,^앤디^,^アンディ^,^^,^Andy^,^^,^^
^N_f04_0_0001_0020_namedetail^,^페가수스 기사단원^,^ペガサス騎士団員^,^^,^Pegasus Knight^,^^,^^
^N_f04_0_0001_0021_name^,^로이^,^ロイ^,^^,^Roy^,^^,^^
^N_f04_0_0001_0021_namedetail^,^페가수스 기사단원^,^ペガサス騎士団員^,^^,^Pegasus Knight^,^^,^^
^N_f04_0_0001_0022_name^,^젤나르^,^ゼルナル^,^^,^Jelnar^,^^,^^
^N_f04_0_0001_0022_namedetail^,^멸망의 공역 신관^,^滅亡の空域神官^,^^,^Tritael Rift Priest^,^^,^^
^N_f04_0_0001_0023_name^,^에롤^,^エロル^,^^,^Errol^,^^,^^
^N_f04_0_0001_0023_namedetail^,^페가수스 기사단장^,^ペガサス騎士団長^,^^,^Pegasus Knight Captain^,^^,^^
^N_f04_0_0001_0024_name^,^에롤^,^エロル^,^^,^Errol^,^^,^^
^N_f04_0_0001_0024_namedetail^,^페가수스 기사단장^,^ペガサス騎士団長^,^^,^Pegasus Knight Captain^,^^,^^
^N_f04_0_0001_0025_name^,^메르쿠스^,^メルクス^,^^,^Mercuri^,^^,^^
^N_f04_0_0001_0025_namedetail^,^페가수스 기사단원^,^ペガサス騎士団員^,^^,^Pegasus Knight^,^^,^^
^N_f04_0_0001_0026_name^,^레이디 올리비에^,^レディー・オリビエ^,^^,^Lady Olivier^,^^,^^
^N_f04_0_0001_0026_namedetail^,^냉기 마법사^,^冷気の魔法師^,^^,^Ice Mage^,^^,^^
^N_f04_0_0001_0027_name^,^트리키아^,^トリキア^,^^,^Trichia^,^^,^^
^N_f04_0_0001_0027_namedetail^,^왕립연구소 수석연구원^,^王立研究所 主席研究員^,^^,^Royal Institute Chief Researcher^,^^,^^
^N_f04_0_0001_0028_name^,^루플라^,^ルプラ^,^^,^Rufala^,^^,^^
^N_f04_0_0001_0028_namedetail^,^페가수스 기사단원^,^ペガサス騎士団員^,^^,^Pegasus Knight^,^^,^^
^N_f04_0_0001_0029_name^,^호프만^,^エディ^,^^,^Haltham^,^^,^^
^N_f04_0_0001_0029_namedetail^,^멸망의 공역 신관^,^滅亡の空域神官^,^^,^Tritael Rift Priest^,^^,^^
^N_f04_0_0001_0030_name^,^라이샌더^,^ライサンダー^,^^,^Lisender^,^^,^^
^N_f04_0_0001_0030_namedetail^,^페가수스 기사단원^,^ペガサス騎士団員^,^^,^Pegasus Knight^,^^,^^
^N_f04_0_0001_0031_name^,^노리스^,^ノリス^,^^,^Norris^,^^,^^
^N_f04_0_0001_0031_namedetail^,^페가수스 기사단원^,^ペガサス騎士団員^,^^,^Pegasus Knight^,^^,^^
^N_f04_0_0001_0032_name^,^로갈^,^ローガル^,^^,^Rogal^,^^,^^
^N_f04_0_0001_0032_namedetail^,^페가수스 기사단원^,^ペガサス騎士団員^,^^,^Pegasus Knight^,^^,^^
^N_f04_0_0001_0033_name^,^레베카^,^レベッカ^,^^,^Rebecca^,^^,^^
^N_f04_0_0001_0033_namedetail^,^무기상인^,^武器商人^,^^,^Arms Merchant^,^^,^^
^N_f04_0_0001_0034_name^,^모레스^,^モレス^,^^,^Morres^,^^,^^
