t_key,t_korean
^N_02_1^,^Leo^
^n_99_0_0002_0000_name^,^Crow^
^n_99_0_0002_0000_namedetail^,^Shadow Clan General Manager^
^n_99_0_0003_0000_name^,^Synth^
^n_99_0_0003_0000_namedetail^,^Shadow Clan Unit^
^n_99_0_0007_0000_name^,^Scout^
^n_99_0_0007_0000_namedetail^,^Xinryong Knights^
^n_99_0_0006_0000_name^,^Fighter^
^n_99_0_0006_0000_namedetail^,^Xinryong Knights^
^n_99_0_0004_0000_name^,^Paulo Lowerman^
^n_99_0_0004_0000_namedetail^,^Shinryong Knights General Manager^
^n_99_0_0005_0000_name^,^Guardian^
^n_99_0_0005_0000_namedetail^,^Xinryong Knights^
^N_f04_0_0001_0001_name^,^pho^
^N_f04_0_0001_0001_namedetail^,^Captain Goreka Sea Fellow^
^N_f04_0_0001_0002_name^,^Zodiac^
^N_f04_0_0001_0002_namedetail^,^Pegasus Knights^
^N_f04_0_0001_0003_name^,^Erol^
^N_f04_0_0001_0003_namedetail^,^Pegasus Knights Director^
^N_f04_0_0001_0004_name^,^Oscar^
^N_f04_0_0001_0004_namedetail^,^Pegasus vice president^
^N_f04_0_0001_0005_name^,^Melec^
^N_f04_0_0001_0005_namedetail^,^Truth^
^N_f04_0_0001_0006_name^,^Kuanomar^
^N_f04_0_0001_0006_namedetail^,^Fellow^
^N_f04_0_0001_0007_name^,^JEEX^
^N_f04_0_0001_0007_namedetail^,^Adventure king^
^N_f04_0_0001_0008_name^,^Akul^
^N_f04_0_0001_0008_namedetail^,^Immortal Desert Scout^
^N_f04_0_0001_0009_name^,^Malba^
^N_f04_0_0001_0009_namedetail^,^Portal^
^N_f04_0_0001_0010_name^,^Benen^
^N_f04_0_0001_0010_namedetail^,^Local portal mobile history^
^N_f04_0_0001_0011_name^,^Baric^
^N_f04_0_0001_0011_namedetail^,^Portal^
^N_f04_0_0001_0012_name^,^Return^
^N_f04_0_0001_0012_namedetail^,^^
^N_f04_0_0001_0013_name^,^Return^
^N_f04_0_0001_0013_namedetail^,^^
^N_f04_0_0001_0014_name^,^Return^
^N_f04_0_0001_0014_namedetail^,^^
^N_f04_0_0001_0015_name^,^Gillian^
^N_f04_0_0001_0015_namedetail^,^White therapist^
^N_f04_0_0001_0016_name^,^Jordi^
^N_f04_0_0001_0016_namedetail^,^White therapist^
^N_f04_0_0001_0017_name^,^Fade^
^N_f04_0_0001_0017_namedetail^,^White therapist^
^N_f04_0_0001_0058_name^,^Tillet^
^N_f04_0_0001_0058_namedetail^,^Sea Fellow Goreka Lake First Sailor^
^N_f04_elora_001_name^,^Ellora's energy^
^N_f04_elora_001_namedetail^,^^
