t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^N_f07_0_0001_0001_Name^,^아인스 가르니^,^!!^,^^,^Einz Garni^,^^,^^
^N_f07_0_0001_0001_NameDetail^,^여관 주인^,^!!^,^^,^Inn Owner^,^^,^^
^N_D08_Portal_1_Name^,^빛의 성석^,^^,^^,^Victory Shrine^,^^,^^
^N_D08_Portal_1_NameDetail^,^던전 입구로 이동^,^^,^^,^Exit Dungeon^,^^,^^
^N_F07_Darwin_01_Name^,^선장 다윈^,^^,^^,^Captain Darwin^,^^,^^
^N_F07_Darwin_01_NameDetail^,^하카나스 왕국 비행선^,^^,^^,^Hakanas Kingdom Sky Titan^,^^,^^
^N_F07_Whale_01_Name^,^하카나스 왕국 비행선^,^^,^^,^Hakanas Kingdom Sky Titan^,^^,^^
^N_F07_Whale_01_NameDetail^,^거대 부유 고래^,^^,^^,^Sky Titan^,^^,^^
^N_F07_Gillot_01_Name^,^길로트^,^^,^^,^Gilotte^,^^,^^
^N_F07_Gillot_01_NameDetail^,^오르카 호 일등 항해사^,^^,^^,^Ship Orca First Mate^,^^,^^
^N_F07_Fragen_01_Name^,^선원 프라겐^,^^,^^,^Shipmate Pragen^,^^,^^
^N_F07_Fragen_01_NameDetail^,^하카나스 왕국 비행선^,^^,^^,^Hakanas Kingdom Sky Titan^,^^,^^
^N_F07_Kilroi_01_Name^,^킬로이^,^^,^^,^Kilroy^,^^,^^
^N_F07_Kilroi_01_NameDetail^,^백색의 치료사^,^^,^^,^Mender^,^^,^^
^N_F07_Hiss_01_Name^,^히스^,^^,^^,^Heath^,^^,^^
^N_F07_Hiss_01_NameDetail^,^백색의 치료사^,^^,^^,^Mender^,^^,^^
^N_F07_Balralen_01_Name^,^발리렌^,^^,^^,^Valiren^,^^,^^
^N_F07_Balralen_01_NameDetail^,^백색의 치료사^,^^,^^,^Mender^,^^,^^
^N_F07_Sada_01_Name^,^사다^,^^,^^,^Sada^,^^,^^
^N_F07_Sada_01_NameDetail^,^백색의 치료사^,^^,^^,^Mender^,^^,^^
^N_F07_Scrra_01_Name^,^스크라^,^^,^^,^Skra^,^^,^^
^N_F07_Scrra_01_NameDetail^,^백색의 치료사^,^^,^^,^Mender^,^^,^^
^N_F07_Minan_01_Name^,^미난^,^^,^^,^Meenan^,^^,^^
^N_F07_Minan_01_NameDetail^,^백색의 치료사^,^^,^^,^Mender^,^^,^^
^N_F07_Portal_100_Name^,^상급 포탈이동장치^,^^,^^,^World Shrine^,^^,^^
^N_F07_Portal_100_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F07_Portal_001_Name^,^포탈이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F07_Portal_001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F07_Portal_002_Name^,^포탈이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F07_Portal_002_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F07_Portal_003_Name^,^포탈이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F07_Portal_003_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F07_Portal_004_Name^,^포탈이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F07_Portal_004_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F07_Portal_005_Name^,^포탈이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F07_Portal_005_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F07_Balra_01_Name^,^발라^,^^,^^,^Baala^,^^,^^
^N_F07_Balra_01_NameDetail^,^음식 상인^,^^,^^,^Food Merchant^,^^,^^
^N_F07_Crea_01_Name^,^크레아^,^^,^^,^Crea^,^^,^^
^N_F07_Crea_01_NameDetail^,^물약 상인^,^^,^^,^Potion Merchant^,^^,^^
^N_F07_Malo_01_Name^,^말로^,^^,^^,^Malo^,^^,^^
^N_F07_Malo_01_NameDetail^,^잡화 상인^,^^,^^,^General Merchant^,^^,^^
^N_F07_Sanna_01_Name^,^사나^,^^,^^,^Sana^,^^,^^
^N_F07_Sanna_01_NameDetail^,^음식 상인^,^^,^^,^Food Merchant^,^^,^^
^N_F07_Kaily_01_Name^,^카일라^,^^,^^,^Khailvar^,^^,^^
^N_F07_Kaily_01_NameDetail^,^물약 상인^,^^,^^,^Potion Merchant^,^^,^^
^N_F07_Rahare_01_Name^,^라하르^,^^,^^,^Rahar^,^^,^^
^N_F07_Rahare_01_NameDetail^,^잡화 상인^,^^,^^,^General Merchant^,^^,^^
^N_F07_Illuin_01_Name^,^일루인^,^^,^^,^Illuin^,^^,^^
^N_F07_Illuin_01_NameDetail^,^무기 상인^,^^,^^,^Weapon Merchant^,^^,^^
^N_F07_Narrin_01_Name^,^나라인^,^^,^^,^Narain^,^^,^^
