t_key,t_korean
^N_f10_0_0001_0001_Name^,^Crow^
^N_f10_0_0001_0001_NameDetail^,^^
^N_f10_0_0001_0002_Name^,^Crow^
^N_f10_0_0001_0002_NameDetail^,^^
^N_f10_0_0001_0003_Name^,^Supervisor^
^N_f10_0_0001_0003_NameDetail^,^^
^N_f10_0_0001_0004_Name^,^West Guard Left^
^N_f10_0_0001_0004_NameDetail^,^^
^N_f10_0_0001_0005_Name^,^East Guard Light^
^N_f10_0_0001_0005_NameDetail^,^^
^N_f10_0_0001_0006_Name^,^Renewal^
^N_f10_0_0001_0006_NameDetail^,^^
^N_f10_0_0001_0007_Name^,^Mayrin^
^N_f10_0_0001_0007_NameDetail^,^^
^N_f10_0_0001_0008_Name^,^Information Merchant Livio^
^N_f10_0_0001_0008_NameDetail^,^^
^N_f10_0_0001_0009_Name^,^Nicky^
^N_f10_0_0001_0009_NameDetail^,^^
^N_f10_0_0001_0010_Name^,^Comfortable presenti^
^N_f10_0_0001_0010_NameDetail^,^^
^N_f10_0_0001_0011_Name^,^Lidere the chatterbox^
^N_f10_0_0001_0011_NameDetail^,^^
^N_f10_0_0001_0012_Name^,^Candy Artisan Vita^
^N_f10_0_0001_0012_NameDetail^,^^
^N_f10_0_0001_0013_Name^,^Revero, Inventory Manager^
^N_f10_0_0001_0013_NameDetail^,^^
^N_f10_0_0001_0014_Name^,^Lavini Wonbini<Upper Crescent Moon>^
^N_f10_0_0001_0014_NameDetail^,^^
^N_f10_0_0001_0015_Name^,^Lavini Tubini<Upper Crescent Moon>^
^N_f10_0_0001_0015_NameDetail^,^^
^N_f10_0_0001_0016_Name^,^Auction House Broker^
^N_f10_0_0001_0016_NameDetail^,^^
^N_f10_0_0001_0017_Name^,^Stubborn old man^
^N_f10_0_0001_0017_NameDetail^,^^
^N_f10_0_0001_0018_Name^,^Artisan Jedamas^
^N_f10_0_0001_0018_NameDetail^,^^
^N_f10_0_0001_0019_Name^,^Artisan Minos^
^N_f10_0_0001_0019_NameDetail^,^^
^N_f10_0_0001_0020_Name^,^Craftsman Local^
^N_f10_0_0001_0020_NameDetail^,^^
^N_f10_0_0001_0021_Name^,^Otakun^
^N_f10_0_0001_0021_NameDetail^,^^
^N_f10_0_0001_0022_Name^,^Old Ghost^
^N_f10_0_0001_0022_NameDetail^,^^
^N_f10_0_0001_0023_Name^,^Nook the Innkeeper^
^N_f10_0_0001_0023_NameDetail^,^^
^N_f10_0_0001_0024_Name^,^Hungry Rofus^
^N_f10_0_0001_0024_NameDetail^,^^
^N_f10_0_0001_0025_Name^,^Propetta the Grim^
^N_f10_0_0001_0025_NameDetail^,^^
^N_f10_0_0001_0026_Name^,^Baaba^
^N_f10_0_0001_0026_NameDetail^,^^
^N_f10_0_0001_0027_Name^,^Mamel^
^N_f10_0_0001_0027_NameDetail^,^^
^N_f10_0_0001_0028_Name^,^Love Live^
^N_f10_0_0001_0028_NameDetail^,^^
^N_f10_0_0001_0029_Name^,^Thionel^
^N_f10_0_0001_0029_NameDetail^,^^
^N_f10_0_0001_0030_Name^,^Artros^
^N_f10_0_0001_0030_NameDetail^,^^
^N_f10_0_0001_0031_Name^,^Quest Board^
^N_f10_0_0001_0031_NameDetail^,^^
^N_f10_0_0001_0032_Name^,^Dyallo^
^N_f10_0_0001_0032_NameDetail^,^^
^N_f10_0_0001_0033_Name^,^Medsatin^
^N_f10_0_0001_0033_NameDetail^,^^
^N_f10_0_0001_0034_Name^,^^
