t_key,t_korean
^N_03_0_0095_0001_Name^,^Dragon Knight Elite^
^N_03_0_0095_0001_NameDetail^,^^
^N_03_0_0095_0002_Name^,^Dragon Knight Vanguard^
^N_03_0_0095_0002_NameDetail^,^^
^N_03_0_0194_0000_Name^,^Excelron^
^N_03_0_0194_0000_NameDetail^,^Guardian Dragon Underling^
^N_03_0_0194_0001_Name^,^Belzech^
^N_03_0_0194_0001_NameDetail^,^Guardian Dragon Underling^
^N_03_0_0246_0000_Name^,^Gunther^
^N_03_0_0246_0000_NameDetail^,^^
^N_03_0_0023_0002_Name^,^Captured Woman^
^N_03_0_0023_0002_NameDetail^,^Kellwoods Villager^
^N_03_0_0007_0000_Name^,^Captured Man^
^N_03_0_0007_0000_NameDetail^,^Kellwoods Villager^
^N_03_0_0111_0000_Name^,^Captured Boy^
^N_03_0_0111_0000_NameDetail^,^Kellwoods Villager^
^N_03_0_0001_0156_Name^,^Injured Adventurer^
^N_03_0_0001_0156_NameDetail^,^^
^N_03_0_0001_0155_Name^,^Reyan^
^N_03_0_0001_0155_NameDetail^,^Mender^
^N_03_0_0002_0070_Name^,^Unica Rayne^
^N_03_0_0002_0070_NameDetail^,^Unicorn Keeper^
^N_03_0_0001_0157_Name^,^Halcyon^
^N_03_0_0001_0157_NameDetail^,^^
^N_05_0_0005_0000_Name^,^Captain Black Joe^
^N_05_0_0005_0000_NameDetail^,^Parna's Coast Ferryman^
^N_99_0_0001_0000_Name^,^Farmhand^
^N_99_0_0001_0000_NameDetail^,^^
^N_03_0_0001_0158_Name^,^Private Trid^
^N_03_0_0001_0158_NameDetail^,^Dragon Knight^
^N_03_0_0001_0159_Name^,^Draden^
^N_03_0_0001_0159_NameDetail^,^^
^N_03_0_0001_0160_Name^,^Private Daylos^
^N_03_0_0001_0160_NameDetail^,^Dragon Knight^
^N_03_0_0192_0000_Name^,^Pony^
^N_03_0_0192_0000_NameDetail^,^^
^N_05_5_0002_0000_Name^,^Recall Stone^
^N_05_5_0002_0000_NameDetail^,^^
^N_05_5_0002_0001_Name^,^Recall Stone^
^N_05_5_0002_0001_NameDetail^,^^
^N_05_5_0002_0002_Name^,^Recall Stone^
^N_05_5_0002_0002_NameDetail^,^^
^N_03_0_0001_0161_Name^,^Injured Farmer^
^N_03_0_0001_0161_NameDetail^,^^
^N_03_0_0001_0162_Name^,^Injured Soldier^
^N_03_0_0001_0162_NameDetail^,^^
^N_03_0_0001_0163_Name^,^Elder Serlian^
^N_03_0_0001_0163_NameDetail^,^Zadaran^
^N_03_0_0001_0164_Name^,^Zebia Koter^
^N_03_0_0001_0164_NameDetail^,^Dragon Knight^
^N_03_0_0001_0165_Name^,^Zhamis Katarr^
^N_03_0_0001_0165_NameDetail^,^^
^N_03_0_0002_0071_Name^,^Missus Malone^
^N_03_0_0002_0071_NameDetail^,^^
^N_03_0_0672_0005_Name^,^Loose Cow^
^N_03_0_0672_0005_NameDetail^,^^
^N_05_0_0022_0000_Name^,^Annsjon^
^N_05_0_0022_0000_NameDetail^,^Transit Shrine Keeper^
^N_05_0_0022_0001_Name^,^Raglans^
^N_05_0_0022_0001_NameDetail^,^Transit Shrine Keeper^
^N_05_0_0022_0002_Name^,^Croban^
^N_05_0_0022_0002_NameDetail^,^Transit Shrine Keeper^
^N_05_0_0001_0000_Name^,^Shahan^
^N_05_0_0001_0000_NameDetail^,^Mender^
^N_05_0_0001_0001_Name^,^Lotus^
^N_05_0_0001_0001_NameDetail^,^Mender^
^N_05_0_0001_0002_Name^,^High Priest^
^N_05_0_0001_0002_NameDetail^,^Ellora Sanctuary^
^N_05_0_0001_0003_Name^,^Priest^
^N_05_0_0001_0003_NameDetail^,^Ellora Sanctuary^
^N_05_0_0001_0004_Name^,^Captain Bernstein^
^N_05_0_0001_0004_NameDetail^,^Dragon Knight^
^N_05_0_0001_0005_Name^,^Knight^
^N_05_0_0001_0005_NameDetail^,^Dragon Knight^
^N_05_0_0001_0006_Name^,^Archivist Bertrand^
^N_05_0_0001_0006_NameDetail^,^Baellas Library^
^N_05_0_0001_0007_Name^,^Librarian^
^N_05_0_0001_0007_NameDetail^,^Baellas Library^
^N_05_0_0002_0000_Name^,^Librarian^
^N_05_0_0002_0000_NameDetail^,^Baellas Library^
^N_05_0_0423_0000_Name^,^Lord Chamberlain^
^N_05_0_0423_0000_NameDetail^,^^
^N_05_0_0001_0008_Name^,^Chamberlain^
^N_05_0_0001_0008_NameDetail^,^^
^N_05_0_0001_0009_Name^,^Guild Master^
^N_05_0_0001_0009_NameDetail^,^Hakanas Official^
^N_05_0_0001_0010_Name^,^Art Merchant^
^N_05_0_0001_0010_NameDetail^,^^
^N_05_0_0001_0011_Name^,^Frantz^
^N_05_0_0001_0011_NameDetail^,^Apothecary^
^N_05_0_2000_0000_Name^,^Pickpocket^
^N_05_0_2000_0000_NameDetail^,^^
^N_05_0_0001_0012_Name^,^AspiRing Chef^
^N_05_0_0001_0012_NameDetail^,^^
^N_05_0_5005_0000_Name^,^Canvasser^
^N_05_0_5005_0000_NameDetail^,^Barmaid^
^N_05_0_0001_0013_Name^,^Director Willow^
^N_05_0_0001_0013_NameDetail^,^Familiar Academy^
^N_05_0_0001_0014_Name^,^Researcher^
^N_05_0_0001_0014_NameDetail^,^Familiar Academy^
^N_05_0_0001_0015_Name^,^Alex^
^N_05_0_0001_0015_NameDetail^,^Master Chef^
^N_05_0_0001_0016_Name^,^Hilbern^
^N_05_0_0001_0016_NameDetail^,^Master Alchemist^
^N_05_0_2000_0001_Name^,^Hungry Youth^
^N_05_0_2000_0001_NameDetail^,^^
^N_05_0_2005_0000_Name^,^Hungry Man^
^N_05_0_2005_0000_NameDetail^,^^
^N_05_0_2000_0002_Name^,^Starving Boy^
