t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^N_02_1_0245_0000_Name^,^레오^,^レオ^,^^,^Leo^,^^,^^
^N_02_1_0245_0000_NameDetail^,^크로우의 크리쳐^,^クロウのクリーチャー^,^^,^Crow's Familiar^,^^,^^
^N_02_1_0245_0001_Name^,^레오^,^レオ^,^^,^Leo^,^^,^^
^N_02_1_0245_0001_NameDetail^,^크로우의 크리쳐^,^クロウのクリーチャー^,^^,^Crow's Familiar^,^^,^^
^N_01_0_0001_0000_Name^,^크로우^,^クロウ^,^^,^Crow^,^^,^^
^N_01_0_0001_0000_NameDetail^,^섀도우 클랜 단장^,^シャドウクラン団長^,^^,^Onyx Order Commander^,^^,^^
^N_01_0_0002_0001_Name^,^프레니글^,^プレニーグル^,^^,^Prengel^,^^,^^
^N_01_0_0002_0001_NameDetail^,^비행선 선장^,^飛行船長^,^^,^Sky Titan Pilot^,^^,^^
^N_01_1_0001_0000_Name^,^쥐^,^ネズミ^,^^,^Rat^,^^,^^
^N_01_1_0001_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0001_0010_Name^,^검은 수호자^,^黒い守護者^,^^,^Black Protector^,^^,^^
^N_02_0_0001_0010_NameDetail^,^섀도우 클랜 별동대^,^シャドウクラン別働隊^,^^,^Zeloth's Unit^,^^,^^
^N_02_0_0000_0000_Name^,^스밀란^,^スミラン^,^^,^Smillan^,^^,^^
^N_02_0_0000_0000_NameDetail^,^대장장이^,^鍛冶師^,^^,^Blacksmith^,^^,^^
^N_02_0_0000_0002_Name^,^로밀란^,^ロミラン^,^^,^Romilan^,^^,^^
^N_02_0_0000_0002_NameDetail^,^대장장이^,^鍛冶師^,^^,^Blacksmith^,^^,^^
^N_02_0_0003_0000_Name^,^크로우^,^クロウ^,^^,^Crow^,^^,^^
^N_02_0_0003_0000_NameDetail^,^섀도우 클랜 단장^,^シャドウ クラン団長^,^^,^Onyx Order Commander^,^^,^^
^N_02_0_0005_0000_Name^,^프레니글^,^プレニーグル^,^^,^Prengel^,^^,^^
^N_02_0_0005_0000_NameDetail^,^비행선 선장^,^飛行船長^,^^,^Sky Titan Pilot^,^^,^^
^N_02_0_0006_0000_Name^,^아말란^,^アマラン^,^^,^Amalan^,^^,^^
^N_02_0_0006_0000_NameDetail^,^방어구 상인^,^防具商人^,^^,^Armorer^,^^,^^
^N_02_0_0006_0001_Name^,^방어구 상인^,^防具商人^,^^,^Armorer^,^^,^^
^N_02_0_0006_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0007_0000_Name^,^감독관 알렌^,^監督官アレン^,^^,^Foreman Allen^,^^,^^
^N_02_0_0007_0000_NameDetail^,^팀버레이크 벌목소^,^ティンバーレーク伐採地^,^^,^Timber Lake Logging Camp^,^^,^^
^N_02_0_0008_0000_Name^,^크로우^,^クロウ^,^^,^Crow^,^^,^^
^N_02_0_0008_0000_NameDetail^,^섀도우 클랜 단장^,^シャドウ クラン団長^,^^,^Onyx Order Commander^,^^,^^
^N_02_0_0000_0001_Name^,^쿠할란^,^クハラン^,^^,^Cullaghan^,^^,^^
^N_02_0_0000_0001_NameDetail^,^수석 대장장이^,^主席鍛冶師^,^^,^Master Blacksmith^,^^,^^
^N_02_0_0010_0000_Name^,^마를렌 여자^,^マルーネの女^,^^,^Marline Female^,^^,^^
^N_02_0_0010_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0111_0000_Name^,^부상당한 벌목 일꾼^,^負傷したきこり^,^^,^Injured Lumberjack^,^^,^^
^N_02_0_0111_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0012_0000_Name^,^마를렌 어린이^,^マルーネの子供^,^^,^Marline Child^,^^,^^
^N_02_0_0012_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0013_0000_Name^,^마를렌 장로^,^マルーネの長老^,^^,^Marline Elder^,^^,^^
^N_02_0_0013_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0015_0000_Name^,^대장장이 기어론^,^鍛冶師ギアロン^,^^,^Blacksmith Gialon^,^^,^^
^N_02_0_0015_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0018_0000_Name^,^연구학자^,^研究学者^,^^,^Research Scholar^,^^,^^
^N_02_0_0018_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0019_0000_Name^,^하카나스 파견 병사^,^ハカナス派遣兵士^,^^,^Hakanas Soldier^,^^,^^
^N_02_0_0019_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0020_0000_Name^,^하카나스 기사^,^ハカナス騎士^,^^,^Hakanas Knight^,^^,^^
^N_02_0_0020_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0021_0000_Name^,^왕립 조사단원^,^王立調査団員^,^^,^Royal Investigator^,^^,^^
^N_02_0_0021_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0022_0000_Name^,^케신^,^ケシン^,^^,^Kesin^,^^,^^
^N_02_0_0022_0000_NameDetail^,^포탈 이동사^,^ポータル移動者^,^^,^Transit Shrine Keeper^,^^,^^
^N_02_0_0023_0000_Name^,^대장장이^,^鍛冶師^,^^,^Blacksmith^,^^,^^
^N_02_0_0023_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0024_0000_Name^,^잡화, 음식 상인^,^雑貨/食料商人^,^^,^General Goods, Food^,^^,^^
^N_02_0_0024_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0024_0001_Name^,^잡화, 음식 상인^,^雑貨/食料商人^,^^,^General Goods, Food^,^^,^^
^N_02_0_0024_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0025_0000_Name^,^알 상인^,^卵商人^,^^,^Egg Merchant^,^^,^^
^N_02_0_0025_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0025_0001_Name^,^아디나^,^アディーナ^,^^,^Adina^,^^,^^
^N_02_0_0025_0001_NameDetail^,^잡화, 음식 상인^,^雑貨/食料商人^,^^,^General Goods, Food^,^^,^^
^N_02_0_0026_0000_Name^,^무기/방어구 상인^,^武器/防具商人^,^^,^Weapon/Armor Merchant^,^^,^^
^N_02_0_0026_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0027_0000_Name^,^다니엘 가드너^,^ダニエル ガードナー^,^^,^Daniel Gardener^,^^,^^
^N_02_0_0027_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0031_0000_Name^,^판매 대행 담당자^,^委託販売担当者^,^^,^Auctioneer^,^^,^^
^N_02_0_0031_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0034_0000_Name^,^유적 조사단장^,^遺跡調査団長^,^^,^Ruins Specter^,^^,^^
^N_02_0_0034_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0034_0001_Name^,^유적 조사단장^,^遺跡調査団長^,^^,^Ruins Specter^,^^,^^
^N_02_0_0034_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0035_0000_Name^,^유적 조사단원^,^遺跡調査団員^,^^,^Archaeologist^,^^,^^
^N_02_0_0035_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0035_0001_Name^,^유적 조사단원^,^遺跡調査団員^,^^,^Archaeologist^,^^,^^
^N_02_0_0035_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0035_0002_Name^,^유적 조사단원^,^遺跡調査団員^,^^,^Archaeologist^,^^,^^
^N_02_0_0035_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0035_0003_Name^,^유적 조사단원^,^遺跡調査団員^,^^,^Archaeologist^,^^,^^
^N_02_0_0035_0003_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0038_0000_Name^,^가방 상인^,^かばん商人^,^^,^Bag Merchant^,^^,^^
^N_02_0_0038_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0038_0001_Name^,^가방 상인^,^かばん商人^,^^,^Bag Merchant^,^^,^^
^N_02_0_0038_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0048_0000_Name^,^정찰 대원^,^偵察隊員^,^^,^Guard^,^^,^^
^N_02_0_0048_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0074_0000_Name^,^파울로 로어먼^,^パウロロアマン^,^^,^Paolo Roaman^,^^,^^
^N_02_0_0074_0000_NameDetail^,^최고 사령관^,^神竜騎士団長^,^^,^Dragon Knight Captain^,^^,^^
^N_02_0_0082_0000_Name^,^로메로^,^ロメロ^,^^,^Romero^,^^,^^
^N_02_0_0082_0000_NameDetail^,^지역간 포탈이동사^,^地域間ポータル移動者^,^^,^World Shrine Keeper^,^^,^^
^N_02_0_0095_0000_Name^,^신룡 기사단원^,^神竜騎士団員^,^^,^Dragon Knight^,^^,^^
^N_02_0_0095_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0098_0000_Name^,^무기 상인^,^武器商人^,^^,^Arms Dealer^,^^,^^
^N_02_0_0098_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0098_0001_Name^,^글렌^,^グレン^,^^,^Glen^,^^,^^
^N_02_0_0098_0001_NameDetail^,^무기 상인^,^武器商人^,^^,^Arms Dealer^,^^,^^
^N_02_0_0098_0002_Name^,^멘디옴 보부상^,^メンディオム行商人^,^^,^Mendiom Peddlers^,^^,^^
^N_02_0_0098_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0257_0003_Name^,^보먼^,^ボウマン^,^^,^Boman^,^^,^^
^N_02_0_0257_0003_NameDetail^,^상인 견습생^,^商人見習い^,^^,^Merchant Trainee^,^^,^^
^N_02_0_0219_0000_Name^,^비행선 선장^,^飛行船長^,^^,^Sky Titan Pilot^,^^,^^
^N_02_0_0219_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0221_0000_Name^,^트라굴란^,^トラグラン^,^^,^Tragu'Rhan^,^^,^^
^N_02_0_0221_0000_NameDetail^,^크로쿤족 기관장^,^クロクン族機関長^,^^,^Crokhoon Chief^,^^,^^
^N_02_0_0221_0001_Name^,^하말란^,^ハマラン^,^^,^Hama'Rahn^,^^,^^
^N_02_0_0221_0001_NameDetail^,^크로쿤족 기관장^,^クロクン族機関長^,^^,^Crokhoon Chief^,^^,^^
^N_02_0_0221_0002_Name^,^크로쿤족 기관장^,^クロクン族機関長^,^^,^Crokhoon Chief^,^^,^^
^N_02_0_0221_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0223_0000_Name^,^토르투스^,^トルトゥス^,^^,^Tortus^,^^,^^
^N_02_0_0223_0000_NameDetail^,^호위대장^,^護衛隊長^,^^,^Guard Captain^,^^,^^
^N_02_0_0224_0000_Name^,^베리버프^,^ベリーバフ^,^^,^Berribuff^,^^,^^
^N_02_0_0224_0000_NameDetail^,^숲의 안내자^,^森の案内者^,^^,^Forest Guide^,^^,^^
^N_02_0_0224_0001_Name^,^베리버프^,^ベリーバフ^,^^,^Berribuff^,^^,^^
^N_02_0_0224_0001_NameDetail^,^숲의 안내자^,^森の案内者^,^^,^Forest Guide^,^^,^^
^N_02_0_0224_0002_Name^,^베리버프^,^ベリーバフ^,^^,^Berribuff^,^^,^^
^N_02_0_0224_0002_NameDetail^,^숲의 안내자^,^森の案内者^,^^,^Forest Guide^,^^,^^
^N_02_0_0224_0003_Name^,^부상당한 마를렌^,^負傷したマルーネ^,^^,^Injured Marlene^,^^,^^
^N_02_0_0224_0003_NameDetail^,^부상당한 마를렌^,^負傷したマルーネ^,^^,^Injured Marlene^,^^,^^
^N_02_0_0229_0000_Name^,^신룡 기사단 크리쳐^,^神竜騎士団 クリーチャー^,^^,^Dragon Knight Familiar^,^^,^^
^N_02_0_0229_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0232_0000_Name^,^크리쳐 관리사^,^クリーチャー管理者^,^^,^Familiar Manager^,^^,^^
^N_02_0_0232_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0232_0001_Name^,^크리쳐 관리사^,^クリーチャー管理者^,^^,^Familiar Manager^,^^,^^
^N_02_0_0232_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0232_0002_Name^,^크리쳐 관리사^,^クリーチャー管理者^,^^,^Familiar Manager^,^^,^^
^N_02_0_0232_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0243_0000_Name^,^크로우^,^クロウ^,^^,^Crow^,^^,^^
^N_02_0_0243_0000_NameDetail^,^섀도우 클랜 단장^,^シャドウ クラン団長^,^^,^Onyx Order Commander^,^^,^^
^N_02_0_0243_0001_Name^,^크로우^,^クロウ^,^^,^Crow^,^^,^^
^N_02_0_0243_0001_NameDetail^,^섀도우 클랜 단장^,^シャドウ クラン団長^,^^,^Onyx Order Commander^,^^,^^
^N_02_0_0246_0000_Name^,^부상당한 벌목 일꾼^,^負傷したきこり^,^^,^Injured Lumberjack^,^^,^^
^N_02_0_0246_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0247_0000_Name^,^케니^,^ケニー^,^^,^Kenny^,^^,^^
^N_02_0_0247_0000_NameDetail^,^잡화, 물약 상인^,^雑貨/薬商人^,^^,^General, Potion Merchant^,^^,^^
^N_02_0_0248_0000_Name^,^이동수단 관리인^,^移動手段管理人^,^^,^Transportation Manager^,^^,^^
^N_02_0_0248_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0248_0001_Name^,^이동수단 관리인^,^移動手段管理人^,^^,^Transportation Manager^,^^,^^
^N_02_0_0248_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0252_0000_Name^,^크리쳐 브리더^,^クリーチャーブリーダー^,^^,^Creature Breeder^,^^,^^
^N_02_0_0252_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0252_0001_Name^,^크리쳐 브리더^,^クリーチャーブリーダー^,^^,^Creature Breeder^,^^,^^
^N_02_0_0252_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_02_0_0252_0002_Name^,^크리쳐 브리더^,^クリーチャーブリーダー^,^^,^Creature Breeder^,^^,^^
