t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^N_04_0_0001_0001_Name^,^렉터 로스터^,^レクター ロースター^,^^,^Rector Roster^,^^,^^
^N_04_0_0001_0001_NameDetail^,^자경단^,^自警団^,^^,^Civil Militia^,^^,^^
^N_04_0_0001_0002_Name^,^니콜라스 콜^,^ニコラス コール^,^^,^Nicholas Cole^,^^,^^
^N_04_0_0001_0002_NameDetail^,^촌장^,^村長^,^^,^Town Elder^,^^,^^
^N_04_0_0001_0003_Name^,^존 듀어든^,^ジョン ジュアドン^,^^,^John Duarden^,^^,^^
^N_04_0_0001_0003_NameDetail^,^자경단^,^自警団^,^^,^Civil Militia^,^^,^^
^N_04_0_0002_0001_Name^,^안젤라 스케인^,^アンジェラ^,^^,^Angela Scane^,^^,^^
^N_04_0_0002_0001_NameDetail^,^자경단^,^自警団^,^^,^Civil Militia^,^^,^^
^N_04_0_0001_0004_Name^,^에이든 헤이글^,^ヘイグル^,^^,^Aidan Heigl^,^^,^^
^N_04_0_0001_0004_NameDetail^,^용병 버서커^,^傭兵バーサーカー^,^^,^Mercenary Berserker^,^^,^^
^N_04_0_0002_0002_Name^,^에이미 헤이글^,^エイミー^,^^,^Amy Heigl^,^^,^^
^N_04_0_0002_0002_NameDetail^,^여관 주인^,^旅館主^,^^,^Publican^,^^,^^
^N_04_0_0001_0005_Name^,^라일리 스튜어트^,^ライオネル^,^^,^Riley Stuart^,^^,^^
^N_04_0_0001_0005_NameDetail^,^신룡 기사단^,^神竜騎士団^,^^,^Dragon Knight^,^^,^^
^N_04_0_0001_0006_Name^,^리스트 베일^,^リスト ベイル^,^^,^Reice Bale^,^^,^^
^N_04_0_0001_0006_NameDetail^,^연금술사^,^錬金術師^,^^,^Alchemist^,^^,^^
^N_04_0_0001_0007_Name^,^로인 테슬로우^,^ロイン テースロー^,^^,^Roin Teslow^,^^,^^
^N_04_0_0001_0007_NameDetail^,^음식 상인^,^食料商人^,^^,^Grocer^,^^,^^
^N_04_0_0001_0008_Name^,^로튼 그레인^,^ロートン グレイン^,^^,^Rotan Grane^,^^,^^
^N_04_0_0001_0008_NameDetail^,^방랑 가디언^,^放浪 ガーディアン^,^^,^WandeRing Guardian^,^^,^^
^N_04_0_0002_0003_Name^,^그레이스 맥케인^,^グレイス メケイン^,^^,^Grace McCain^,^^,^^
^N_04_0_0002_0003_NameDetail^,^왕립 예술원 조각가^,^王立芸術院 彫刻家^,^^,^Royal Sculptor^,^^,^^
^N_04_0_0001_0009_Name^,^고든 스테일^,^ゴードン^,^^,^Gordon Stale^,^^,^^
^N_04_0_0001_0009_NameDetail^,^벌목꾼^,^きこり^,^^,^Woodcutter^,^^,^^
^N_04_0_0002_0004_Name^,^아리아 로테^,^アリアロテ^,^^,^Aria Rotte^,^^,^^
^N_04_0_0002_0004_NameDetail^,^음악가^,^音楽家^,^^,^Musician^,^^,^^
^N_04_0_0001_0010_Name^,^발터 고리온^,^バルター ゴリオン^,^^,^Walter Gorrigon^,^^,^^
^N_04_0_0001_0010_NameDetail^,^목수^,^大工^,^^,^Carpenter^,^^,^^
^N_04_0_0001_0011_Name^,^리카드 코드윙^,^リカード^,^^,^Ricard Codewing^,^^,^^
^N_04_0_0001_0011_NameDetail^,^선박 설계사^,^船舶設計者^,^^,^Ship Designer^,^^,^^
^N_04_0_0001_0012_Name^,^갈레온 미싱^,^ガレオン^,^^,^Gailen Messing^,^^,^^
^N_04_0_0001_0012_NameDetail^,^선박 장인^,^船舶職人^,^^,^Shipwright^,^^,^^
^N_04_0_0002_0005_Name^,^레이나 하드베일^,^レイナ^,^^,^Rayna Hardveil^,^^,^^
^N_04_0_0002_0005_NameDetail^,^어부^,^漁師^,^^,^Fisherman^,^^,^^
^N_04_0_0002_0006_Name^,^시스 페이건^,^シス ペイゴン^,^^,^Sith Feighan^,^^,^^
^N_04_0_0002_0006_NameDetail^,^수산물 가공사^,^水産物加工糸^,^^,^Fisherman^,^^,^^
^N_04_0_0001_0013_Name^,^미키 사이볼트^,^サイボルト^,^^,^Mitchel Sabolt^,^^,^^
^N_04_0_0001_0013_NameDetail^,^수비대장^,^守備隊長^,^^,^Garrison Captain^,^^,^^
^N_04_0_0001_0014_Name^,^이본 블랜더^,^ブレンダー^,^^,^Yvonne Baylor^,^^,^^
^N_04_0_0001_0014_NameDetail^,^부상당한 용병^,^負傷した傭兵^,^^,^Injured Mercenary^,^^,^^
^N_04_0_0002_0007_Name^,^멜리사 슬레이터^,^マリッサ スレーター^,^^,^Melissa Slater^,^^,^^
^N_04_0_0002_0007_NameDetail^,^용병 버서커^,^用兵バーサーカー^,^^,^Mercenary Berserker^,^^,^^
^N_04_0_0001_0015_Name^,^자경단 수호자^,^自警団 守護者^,^^,^Civilian Militia Guardian^,^^,^^
^N_04_0_0001_0015_NameDetail^,^^,^^,^^,^^,^^,^^
^N_04_0_0002_0008_Name^,^자경단 순찰자^,^自警団 巡察者^,^^,^Civilian Militia Patrol^,^^,^^
^N_04_0_0002_0008_NameDetail^,^^,^^,^^,^^,^^,^^
^N_04_0_0002_0009_Name^,^용병 어쌔신^,^用兵アサシン^,^^,^Mercenary Assassin^,^^,^^
^N_04_0_0002_0009_NameDetail^,^^,^^,^^,^^,^^,^^
^N_04_0_0001_0016_Name^,^용병 가디언^,^用兵ガーディアン^,^^,^Mercenary Guardian^,^^,^^
^N_04_0_0001_0016_NameDetail^,^^,^^,^^,^^,^^,^^
^N_04_0_0159_0000_Name^,^파르나^,^パルナ^,^^,^Parna^,^^,^^
^N_04_0_0159_0000_NameDetail^,^물의 여신^,^水の女神^,^^,^Goddess of Water^,^^,^^
^N_04_0_0162_0001_Name^,^안타리온^,^アンタリオン^,^^,^Antarion^,^^,^^
^N_04_0_0162_0001_NameDetail^,^대제사장^,^大祭司長^,^^,^High Priest^,^^,^^
^N_04_0_0159_0001_Name^,^푸리스^,^プリス^,^^,^Puris^,^^,^^
^N_04_0_0159_0001_NameDetail^,^대사제^,^大祭司^,^^,^High Priest^,^^,^^
^N_04_0_0162_0002_Name^,^비루타^,^ビルタ^,^^,^Biruta^,^^,^^
^N_04_0_0162_0002_NameDetail^,^파수대 돌격대장^,^守衛隊 突撃隊長^,^^,^War Captain^,^^,^^
^N_04_0_0159_0002_Name^,^고라타^,^ゴラタ^,^^,^Gorata^,^^,^^
^N_04_0_0159_0002_NameDetail^,^파수대 궁병대장^,^守衛隊 弓兵隊長^,^^,^Archer Captain^,^^,^^
^N_04_0_0155_0001_Name^,^아그라^,^アグラ^,^^,^Agra^,^^,^^
^N_04_0_0155_0001_NameDetail^,^파수대 전투병^,^守衛隊 戦闘兵^,^^,^Sentry^,^^,^^
^N_04_0_0155_0002_Name^,^차크라^,^チャクラ^,^^,^Chakra^,^^,^^
^N_04_0_0155_0002_NameDetail^,^파수대 전투병^,^守衛隊 戦闘兵^,^^,^Sentry^,^^,^^
^N_04_0_0162_0003_Name^,^타타라^,^タタラ^,^^,^Tatara^,^^,^^
^N_04_0_0162_0003_NameDetail^,^호위대장^,^護衛隊長^,^^,^Guard Captain^,^^,^^
^N_04_0_0160_0000_Name^,^고라스^,^ゴラス^,^^,^Gorasa^,^^,^^
^N_04_0_0160_0000_NameDetail^,^파수대 주술사^,^守衛隊 呪術師^,^^,^Guard Shaman^,^^,^^
^N_04_0_0161_0000_Name^,^게리스^,^ゲリス^,^^,^Garis^,^^,^^
^N_04_0_0161_0000_NameDetail^,^호위대 수호사제^,^護衛隊 守護司祭^,^^,^Shrineguard^,^^,^^
^N_04_0_0157_0000_Name^,^다미스^,^ダミス^,^^,^Damis^,^^,^^
^N_04_0_0157_0000_NameDetail^,^호위대 수호사제^,^護衛隊 守護司祭^,^^,^Shrineguard^,^^,^^
^N_04_0_0156_0000_Name^,^이호^,^イホー^,^^,^Yiho^,^^,^^
^N_04_0_0156_0000_NameDetail^,^악사^,^楽師^,^^,^Musician^,^^,^^
^N_04_0_0156_0001_Name^,^시즈나하^,^シズナハ^,^^,^Shizunaha^,^^,^^
