t_key,t_eng,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^eNetFailure_packeterror1^,^패킷 포괄적 에러가 발생하였습니다^,^^,^^,^Comprehensive packet error has occurred.^,^^,^^
^eNetFailure_packeterror2^,^패킷 이상한 오류가 발생하였습니다.^,^^,^^,^An abnormal packet error has occurred.^,^^,^^
^eNetSuccess_Party_2^,^[Target]님에게 파티 초대요청을 보냈습니다.^,^^,^^,^You invited [Target] to your party.^,^^,^^
^eNetSuccess_Party_6^,^[Target]님에게 파티초대 요청에 대한 응답을 보냈습니다.^,^^,^^,^You responded to [Target]'s party invite.^,^^,^^
^eNetSuccess_Party_9^,^[Target]님이 파티를 탈퇴했습니다.^,^^,^^,^[Target] has left the party.^,^^,^^
^eNetSuccess_Party_11^,^[Target]님이 파티에서 강퇴당했습니다.^,^^,^^,^[Target] was kicked from the party.^,^^,^^
^eNetSuccess_Party_14^,^[Target]님이 파티장이 되었습니다.^,^^,^^,^[Target] is now the party leader.^,^^,^^
^eNetSuccess_Party_17^,^파티루팅룰이 변경되었습니다.^,^^,^^,^Loot distribution rules changed.^,^^,^^
^eNetSuccess_Quest_32^,^[QuestName] 퀘스트를 수락했습니다.^,^^,^^,^[QuestName] accepted.^,^^,^^
^eNetSuccess_Quest_42^,^[QuestName] 퀘스트를 보상 완료했습니다.^,^^,^^,^[QuestName] completed.^,^^,^^
^eNetSuccess_Quest_52^,^[QuestName] 퀘스트를 취소하였습니다.^,^^,^^,^[QuestName] canceled.^,^^,^^
^eNetSuccess_Action^,^eNetSuccess_Action 요청 성공하였습니다.^,^^,^^,^Successfully made the eNetSuccess_Action request.^,^^,^^
^eNetFailure_Action_NotLearnedSkill^,^배운 스킬이 아닙니다.^,^^,^^,^You do not know this skill.^,^^,^^
^eNetFailure_Action_NoSerachableTarget^,^대상을 찾을 수 없거나, 공격할 수 없는 대상입니다.^,^^,^^,^Target cannot be found.^,^^,^^
^eNetFailure_Action_IsNotActableState^,^액션이 불가능한 상태입니다.^,^^,^^,^You cannot act right now.^,^^,^^
^eNetFailure_Action_NotRegistedSkill^,^등록된 스킬이 아닙니다.^,^^,^^,^This skill has not been registered.^,^^,^^
^eNetFailure_Action_NotOverActableTime^,^재사용 시간이 남았습니다.^,^^,^^,^Cooldown in progress.^,^^,^^
^eNetFailure_Action_NotEnabled^,^해당 스킬이 비활성화 되어 있어서 사용할 수 없습니다.^,^^,^^,^You cannot activate this skill right now.^,^^,^^
^eNetFailure_Action_FarDistantThanActionRange^,^사정거리보다 먼거리에 있습니다.^,^^,^^,^You are out of range.^,^^,^^
^eNetFailure_Action_WithinMinActableRange^,^최소 사정거리안에 있습니다.^,^^,^^,^You are too close.^,^^,^^
^eNetFailure_Action_IsNotDamagableTarget^,^대상을 공격할 수 없는 상태입니다.^,^^,^^,^You cannot attack in this status.^,^^,^^
^eNetFailure_Action_GuageLow^,^MP가 모자랍니다.^,^^,^^,^You do not have enough mana.^,^^,^^
^eNetFailure_Action_WrongTarget^,^잘못된 타겟입니다.^,^^,^^,^Wrong target.^,^^,^^
^eNetFailure_Action_CannotActCastingSkillOnSilenceState^,^침묵상태에서는 정방향, 역방향 시전 스킬을 사용할 수 없습니다.^,^^,^^,^You cannot cast while silenced.^,^^,^^
^eNetFailure_Action_NotCastingState^,^스킬 시전 중이 아닙니다.^,^^,^^,^The skill cannot be cast now.^,^^,^^
^eNetFailure_Action_WhileActingLinkedSkill^,^콤보 스킬을 시전 중입니다.^,^^,^^,^A combo skill is being cast.^,^^,^^
^eNetFailure_Action_DeadState^,^사망 상태입니다.^,^^,^^,^You are dead.^,^^,^^
^eNetFailure_Action_ChangingMapState^,^맵을 바꾸고 있는 상태입니다.^,^^,^^,^Changing maps...^,^^,^^
^eNetFailure_Action_CastingForSkillState^,^시전 중입니다.^,^^,^^,^Casting...^,^^,^^
