t_key,t_korean
^SP_0_1_0000_Title^,^Ili Samsamsa Operus Chilmchul Pal Three Days Three Days Three Days Three Days Three Days^
^SP_0_1_0001_Title^,^Armed^
^SP_0_1_0001_RewarderDesc^,^Crow^
^SP_0_1_0001_Request_Text^,^To fight the enemy will require weapons There is a weapon box of guards on the other side^
^SP_0_1_0001_Accepted_Text^,^SP_0_1_0001_Ongoing_Text^
^SP_0_1_0001_Ongoing_Text^,^The box in front of the eyes is the weapon box of the guard Open the box and take out the weapon^
^SP_0_1_0001_Complete_Text^,^Wear the weapon you take out You have to hurry up because you don't have much time^
^SP_0_1_0002_Title^,^Defeat Flame Life^
^SP_0_1_0002_RewarderDesc^,^Crow^
^SP_0_1_0002_Request_Text^,^That begins to shine with blue light is a piece of soul It is an ancient relic that contains the power of the devil's gelaris It is important to destroy the sculptures of the soul but now the escape is the first To open a locked door you have to kill the creatures summoned by the sculptures of the soul ruler! shall we start?^
^SP_0_1_0002_Accepted_Text^,^That begins to shine with blue light is a piece of soul It is an ancient relic that contains the power of the devil's gelaris It is important to destroy the sculptures of the soul but now the escape is the first To open a locked door you have to kill the creatures summoned by the sculptures of the soul ruler! shall we start?^
^SP_0_1_0002_Ongoing_Text^,^In order to open the locked door you have to kill the guards Rex^
^SP_0_1_0002_Complete_Text^,^Okay the door is open! Let's escape^
^SP_0_1_0003_Title^,^A place where the airship is located^
^SP_0_1_0003_RewarderDesc^,^Crow^
^SP_0_1_0003_Request_Text^,^There is an airship I rode outside Let's hurry before the enemy comes more^
^SP_0_1_0003_Accepted_Text^,^There is an airship I rode outside Let's hurry before the enemy comes more^
^SP_0_1_0003_Ongoing_Text^,^Outside the castle there is an airship I rode You have to ride on the airship before the enemy comes more^
^SP_0_1_0003_Complete_Text^,^You escaped successfully Go to the airship I'll start soon I don't want to have one more second in this dangerous place^
^SP_0_1_0004_Title^,^Armed^
^SP_0_1_0004_RewarderDesc^,^Crow^
^SP_0_1_0004_Request_Text^,^To fight the enemy will require weapons There is a weapon box of guards on the other side^
^SP_0_1_0004_Accepted_Text^,^To fight the enemy will require weapons There is a weapon box of guards on the other side^
^SP_0_1_0004_Ongoing_Text^,^The box in front of the eyes is the weapon box of the guard Open the box and take out the weapon^
^SP_0_1_0004_Complete_Text^,^Wear the weapon you take out You have to hurry up because you don't have much time^
^SP_0_1_0005_Title^,^Escape the prison of Sarant^
^SP_0_1_0005_RewarderDesc^,^Captain Frenigle^
^SP_0_1_0005_Request_Text^,^Help Crow to escape Sarant's castle^
^SP_0_1_0005_Accepted_Text^,^Help Crow to escape Sarant's castle^
^SP_0_1_0005_Ongoing_Text^,^Was it alive? I didn't see it so I thought it was one of them^
^SP_0_1_0005_Complete_Text^,^Was it alive? I didn't see it so I thought it was one of them^
^BC_0_1_0001_Title^,^Ancient flame golem^
^BC_0_1_0001_RewarderDesc^,^Reconnaissance Corners^
^BC_0_1_0001_Request_Text^,^If you go to the ruins swallowed by fire will you ask my request? The flame golem is a creature created by the magic of Sarant He must be out of the ruins if the flame army he led to the ruins I hope you will go into the ruins swallowed by the fire and kill the flame golem and its men^
^BC_0_1_0001_Accepted_Text^,^Go into the ruins swallowed by the fire and kill the flame golem and its men^
^BC_0_1_0001_Ongoing_Text^,^If you go to the ruins swallowed by fire will you ask my request? The flame golem is a creature created by the magic of Sarant He must be out of the ruins if the flame army he led to the ruins I hope you will go into the ruins swallowed by the fire and kill the flame golem and its men^
^BC_0_1_0001_Complete_Text^,^Had you worked hard! <br> If you hadn't been the flame golem would come out into the forest and this place would have become a sea of ??fire <br> <br> You are the hero of the kingdom of Hakanas There is no such thing as you saved the kingdom^
^BC_0_1_0001_1_Title^,^Ancient flame golem^
^BC_0_1_0001_1_RewarderDesc^,^Reconnaissance Corners^
^BC_0_1_0001_1_Request_Text^,^If you go to the ruins swallowed by fire will you ask my request? The flame golem is a creature created by the magic of Sarant He must be out of the ruins if the flame army he led to the ruins I hope you will go into the ruins swallowed by the fire and kill the flame golem and its men^
^BC_0_1_0001_1_Accepted_Text^,^Go into the ruins swallowed by the fire and kill the flame golem and its men^
^BC_0_1_0001_1_Ongoing_Text^,^If you go to the ruins swallowed by fire will you ask my request? The flame golem is a creature created by the magic of Sarant He must be out of the ruins if the flame army he led to the ruins I hope you will go into the ruins swallowed by the fire and kill the flame golem and its men^
^BC_0_1_0001_1_Complete_Text^,^Had you worked hard! <br> If you hadn't been the flame golem would come out into the forest and this place would have become a sea of ??fire <br> <br> You are the hero of the kingdom of Hakanas There is no such thing as you saved the kingdom^
^BC_0_1_0001_7_Title^,^[Event Event] [General] Ancient Fire Golem^
^BC_0_1_0001_7_RewarderDesc^,^Event helper^
^BC_0_1_0001_7_Request_Text^,^Kill the flame golem from the ruins swallowed by the fire^
^BC_0_1_0001_7_Accepted_Text^,^Killing the flame golem will give you a ruins challenger ring^
^BC_0_1_0001_7_Ongoing_Text^,^Kill the flame golem from the ruins swallowed by the fire^
^BC_0_1_0001_7_Complete_Text^,^Good job! Here is a reward^
^BC_0_1_0001_8_Title^,^[Event Event] [Elite] Ancient Fire Golem^
^BC_0_1_0001_8_RewarderDesc^,^Event helper^
^BC_0_1_0001_8_Request_Text^,^Kill the flame golem from the ruins swallowed by the fire^
^BC_0_1_0001_8_Accepted_Text^,^Killing the flame golem will give you a ruins challenger ring^
^BC_0_1_0001_8_Ongoing_Text^,^Kill the flame golem from the ruins swallowed by the fire^
^BC_0_1_0001_8_Complete_Text^,^Good job! Here is a reward^
^BC_0_1_0001_9_Title^,^[Event Event] [Hero] Ancient Fire Golem^
^BC_0_1_0001_9_RewarderDesc^,^Event helper^
^BC_0_1_0001_9_Request_Text^,^Kill the flame golem from the ruins swallowed by the fire^
^BC_0_1_0001_9_Accepted_Text^,^If you kill the flame golem we will give you the ruins of the ruins^
^BC_0_1_0001_9_Ongoing_Text^,^Kill the flame golem from the ruins swallowed by the fire^
^BC_0_1_0001_9_Complete_Text^,^Good job! Here is a reward^
^BC_0_1_0002_Title^,^Accompanied Kepli^
^BC_0_1_0002_RewarderDesc^,^Priest Kepli Singer^
^BC_0_1_0002_Request_Text^,^thanks The flame golem was more powerful than I thought so we couldn't confront All my colleagues lost their lives  I ran away and exhausted the hellish heat  I fell here Thanks to you saved your life I will help you to say that you are going to kill the flame golem^
^BC_0_1_0002_Accepted_Text^,^ruler! Go to kill the flame golem^
^BC_0_1_0002_Ongoing_Text^,^thanks The flame golem was more powerful than I thought so we couldn't confront All my colleagues lost their lives  I ran away and exhausted the hellish heat  I fell here Thanks to you saved your life I will help you to say that you are going to kill the flame golem^
^BC_0_1_0002_Complete_Text^,^I killed the flame golem so I will go back to my father soon! Even at the last moment I almost lost my life the only person who came to mind was my father^
^BC_0_1_0002_1_Title^,^Conversation with Scouts Corners^
^BC_0_1_0002_1_RewarderDesc^,^Reconnaissance Corners^
^BC_0_1_0002_1_Request_Text^,^I want you to tell the reconnaissance crew Connection for the news of killing the flame golem and the news that I am safe I'm going to follow so don't worry <br> <br> I'm going to go to the station and go back to my father The only thing I remember at the moment I almost lost my life was my father If we have a relationship we will meet again^
^BC_0_1_0002_1_Accepted_Text^,^If you have a relationship you'll meet again^
^BC_0_1_0002_1_Ongoing_Text^,^Priest Kepli is guess !?^
^BC_0_1_0002_1_Complete_Text^,^Kepli is so susceptible !? I'm really glad! <br> <br> He has killed the flame golem with her he did the mission of our Serry Knights instead!^
^BC_0_1_0002_2_Title^,^Ancient flame golem^
^BC_0_1_0002_2_RewarderDesc^,^Priest Kepli Singer^
^BC_0_1_0002_2_Request_Text^,^If you go to kill the flame golem I will help you how about it? Would you like to kill the flame golem together?^
^BC_0_1_0002_2_Accepted_Text^,^Let's do it several times!^
^BC_0_1_0002_2_Ongoing_Text^,^If you go to kill the flame golem I will help you how about it? Would you like to kill the flame golem together?^
^BC_0_1_0002_2_Complete_Text^,^I killed the flame golem so I'll go back to my father soon!^
^BC_0_1_0003_Title^,^Dark presence^
^BC_0_1_0003_RewarderDesc^,^Reconnaissance Corners^
^BC_0_1_0003_Request_Text^,^One of the big reasons we have struggled in the ruins swallowed by fire is because of the dark beings These are those who died long ago fighting the flame golem Because of the energy of the ruins he could not die even if he died and became a subordinate of the flame golem That way I think my heart will be released^
^BC_0_1_0003_Accepted_Text^,^Please liberate the dead^
^BC_0_1_0003_Ongoing_Text^,^One of the big reasons we have struggled in the ruins swallowed by fire is because of the dark beings They long ago who fought with flame golem and died even though they died because of the energy of the ruins Would you please liberate it? That way I think my heart will be released^
^BC_0_1_0003_Complete_Text^,^The dead were liberated from the grasp of the flame golem It was really good^
^BC_0_1_0003_1_Title^,^Dark presence^
^BC_0_1_0003_1_RewarderDesc^,^Reconnaissance Corners^
^BC_0_1_0003_1_Request_Text^,^One of the big reasons we have struggled in the ruins swallowed by fire is because of the dark beings They long ago who fought with flame golem and died even though they died because of the energy of the ruins Would you please liberate it? That way I think my heart will be released^
^BC_0_1_0003_1_Accepted_Text^,^The dead were liberated from the grasp of the flame golem It was really good^
