t_key,t_korean
^f10_0_1_0001_Title^,^Magmapora's first base, Red Furnace Village^
^f10_0_1_0001_RewarderDesc^,^Crow^
^f10_0_1_0001_Request_Text^,^Huh... It wasn't this hot, but... it's difficult to move around.<br>This is a red furnace village where Crocoons who have settled in Magmaphora live.<br>This The crocoons probably know better about the phenomenon.<br>I already told them about you before I arrived.<br>I'll let you move independently. I'll let you know if I find any information about the demon. In the meantime, please check the situation.^
^f10_0_1_0001_Accepted_Text^,^^
^f10_0_1_0001_Ongoing_Text^,^If you look to the right, you will see a large furnace.<br>There will be a general manager who manages the village, so go and listen.^
^f10_0_1_0001_Complete_Text^,^Well yes. Are you the hero of that Hakanas?^
^f10_0_1_0002_Title^,^Supervisor of the village^
^f10_0_1_0002_RewarderDesc^,^Director General^
^f10_0_1_0002_Request_Text^,^Mmm. So, are you the hero of that Hakanasu?<br>I am the general overseer of the village of the Red Furnace. Everyone calls them supervisors, so you should just call them that. <br>Most of us Crocoons are blacksmiths who handle iron. Your weapon speaks for itself. The road you've walked^
^f10_0_1_0002_Accepted_Text^,^^
^f10_0_1_0002_Ongoing_Text^,^...You've been through a lot in a short period of time. Crocoons who saw your equipment will have no choice but to show their respect.^
^f10_0_1_0002_Complete_Text^,^So you said you heard about the situation with this magmapora?<br>Hmm yes... it might be faster for you to experience it yourself.<br>Go west of this town. Send my regards to Guard Left.<br>First of all, we need to find out the cause... It's a very difficult situation.^
^f10_0_1_0003_Title^,^West Guard Left^
^f10_0_1_0003_RewarderDesc^,^left^
^f10_0_1_0003_Request_Text^,^Nothing wrong! Ah, aren't you the hero of Hakanasu!<br>Ah! Did you come after hearing what the supervisor said!?<br>Um... originally outsiders shouldn't go outside.<br>But there must be a reason the supervisor sent it! I'll give you permission.<br> If you kill the 1 Rofus walking around in front of you and come back, I think you'll get a feel for what's going on in Magmapora!^
^f10_0_1_0003_Accepted_Text^,^^
^f10_0_1_0003_Ongoing_Text^,^How did you find out?<br>There is no one in Magmaphora other than the hero who deserves to have equipment like this!<br>By the way, Rofus are very troublesome guys.<b>Nearby Maybe it's because they don't have anything to eat... They keep trying to enter the village.<br>Sometimes it's a pity that there are gentle guys, but the damage to the village is formidable.
Being out for a long time can be dangerous, so be sure to bring some potions to help you recover!^
^f10_0_1_0003_Complete_Text^,^Did you kill and come back! Thank you!<br>Yes, that's right. The situation outside the village is more serious than inside.<br>We, Crocoons, receive the protection of Nerhes, the god of fire, and can endure to some extent..<br>Other races say that it is difficult to endure. Actually, it has been hot since before, but not to this extent.^
^f10_0_1_0004_Title^,^cause of opening^
^f10_0_1_0004_RewarderDesc^,^left^
^f10_0_1_0004_Request_Text^,^cause? hmm… <br>Ah, come to think of it, my friend said something strange while drinking yesterday.<br>What did he say because Nerges-sama was angry? It's not there, so why don't you visit it!<br>You'll probably be at the Quenching Inn by now.^
^f10_0_1_0004_Accepted_Text^,^^
^f10_0_1_0004_Ongoing_Text^,^The quenching inn is on the side of the pier!<br>Ah... that's because my friend doesn't have a good temper when he just drinks.<br>I hope he wasn't drinking...^
^f10_0_1_0004_Complete_Text^,^Someone is talking to me! Hey, what a great person you are!?!?^
^f10_0_1_0005_Title^,^Drunkard Manual^
^f10_0_1_0005_RewarderDesc^,^Manual^
^f10_0_1_0005_Request_Text^,^You look like that Hakanasu hero or what?! Tsk. Go away!<br>(Let's buy a beer from the innkeeper)^
^f10_0_1_0005_Accepted_Text^,^^
^f10_0_1_0005_Ongoing_Text^,^Go away! I'm busy... I'm busy... <br>Ay! I feel bad because I don't even pay for alcohol, but you make me even more upset!<br>Get out of my sight!<br>(Let's buy a beer from the innkeeper)^
^f10_0_1_0005_Complete_Text^,^끅. what… Can you buy me a drink?<br>Give it to me! what are you looking at? I have nothing to say.<br>(I think it will be difficult to have a conversation unless you are sober.)^
