t_key,t_korean,t_jpn,t_chinese,t_enu
^F02_G_00001_Title^,^Escape Sarant's prison.^,^サラントの監獄を脱出せよ。^,^^,^^
^F02_G_00001_RewarderDesc^,^Assassin Clan Leader Crow^,^シャドウ クレン団長クロー^,^^,^^
^F02_G_00001_Request_Text^,^Help Crow escape Sarant's prison.^,^クローに協力し、サラントの監獄を脱出せよ。^,^^,^^
^F02_G_00001_Accepted_Text^,^Help Crow escape Sarant's prison.^,^クローに協力し、サラントの監獄を脱出せよ。^,^^,^^
^F02_G_00001_Ongoing_Text^,^Help Crow escape Sarant's prison.^,^クローに協力し、サラントの監獄を脱出せよ。^,^^,^^
^F02_G_00001_Complete_Text^,^Are you okay? Your flying fellow has crashed and you've been asleep for a while. As you can see. there doesn't seem to be any inconvenience in moving anywhere. Good luck.^,^君、大丈夫かい?飛行フェローズが墜落し、君はしばらくの間眠っていたのだ。見たところ、どこか悪いところはなさそうだな、幸いに。^,^^,^^
^F02_G_00002_Title^,^Fight Pirates^,^海賊に立ち向かって戦え^,^^,^^
^F02_G_00002_RewarderDesc^,^Scout Serin^,^偵察隊員 セリン^,^^,^^
^F02_G_00002_Request_Text^,^We must inform His Majesty the King in the capital city of the princess as soon as possible. I have to take care of the wounded here. so you're the right person.<br><br>Defeat the Karad Pirates and the boss guarding the gates and rescue Serin. Serin must have figured out something through her reconnaissance.^,^お姫様の便りを少しでも早く首都城にある国王様に伝えないと。僕はここで負傷者たちの面倒をみないといけない…君が適任者のようだな。<br><br>カラード海賊団と関門を警備するボスを退治し、セリンを救出しなさい。セリンは偵察で何かを掴んだはず。^,^^,^^
^F02_G_00002_Accepted_Text^,^Defeat the Karad Pirates and rescue Serine.^,^カラード海賊を退治し、セリンを救出しなさい。^,^^,^^
^F02_G_00002_Ongoing_Text^,^Defeat the Karad Pirates and the boss guarding the gates and rescue Serin. Serin must have figured out something through her reconnaissance.^,^カラード海賊団と関門を警備するボスを退治し、セリンを救出しなさい。セリンは偵察で何かを掴んだはず。^,^^,^^
