t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^SF_0_1_0001_Title^,^비행선 선장과 대화^,^飛行船長との対話^,^^,^Out of the Sky, Into the Fire^,^^,^^
^SF_0_1_0001_RewarderDesc^,^비행선 선장^,^飛行船長^,^^,^Sky Titan Pilot^,^^,^^
^SF_0_1_0001_Request_Text^,^정신을 차리셨군요. 몸은 괜찮습니까?<br><br>우리는 브라카르 숲 한가운데에 추락했습니다. 어떤 놈들이 우리가 탄 비행선을 공격한 것 같군요.^,^体は大丈夫ですか?<br><br>我ーはブラカルの森の中に墜落しました。誰かが我ーの飛行船を攻撃したようです。^,^^,^You made it. I hope you're ready to fight.<br><br>
I can't believe those bastards shot down our sky titan. It looks like we landed in Brakarr Forest.^,^^,^^
^SF_0_1_0001_Request_Text_attach_0^,^혹시 몸을 움직이는데 불편함이 없으시다면 선장님을 찾아보세요. 우리가 처한 상황에 대한 설명을 들을 수 있을 것입니다...<br><br>선장님은 제 뒤로 보이는 고장 난 비행선 엔진 주변에 계시네요.^,^体の調子が悪くなければ、船長様を訪ねてください。我ーの状況について説明してくれます...<br><br>船長様は後ろの飛行船のエンジン近くにいます。^,^^,^Go see the pilot behind me. I've got to get a lay of the land...^,^^,^^
^SF_0_1_0001_Accepted_Text^,^어서 이 숲을 빠져나갈 방법을 찾아야 할 텐데...^,^早くこの森を出る方法を見つけないと...^,^^,^I have to find a way out of this forest...^,^^,^^
^SF_0_1_0001_Ongoing_Text^,^어서 이 숲을 빠져나갈 방법을 찾아야 할 텐데...^,^早くこの森を出る方法を見つけないと...^,^^,^I have to find a way out of this forest...^,^^,^^
^SF_0_1_0001_Complete_Text^,^이제야 정신을 차렸나?<br><br>우리 비행선이 추락하고 자네가 정신을 잃은 지 꽤 시간이 흘렀네. 어디 다친 곳은 없나? 환자를 보살피고 싶은 생각은 없으니 알아서 추스리라구.^,^大丈夫か?<br><br>飛行船が墜落し、君が気を失ってしばらく経った。怪我はないか?面倒をみるつもりはないからしっかりしろ。^,^^,^Ah, you're up. You've been unconscious since we crashed. It's been a while. I was worried we'd have to leave you when we moved on.^,^^,^^
^SF_0_1_0001_1_Title^,^상황 파악^,^状況把握^,^^,^Grasp the Situation^,^^,^^
^SF_0_1_0001_1_RewarderDesc^,^토르투스^,^シャドウクランクロウ^,^^,^Tortus^,^^,^^
^SF_0_1_0001_1_Request_Text^,^여긴 브라카르 숲이네. 브라기들의 습격으로 추락해버리고 말았어.<br><br>현재 브라카르 숲은 브라기들에게 점령당한 상태이지. 비행 펠로우를 타고 있다고 순간 방심하다니….<br>이러고 있을 때가 아니지.<br><br>살아남은 대원들과 함께 브라기 약탈자들을 처치하고 오게나.^,^ここはブラカルの森だ。最短ルートと言えどここを通過するという選択は失敗だった。<br><br>見る限り体に異常はなさそうだな。お前が死んでいたら遺体の回収という嫌な仕事をせねばならんところだった。<br><br>クロウ様がお前を心配していたぞ。安心させてこい。^,^^,^This is Brakarr Forest. It went down with the raids of the Braghins.<br><br>The Brakarr Forest is now occupied by the Braghins. I was riding a flying familiar, and I was just ... .<br>This is not the time.<br><br>Together with the other survivors, get rid of the Braghins.^,^^,^^
^SF_0_1_0001_1_Accepted_Text^,^큰 위협이 되기 전에 처치해야해..!^,^この程度で済んでよかった…^,^^,^We have to kill them before they become a big threat ..!^,^^,^^
^SF_0_1_0001_1_Ongoing_Text^,^현재 브라카르 숲은 브라기들에게 점령당한 상태이지. 비행 펠로우를 타고 있다고 순간 방심하다니….<br>이러고 있을 때가 아니지.<br><br>살아남은 대원들과 함께 브라기 약탈자들을 처치하고 오게나.^,^無事だったか。怪我は無いか？<br>無理はしないように。^,^^,^The Brakarr Forest is now occupied by the Braghins. I was riding a flying familiar, and I was just ... .<br>This is not the time.<br><br>Together with the other survivors, get rid of the Braghins.^,^^,^^
^SF_0_1_0001_1_Complete_Text^,^수고했네. 정말 악랄하기 그지없는 녀석들이야.^,^無事だったか。怪我は無いか？<br>無理はしないように。^,^^,^Thank you. They are really unscrupulous.^,^^,^^
^SF_0_1_0002_Title^,^모이는 약탈자들^,^ワイルドボアの脅威^,^^,^Looting Predators^,^^,^^
^SF_0_1_0002_RewarderDesc^,^토르투스^,^シャドウクラン団長クロウ^,^^,^Tortus^,^^,^^
^SF_0_1_0002_Request_Text^,^이런, 브라기들의 숫자가 점점 늘어나고 있군.<br><br>우리의 보급물자를 노리는게 분명하군.<br>우선 브라기들을 처치하고 흩어져 있는 보급 물자들을 모아 안전한 곳으로 옮겨놓아야겠어. <br>[Username], 몰려드는 브라기들을 처치하고 보급 물자들을 회수하여오게나.^,^色々とやらなければならない。手を貸してくれると嬉しい。<br><br>この付近はワイルドボアの生息地帯だ。負傷者の血の匂いと騒動で興奮しているようだ。<br><br>負傷者の安全確保の為、ワイルドボアを付近より排除してくれ。^,^^,^Guys, there's a growing number of Braghin.<br><br>Obviously they are aiming for our supplies.<br>First of all, we need to get rid of the Braghin and collect the scattered supplies and move them to a safe place.<br>[Username], get rid of the crowded Braghins and collect the supplies.^,^^,^^
^SF_0_1_0002_Accepted_Text^,^다치지 않도록 조심하게.^,^興奮したワイルドボアに気をつけろ。^,^^,^Be careful not to get hurt.^,^^,^^
^SF_0_1_0002_Ongoing_Text^,^몰려드는 브라기들을 처치하고 보급 물자들을 회수하여오게나.^,^まだ近くで暴れているイノシシが多い。負傷者を脅すイノシシを退治してくれ。^,^^,^Get rid of crowded Braghin and collect the supplies.^,^^,^^
^SF_0_1_0002_Complete_Text^,^수고했네. 브라기들이 잠시 당황한 것 같군.^,^よくやってくれた。<br>救助活動がスムーズになるだろう。^,^^,^Thank you. The Braghin seem quite upset for the moment.^,^^,^^
^SF_0_1_0003_Title^,^섀도우 클랜 프롬과 대화^,^シャドウクラン フロムとの対話^,^^,^Hearts of Onyx^,^^,^^
^SF_0_1_0003_RewarderDesc^,^섀도우 클랜 프롬^,^シャドウクラン フロム^,^^,^Promm^,^^,^^
^SF_0_1_0003_Request_Text^,^이런…별로 좋지 않은데요. 인근에 늑대가 많다는 모양이에요. 지금 전력으로는 막아내기 힘들 텐데.<br><br>프롬 선배가 요령이 좋긴 하지만 늑대 무리는 만만한 상대가 아니에요. 프롬 선배를 도와주세요!^,^いや…よくないですね。近くに狼が多いそうです。今の戦力では防ぐ事が難しいと思うけど。<br><br>フロム先輩は要領はいいですが、狼を甘くみてはいけないです。フロム先輩を助けてください!^,^^,^From one tight spot to another...<br><br>
The boars must have been driving back the wolves. We don't have enough men to keep these beasts at bay. I need you to meet up with Promm and see if you can help.^,^^,^^
^SF_0_1_0003_Accepted_Text^,^길을 따라서 가다 보면 프롬 선배가 목책을 세워두고 있을 거예요.^,^道を辿って行けばフロム先輩が木柵を立てているはずです。^,^^,^Follow this path until you find Promm near the barricades.^,^^,^^
^SF_0_1_0003_Ongoing_Text^,^아, 당신이군요. 크게 안 다쳐서 다행이에요.<br><br>도와주러 오신 건가요? 고마워요! 저 혼자서는 여길 지키는 걸로 한계였어요.^,^あ、あなたですね。怪我しなくてよかったです。<br><br>助けに来てくれたのですか?ありがとう!私一人では守るに精一杯でした。^,^^,^You're the one Crow was talking about, aren't you? I'm glad you weren't hurt too badly.<br><br>
I'm glad you're here. I could use some help driving back these beasts.^,^^,^^
^SF_0_1_0003_Complete_Text^,^아, 당신이군요. 크게 안 다쳐서 다행이에요.<br><br>도와주러 오신 건가요? 고마워요! 저 혼자서는 이제 한계였어요.^,^あ、あなたですね。怪我しなくてよかったです。<br><br>助けに来てくれたのですか?ありがとう!私一人では守るに精一杯でした。^,^^,^You're the one Crow was talking about, aren't you? I'm glad you weren't hurt too badly.<br><br>
I'm glad you're here. I could use some help driving back these beasts.^,^^,^^
^SF_0_1_0004_Title^,^기습 공격^,^医薬品の回収^,^^,^Surprise Attack^,^^,^^
^SF_0_1_0004_RewarderDesc^,^섀도우 클랜 크로우^,^姫の護衛騎士レナ^,^^,^Crow^,^^,^^
^SF_0_1_0004_Request_Text^,^이곳은 그럭저럭 정리된 것 같으니 크로우를 찾아가는 것이 좋겠네. <br>크로우는 지금 브라기들의 움직임을 감시중이지. 조금만 올라가면 그가 보일테니 어서 가보게나.^,^食料の確保はなんとかなっているが負傷者が心配だ。応急処置では限度がある。<br>ちゃんとした治療には薬が必要だ。<br>積んでいた薬は墜落で付近に落下したが、厳重に保管していたからまだ使えるだろう。<br>それを見つけてあそこで負傷者を介抱しているレナに渡してくれ。^,^^,^This place seems to be getting sorted out, so it's better to go to Crow.<br>Crow is now monitoRing the Braghin's movements. If you go up a little, you will see him.^,^^,^^
^SF_0_1_0004_Accepted_Text^,^^,^レナが負傷者を介護している。薬を渡してやってくれ。^,^^,^^,^^,^^
^SF_0_1_0004_Ongoing_Text^,^^,^薬箱にマウスを当てると、矢印の形が変わるからすぐに分かるだろう。その中から薬の入った瓶を3本持ってきてくれ。^,^^,^^,^^,^^
^SF_0_1_0004_Complete_Text^,^다친 곳은 없어 보이는 군.^,^薬はまだ使えそうですか？<br>負傷者が多くていくらあっても足りないのですが…<br>今はある限り何とかしてみます。<br><br>ありがとうございます。^,^^,^Looks like you don't have any injuries.^,^^,^^
^SF_0_1_0004_1_Title^,^초급 스킬 마스터와 대화^,^初級スキルマスターとの対話^,^^,^Talk to the Beginner Skill Master^,^^,^^
