t_key,t_korean
^Quest_Mission_Str_Type_0^,^Talk to [NAME]^
^Quest_Mission_Str_Type_1^,^Defeat [NAME]^
^Quest_Mission_Str_Type_2^,^Obtain [NAME]^
^Quest_Mission_Str_Type_3^,^Find [NAME]^
^Quest_Mission_Str_Type_4^,^Escort [NAME]^
^Quest_Mission_Str_Type_5^,^Report to [NAME]^
^Quest_Mission_Str_Type_6^,^Talk to [NAME]^
^Quest_Mission_Str_Type_7^,^Use [NAME]^
^Quest_Mission_Str_Type_8^,^Destroy [NAME]^
^Quest_Mission_Str_Type_9^,^Seek out [NAME]^
^Quest_Mission_Str_Type_10^,^Go to [NAME]^
^Quest_Mission_Str_Type_11^,^Equip [NAME]^
^Quest_Mission_Str_Type_12^,^Rescue Chapley Singer^
^Quest_Mission_Str_Type_13^,^Deliver [NAME]^
^Quest_Mission_Str_Type_14^,^Deliver items to [NAME]^
^Quest_Mission_Str_Type_15^,^Interrupt [NAME2]^
^Quest_Mission_Str_Type_16^,^Use [NAME]^
^Quest_Mission_Str_Type_17^,^Tame [NAME]^
^Quest_Mission_Str_Type_18^,^Learn [NAME]^
^Quest_Mission_Str_Type_19^,^Deliver items to [NAME]^
^Quest_Mission_Str_Type_20^,^Fill the Talent Orb with power^
^Quest_Mission_Str_Type_21^,^Equip [NAME]^
^Quest_Mission_Str_Type_22^,^Fight [NAME]^
^Quest_Mission_Str_Type_23^,^Fight [NAME] while mounted^
^Quest_Mission_Str_Type_24^,^Defend [NAME] [NAME2]^
^Quest_Mission_Str_Type_25^,^Everyone must survive^
^Quest_Mission_Str_Type_26^,^Escape the prison^
^Quest_Mission_Str_Type_27^,^Buy [NAME]^
^Quest_Mission_Str_Type_28^,^Need [NAME]^
^Quest_Mission_Str_Type_29^,^Put out fires^
^Quest_Mission_Str_Type_30^,^Treat Wounded^
^Quest_Mission_Str_Type_31^,^Place [NAME]^
^Quest_Mission_Str_Type_32^,^Gather Water^
^Quest_Mission_Str_Type_33^,^Torture [NAME]^
^Quest_Mission_Str_Type_34^,^Feed [NAME]^
^Quest_Mission_Str_Type_35^,^Use [NAME] to Reveal Ghosts^
^Quest_Mission_Str_Type_36^,^Defeat Braghin Combat Troops with Dragon Lance^
^Quest_Mission_Str_Type_37^,^Seal Ruins Reindeer^
^Quest_Mission_Str_Type_38^,^Check [NAME]^
^Quest_Mission_Str_Type_39^,^Place [NAME]^
^Quest_Mission_Str_Type_40^,^Douse Burning Wagons^
^Quest_Mission_Str_Type_41^,^[BUG] Congratulations. You have completed all the Icarus G☆STAR quests.^
^Quest_Mission_Str_Type_42^,^Meet Crow at the Dragon Knight Station^
^Quest_Mission_Str_Type_43^,^Retrieve Cullaghan's hammer^
^Quest_Mission_Str_Type_44^,^Talk to Yulnus in Hakain's Crossing^
^Quest_Mission_Str_Type_45^,^Look for Kha above the vortex^
^Quest_Mission_Str_Type_46^,^Use the flare^
^Quest_Mission_Str_Type_47^,^Talk to Poe in the Tritael Rift^
^Quest_Mission_Str_Type_48^,^Collect eggs from Flotier Nest^
^Quest_Mission_Str_Type_49^,^Examine Angel Statue^
^Quest_Mission_Str_Type_50^,^Reach Level [NAME]^
^Quest_Mission_Str_Type_51^,^Escort Drex to Kellwoods^
^Quest_Mission_Str_Type_52^,^Retrieve Pegasus Knights token^
^Quest_Mission_Str_Type_53^,^Resist the Fallen Legion attack for 2 min^
^Quest_Mission_Str_Type_54^,^Set recall location^
^Quest_Mission_Str_Type_55^,^Take Luna to Curtis^
^Quest_Mission_Str_Type_56^,^Go to Hakain's Crossing^
^Quest_Mission_Str_Type_57^,^Go to the Tritael Rift^
^Quest_Mission_Str_Type_58^,^Buy [NAME]^
^Quest_Mission_Str_Type_59^,^Get Chiki's Help^
^Quest_Mission_Str_Type_60^,^Tame a Caldera Firebeak in the Broken Caldera^
