t_key,t_korean,t_jpn,t_chinese,t_enu
^area_sp_p_0001_name^,^Sarant's Prison^,^サラントの監獄^,^^,^^
^area_sf_r_0005_name^,^Airship Crash Site^,^飛行船墜落地^,^^,^^
^area_sf_r_0001_name^,^New Dragon Knights Garrison^,^ゴッドドラゴン騎士団駐屯地^,^^,^^
^area_sf_r_0002_name^,^Historic Site Ruins Camp^,^遺跡地廃墟野営地^,^^,^^
^area_sf_r_0003_name^,^Glowing Tree Forest Camp^,^光彩木の森キャンプ^,^^,^^
^area_hk_r_0001_name^,^Elven Ruins Camp^,^エルフ遺跡地キャンプ^,^^,^^
^area_hk_r_0007_name^,^San Surf's Evacuation Camp^,^サンサプス避難キャンプ^,^^,^^
^area_hk_r_0002_name^,^San Evacuation Camp^,^サンサプス避難キャンプ^,^^,^^
^area_hk_r_0003_name^,^Hakanas Castle^,^ハカナス首都城^,^^,^^
^area_hk_r_0004_name^,^Northern Guard Tower^,^北部警備塔^,^^,^^
^area_hk_r_0005_name^,^Kell Woods Village^,^ケルウーズ村^,^^,^^
^area_hk_r_0006_name^,^Roar Forest Garrison^,^咆哮の森駐屯地^,^^,^^
