t_key,t_korean
^region_f00_001_name^,^Prison of Salant^
^region_f00_002_name^,^Prison of Agony^
^region_f00_003_name^,^Torture Chamber^
^region_f00_004_name^,^Torture Chamber^
^region_f00_005_name^,^Prison of Agony Stables^
^region_f00_006_name^,^Aerial Platform^
^region_f01_001_name^,^Crashed Titan Interior^
^region_f01_002_name^,^Crash Site^
^region_f01_005_name^,^Dragon Knight Station^
^region_f01_006_name^,^Braghin Outpost^
^region_f01_007_name^,^Wolftrap Grotto^
^region_f01_008_name^,^Still Path^
^region_f01_009_name^,^Southern Ruins^
^region_f01_010_name^,^Still Path^
^region_f01_011_name^,^The Shimmerwood^
^region_f01_012_name^,^Braghin War Camp^
^region_f01_013_name^,^Northern Ruins^
^region_f01_014_name^,^Decrepit Ruins Entrance^
^region_f01_015_name^,^Hakain's Passage^
^region_f01_020_name^,^Altar of Souls^
^region_d00_001_name^,^Ruins Entrance^
^region_d00_002_name^,^Lavalight Cave^
^region_d00_003_name^,^Swiftfire River^
^region_d00_004_name^,^Emberstone Lair^
^region_d01_001_name^,^Manor Gate^
^region_d01_002_name^,^Manor Courtyard^
^region_d01_003_name^,^Dour Stables^
^region_d01_004_name^,^Banquet Hall^
^region_d01_005_name^,^Manor Chambers^
^region_d01_006_name^,^Great Hall^
^region_d02_001_name^,^Town Gate^
^region_d02_002_name^,^Ruins of Matren^
^region_d02_003_name^,^Belltower Plaza^
^region_d02_004_name^,^Miner's Road^
^region_d02_005_name^,^Silver Warehouse^
^region_d02_006_name^,^Abandoned Mine^
^region_d02_007_name^,^Mining Town Ruins^
^region_d02_008_name^,^Silver Valley^
^region_d02_009_name^,^Salant's Birthplace^
^region_d02_010_name^,^Silver Refinery^
^region_f02_001_Name^,^Hakain's Passage^
^region_f02_002_Name^,^Forlorn Ruins^
^region_f02_003_Name^,^Sansupus Ranch^
^region_f02_004_Name^,^Gilded Woods^
^region_f02_005_Name^,^Foothills^
^region_f02_006_Name^,^Hunter's Cave^
^region_f02_007_Name^,^Zadaran^
^region_f02_008_Name^,^Exarahn Ruins^
^region_f02_009_Name^,^South Capital Gate^
^region_f02_010_Name^,^North Capital Gate^
^region_f02_011_Name^,^Morineh Lake^
^region_f02_012_Name^,^Dawnbreak Woods^
^region_f02_013_Name^,^Kellwoods^
^region_f02_014_Name^,^Carleon Manor^
^region_f02_015_Name^,^Kellwoods Farms^
^region_f02_016_Name^,^Northern Watchtower^
^region_f02_017_Name^,^Miller's Hill^
^region_f02_018_Name^,^Cemetery^
^region_f02_019_Name^,^Ruins of Matren^
^region_f02_020_Name^,^Foothills Camp^
^region_f02_021_Name^,^Foothills (South)^
^region_f02_022_Name^,^Divinity Shore^
^region_f02_023_Name^,^Tanner Village^
^region_f02_024_Name^,^Dawnbreak Woods (North)^
^region_f02_025_Name^,^Phoenix Fledgling Nest^
^region_f02_026_Name^,^Broken Caldera^
^region_f02_027_Name^,^Guardian's Gate^
^region_f02_028_Name^,^Sansupus Camp^
^region_f02_029_Name^,^Lavalight Cave^
^region_c01_001_Name^,^Emerald Road^
^region_c01_002_Name^,^Elgren Farm^
^region_c01_003_Name^,^Adventure's Port^
^region_c01_004_Name^,^Rosen's Road^
^region_c01_005_Name^,^Verdant Meadows (South)^
^region_c01_006_Name^,^King's Grove^
^region_c01_007_Name^,^Noble's Gate^
^region_c01_008_Name^,^Grand Avenue^
^region_c01_009_Name^,^Market District^
^region_c01_010_Name^,^Artisan Square^
^region_c01_011_Name^,^Familiar Academy^
^region_c01_012_Name^,^Low Town^
^region_c01_013_Name^,^River Ward^
^region_c01_014_Name^,^Training Yard^
^region_c01_015_Name^,^Capital Barracks^
^region_c01_016_Name^,^Merchant's Gate^
^region_c01_017_Name^,^Scholar's Quarter^
^region_c01_018_Name^,^Victory Plaza^
