t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^shortcut_move_forward^,^Go Forward^,^前に移動^,^^,^^,^^,^^
^shortcut_move_backward^,^Go Back^,^後ろに移動^,^^,^^,^^,^^
^shortcut_move_rot_left^,^Turn Left^,^左側に回る^,^^,^^,^^,^^
^shortcut_move_rot_right^,^Turn Right^,^右側に回る^,^^,^^,^^,^^
^shortcut_move_left^,^Walk Left^,^左側に歩く^,^^,^^,^^,^^
^shortcut_move_right^,^Walk Right^,^右側に歩く^,^^,^^,^^,^^
^shortcut_move_run_walk^,^Running/Walking^,^走る/歩く^,^^,^^,^^,^^
^shortcut_move_autorun^,^Automatic Running^,^オートラン^,^^,^^,^^,^^
^shortcut_move_jump^,^Jump^,^ジャンプ^,^^,^^,^^,^^
^shortcut_move_sit_standup^,^Sit/Stand Up^,^座る/立つ^,^^,^^,^^,^^
^shortcut_menu_char_info_open^,^Character Information^,^キャラクター情報ページ^,^^,^^,^^,^^
^shortcut_menu_fellowview_open^,^Fellow Info Window^,^フェロー情報ページ^,^^,^^,^^,^^
^shortcut_menu_skill_open^,^Skill Window^,^スキルページ^,^^,^^,^^,^^
^shortcut_menu_quest_open^,^Quest Window^,^クエストページ^,^^,^^,^^,^^
^shortcut_menu_inventory_open^,^Inventory^,^インベントリ^,^^,^^,^^,^^
^shortcut_menu_map_open^,^Map^,^マップ^,^^,^^,^^,^^
^shortcut_menu_channel_open^,^Channel^,^チャンネル^,^^,^^,^^,^^
^shortcut_menu_gm_open^,^GM^,^GM^,^^,^^,^^,^^
^shortcut_menu_personal_connections_open^,^Networking^,^人脈^,^^,^^,^^,^^
^shortcut_menu_organization_open^,^Group^,^団体^,^^,^^,^^,^^
^shortcut_menu_offensive_army_open^,^Raid^,^攻撃隊^,^^,^^,^^,^^
^shortcut_camera_keyboard_zoomin^,^Zoom In^,^ズームイン^,^^,^^,^^,^^
^shortcut_camera_keyboard_zoomout^,^Zoom Out^,^ズームアウト^,^^,^^,^^,^^
^shortcut_battle_attack_talk^,^Attack/Talk^,^攻撃/会話^,^^,^^,^^,^^
^shortcut_battle_battle_onoff^,^Battle On/Off^,^戦闘/一般姿勢変換^,^^,^^,^^,^^
^shortcut_battle_orders_onoff^,^Order On/Off^,^オーダー発動/解除^,^^,^^,^^,^^
^shortcut_battle_near_enemy_select^,^Close Selection^,^近場の敵選択^,^^,^^,^^,^^
^shortcut_battle_near_ally_select^,^Choose a nearby ally^,^近場の味方選択^,^^,^^,^^,^^
^shortcut_battle_near_object_select^,^Select a target near you^,^近場の対象選択^,^^,^^,^^,^^
^shortcut_battle_near_dead_select^,^Select a nearby body^,^近場の死体選択^,^^,^^,^^,^^
^shortcut_battle_mark_target_select^,^Select token target^,^マーク対象選択^,^^,^^,^^,^^
^shortcut_battle_target_target^,^Select the target^,^対象の対象選択^,^^,^^,^^,^^
^shortcut_battle_weapon_swap^,^Weapon Swap^,^武器スワップ^,^^,^^,^^,^^
^shortcut_party_first_member_select^,^Choose 1 party member^,^パーティーメンバー1選択^,^^,^^,^^,^^
^shortcut_party_second_member_select^,^Choose 2 party members^,^パーティーメンバー2選択^,^^,^^,^^,^^
^shortcut_party_third_member_select^,^Choose 3 party members^,^パーティーメンバー3選択^,^^,^^,^^,^^
^shortcut_party_fourth_member_select^,^Choose 4 party members^,^パーティーメンバー4選択^,^^,^^,^^,^^
