t_key,t_korean,t_jpn,t_chinese,t_enu
^map_c01_item_store01_0^,^General Store^,^雑貨店^,^^,^^
^map_c01_weapon_house01_0^,^Weapons Workshop^,^武器製作所^,^^,^^
^map_c01_Armor_house01_0^,^Armor Workshop^,^防具製作所^,^^,^^
^map_c01_weapon_store01_0^,^Weapons Store^,^武器店^,^^,^^
^map_c01_Armor_store01_0^,^Armor Store^,^防具店^,^^,^^
^map_c01_kitchen01_0^,^Grocer^,^食料品店^,^^,^^
^map_c01_kitchen02_0^,^Chef^,^調理場^,^^,^^
^map_c01_alchemy01_0^,^Alchemy Lab^,^錬金術研究所^,^^,^^
^map_c01_alchemy02_0^,^Alchemy Shop^,^錬金術商店^,^^,^^
^map_c01_Armor_store02_0^,^Armor Material Shop^,^防具材料商店^,^^,^^
^map_c01_weapon_store02_0^,^Weapons Material Shop^,^武器材料商店^,^^,^^
^map_c01_alchemy03_0^,^Alchemy Material Shop^,^錬金術材料商店^,^^,^^
^map_c01_Armor_store03_0^,^Armor Shop^,^防具店^,^^,^^
^map_c01_weapon_store03_0^,^Weapon Shop^,^武器店^,^^,^^
^map_c01_alchemy04_0^,^Alchemy Shop^,^錬金術商店^,^^,^^
^map_c01_kitchen03_0^,^Grocer Shop^,^食料品店^,^^,^^
^map_c01_bank01_0^,^Auction House/Bank^,^オークション/銀行^,^^,^^
^map_c01_bar01_0^,^Pub^,^居酒屋^,^^,^^
^map_c01_book_store01_0^,^Baela's Memorial Library^,^バエランス記念図書館^,^^,^^
^map_f03_town01_0^,^The Alchemy Shop^,^錬金術商店^,^^,^^
^map_f03_town02_0^,^Amy Heigl Inn^,^エイミー ヘイグル旅館^,^^,^^
^map_f03_town03_0^,^Armor Shop^,^防具店^,^^,^^
