t_key;t_korean
^moagro01_Name^;^Drag^
^moagro01_Description_1^;^Drag^
^moagro02_Name^;^Drag^
^moagro02_Description_1^;^Drag^
^moagro03_Name^;^Drag^
^moagro03_Description_1^;^Drag^
^moagul01_Name^;^Stab^
^moagul01_Description_1^;^Stab^
^moagul02_Name^;^Runaway^
^moagul02_Description_1^;^Runaway^
^moagul03_Name^;^Tail rotation^
^moagul03_Description_1^;^Tail rotation^
^moagul04_Name^;^cure^
^moagul04_Description_1^;^cure^
^moagul05_Name^;^Ice fog^
^moagul05_Description_1^;^Ice fog^
^moagul06_Name^;^Water stream^
^moagul06_Description_1^;^Water stream^
^moagul07_Name^;^Biting^
^moagul07_Description_1^;^Biting^
^moagul08_Name^;^call^
^moagul08_Description_1^;^call^
^moagul09_Name^;^Stab^
^moagul09_Description_1^;^Repayment^
^moankelion01_Name^;^Summon followers^
^moankelion01_Description_1^;^Summon followers^
^moankelion02_Name^;^Sprinkling cold arrows^
^moankelion02_Description_1^;^Sprinkling cold arrows^
^moankelion03_Name^;^Ice arrow^
^moankelion03_Description_1^;^Ice arrow^
^moankelion04_Name^;^Last^
^moankelion04_Description_1^;^Last^
^moankelion05_Name^;^Sprinkling cold arrows^
^moankelion05_Description_1^;^Sprinkling cold arrows^
^moankelion06_Name^;^Ice arrow^
^moankelion06_Description_1^;^Ice arrow^
^moankelion07_Name^;^Shout^
^moankelion07_Description_1^;^Shout^
^moankelion08_Name^;^Shout^
^moankelion08_Description_1^;^Shout^
^moashuram01_Name^;^rush^
^moashuram01_Description_1^;^rush^
^moashuram02_Name^;^Receive^
^moashuram02_Description_1^;^Receive^
^moashuram03_Name^;^Whirlpool^
^moashuram03_Description_1^;^Whirlpool^
^moashuram04_Name^;^Whirlpool^
^moashuram04_Description_1^;^Whirlpool^
^moashuram05_Name^;^Swing^
^moashuram05_Description_1^;^Swing^
^moashuram06_Name^;^Swing^
^moashuram06_Description_1^;^Swing^
^moashuram07_Name^;^Bone Shield^
^moashuram07_Description_1^;^Bone Shield^
^moashuram08_Name^;^Bone Shield^
^moashuram08_Description_1^;^Bone Shield^
^moasteras01_Name^;^Black lightning^
^moasteras01_Description_1^;^Black lightning^
^mobabydragon01_Name^;^Flame breath^
^mobabydragon01_Description_1^;^Flame breath^
^mobaramos01_Name^;^smash^
^mobaramos01_Description_1^;^smash^
^mobat01_Name^;^Screaming^
^mobat01_Description_1^;^Screaming^
^mobear01_Name^;^Torso^
^mobear01_Description_1^;^Torso^
^mobear02_Name^;^Paw^
^mobear02_Description_1^;^Paw^
^mobee01_Name^;^Bleeding^
^mobee01_Description_1^;^Bleeding^
^mobee02_Name^;^Stab^
^mobee02_Description_1^;^Stab^
^mobee03_Name^;^Pumpkin wasp Hatching^
^mobee03_Description_1^;^Pumpkin wasp Hatching^
^mobismoot01_Name^;^dead drunkenness^
^mobismoot01_Description_1^;^dead drunkenness^
^mobismoot02_Name^;^charge^
^mobismoot02_Description_1^;^charge^
^mobismoot04_Name^;^Sandwriter^
^mobismoot04_Description_1^;^Sandwriter^
^mobismoot05_Name^;^Nucleus^
^mobismoot05_Description_1^;^Nucleus^
^mobistmoot06_Name^;^dead drunkenness^
^mobistmoot06_Description_1^;^dead drunkenness^
^moblacklookout01_Name^;^Iron wall defense^
^moblacklookout01_Description_1^;^Iron wall defense^
^moblacklookout02_Name^;^Ice Shield^
^moblacklookout02_Description_1^;^Ice Shield^
^moblackkiller01_Name^;^Ax wielding^
^moblackkiller01_Description_1^;^Ax wielding^
^moblackkiller02_Name^;^Ice ax^
^moblackkiller02_Description_1^;^Ice ax^
^moblackhole_Name^;^black hole^
^moblackhole_Description_1^;^black hole^
^moblackmeat01_Name^;^Assassin Wolf Incented^
^moblackmeat01_Description_1^;^Assassin Wolf Incented^
^moblackspell02_Name^;^Black magic reinforcement^
^moblackspell02_Description_1^;^Black magic reinforcement^
^moblabo01_Name^;^rush^
^moblabo01_Description_1^;^rush^
^moblabo02_Name^;^Hammer^
^moblabo02_Description_1^;^Hammer^
^moblabo03_Name^;^Tight assault^
^moblabo03_Description_1^;^Tight assault^
^moblabo04_Name^;^Tough spirit^
^moblabo04_Description_1^;^Tough spirit^
^moblabo05_Name^;^Indomitable^
^moblabo05_Description_1^;^Indomitable^
^moblabo06_Name^;^Anger^
^moblabo06_Description_1^;^Anger^
^mobloodfury01_Name^;^Pillar^
^mobloodfury01_Description_1^;^Pillar^
^mobloodfury02_Name^;^Pillar^
^mobloodfury02_Description_1^;^Pillar^
^moboar01_Name^;^rush^
^moboar01_Description_1^;^rush^
^moboar02_Name^;^Receive^
^moboar02_Description_1^;^Receive^
^moboarice01_Name^;^Cold^
^moboarice01_Description_1^;^Cold^
^moboarice02_Name^;^Get cold^
^moboarice02_Description_1^;^Get cold^
^mobodydown_Name^;^BODY reduction^
^mobodydown_Description_1^;^BODY reduction^
^mobomber01_Name^;^Bomb^
^mobomber01_Description_1^;^Bomb^
^mobomber02_Name^;^Bomb explosion^
^mobomber02_Description_1^;^Bomb explosion^
^mobomber03_Name^;^Time bomb installation^
^mobomber03_Description_1^;^Time bomb installation^
^mobomber04_Name^;^Time bomb explosion^
^mobomber04_Description_1^;^Time bomb explosion^
^mobomber05_Name^;^Time bomb installation^
^mobomber05_Description_1^;^Time bomb installation^
^mobow01_Name^;^Crossbow^
^mobow01_Description_1^;^Crossbow^
^mobow03_Name^;^Crossbow^
^mobow03_Description_1^;^Crossbow^
^mobow04_Name^;^Crossbow^
^mobow04_Description_1^;^Crossbow^
^mobow05_Name^;^Crossbow^
^mobow05_Description_1^;^Crossbow^
^mobow06_Name^;^Crossbow^
^mobow06_Description_1^;^Crossbow^
^mobow02_Name^;^Crossbow^
^mobow02_Description_1^;^Crossbow^
^mobragicollect01_Name^;^Eating herbs^
^mobragicollect01_Description_1^;^Eating herbs^
^mobragirepair01_Name^;^Crossbow^
^mobragirepair01_Description_1^;^Crossbow^
^mobragibrave01_Name^;^Windmill^
^mobragibrave01_Description_1^;^Windmill^
^mobragibrave02_Name^;^whirl^
^mobragibrave02_Description_1^;^whirl^
^mobragibrave03_Name^;^Logs^
^mobragibrave03_Description_1^;^Logs^
^mobragibrave04_Name^;^whirl^
^mobragibrave04_Description_1^;^whirl^
^mobragibrave05_Name^;^Log^
^mobragibrave05_Description_1^;^Log^
^mobragifighter02_Name^;^River cutting^
^mobragifighter02_Description_1^;^River cutting^
^mobragifighter03_Name^;^Sword^
^mobragifighter03_Description_1^;^Sword^
^mobragihunter01_Name^;^Striker^
^mobragihunter01_Description_1^;^Striker^
^mobragihunter02_Name^;^Deadly arrow^
^mobragihunter02_Description_1^;^Deadly arrow^
^mobragishaman01_Name^;^Ice arrow^
^mobragishaman01_Description_1^;^Ice arrow^
^mobragishaman02_Name^;^cure^
^mobragishaman02_Description_1^;^cure^
^mobragishaman03_Name^;^cure^
^mobragishaman03_Description_1^;^cure^
^mobragiurged01_Name^;^Urgency^
^mobragiurged01_Description_1^;^Urgency^
^moburn01_Name^;^Burning^
^moburn01_Description_1^;^Burning^
^mobigray01_Name^;^Dangerous call^
^mobigray01_Description_1^;^Dangerous call^
^mobigraysum01_Name^;^Dangerous call^
^mobigraysum01_Description_1^;^Dangerous call^
^mobigray02_Name^;^Large -scale release^
^mobigray02_Description_1^;^Large -scale release^
^mobigray04_Name^;^Destruction^
^mobigray04_Description_1^;^Destruction^
^mobigray05_Name^;^Time^
^mobigray05_Description_1^;^Time^
^mobigray06_Name^;^Time^
^mobigray06_Description_1^;^Time^
^mobigray07_Name^;^Current bombing^
^mobigray07_Description_1^;^Current bombing^
^mobigraybaby01_name^;^Electric shock^
^mobigraybaby01_Description_1^;^Electric shock^
^mocaptain01_Name^;^Cutting^
^mocaptain01_Description_1^;^Cutting^
^mocaptain02_Name^;^Musket^
^mocaptain02_Description_1^;^Musket^
^mocaptain03_Name^;^Burns^
^mocaptain03_Description_1^;^Burns^
^mocaptain04_Name^;^Kick^
^mocaptain04_Description_1^;^Kick^
^mocaptain05_Name^;^Pirate^
^mocaptain05_Description_1^;^Pirate^
^mocaptain06_Name^;^Rotation^
^mocaptain06_Description_1^;^Rotation^
^mochaomage01_Name^;^Disease flask^
^mochaomage01_Description_1^;^Disease flask^
^mochakai01_Name^;^Bite^
^mochakai01_Description_1^;^Bite^
^mocleki01_Name^;^Stones^
^mocleki01_Description_1^;^Stones^
^mocleki02_Name^;^Stones^
^mocleki02_Description_1^;^Stones^
^mocleki03_Name^;^Run down (running)^
^mocleki03_Description_1^;^Run down (running)^
^mocleki04_Name^;^Stones^
^mocleki04_Description_1^;^Stones^
^mocleki05_Name^;^Shoulder^
^mocleki05_Description_1^;^Shoulder^
^mocleki06_Name^;^Footing^
^mocleki06_Description_1^;^Footing^
^mocleki07_Name^;^Footing^
^mocleki07_Description_1^;^Footing^
^mocleki08_Name^;^Footing^
^mocleki08_Description_1^;^Footing^
^mocleki09_Name^;^Floppy^
^mocleki09_Description_1^;^Floppy^
^mocleki10_Name^;^Double knife^
^mocleki10_Description_1^;^Double knife^
^mocleki11_Name^;^Cutting^
^mocleki11_Description_1^;^Cutting^
^mocommondie01_Name^;^Suicide^
^mocommondie01_Description_1^;^Suicide^
^mocommonhelp01_Name^;^Request for help^
^mocommonhelp01_Description_1^;^Request for help^
^mocommonroar01_Name^;^Roar^
^mocommonroar01_Description_1^;^Roar^
^mocoontin01_Name^;^If the ice fist^
^mocoontin01_Description_1^;^If the ice fist^
^mocoontin02_Name^;^If the ice fist^
^mocoontin02_Description_1^;^If the ice fist^
^mocoontin03_Name^;^If the ice fist is bang (continuous)^
^mocoontin03_Description_1^;^If the ice fist is bang (continuous)^
^mocoontin04_Name^;^If the ice fist is bang (continuous)^
^mocoontin04_Description_1^;^If the ice fist is bang (continuous)^
^mocoontin05_Name^;^If the ice fist^
^mocoontin05_Description_1^;^If the ice fist^
^mocow01_Name^;^Receive^
^mocow01_Description_1^;^Receive^
^mocrow01_Name^;^Flame^
^mocrow01_Description_1^;^Flame^
^mocrow01_Description_2^;^Flame^
^mocrow02_Name^;^Chill^
^mocrow02_Description_1^;^Chill^
^mocrow02_Description_2^;^Chill^
^mocrow03_Name^;^Ice window^
^mocrow03_Description_1^;^Ice window^
^mocrow03_Description_2^;^Ice window^
^mocrow04_Name^;^Resurrection^
^mocrow04_Description_1^;^Resurrection^
^mocrow05_Name^;^cure^
^mocrow05_Description_1^;^cure^
^mocrow06_Name^;^cure^
^mocrow06_Description_1^;^cure^
^mocrow07_Name^;^Ganghwa Stone destruction^
^mocrow07_Description_1^;^Ganghwa Stone destruction^
^modarkmage01_Name^;^cure^
^modarkmage01_Description_1^;^cure^
^modarkmage02_Name^;^cure^
^modarkmage02_Description_1^;^cure^
^modarkmage03_Name^;^Darkness^
^modarkmage03_Description_1^;^Darkness^
^modarkmage04_Name^;^Darkness^
^modarkmage04_Description_1^;^Darkness^
^modarkman01_Name^;^Dagger^
^modarkman01_Description_1^;^Dagger^
^modarkman02_Name^;^Retreat^
^modarkman02_Description_1^;^Retreat^
^modarksummoner01_Name^;^Waking up^
^modarksummoner01_Description_1^;^Waking up^
^modiseasecloud01_Name^;^Plague clouds (application)^
^modiseasecloud01_Description_1^;^Plague clouds (application)^
^modiseasecloud02_Name^;^Plague clouds (occurrence)^
^modiseasecloud02_Description_1^;^Plague clouds (occurrence)^
^modstoneice_Name^;^Ice^
^modstoneice_Description_1^;^Ice^
^moelecboob01_name_Name^;^Discharged energy^
^moelecboob01_name_Description_1^;^Discharged energy^
^mofactionneutral_Name^;^Faction change (neutral)^
^mofactionneutral_Description_1^;^Faction change (neutral)^
