t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^moramp2_Name^,^sacrifice^,^!!^,^moramp2_Description_1^,^moramp2_Description_1^,^moramp2_Description_1^,^moramp2_Description_1^
^moramp2_Description_1^,^sacrifice^,^!!^,^mofigo1_Name^,^mofigo1_Name^,^mofigo1_Name^,^mofigo1_Name^
^mofigo1_Name^,^Landing^,^mofigo1_Description_1^,^mofigo1_Description_1^,^mofigo1_Description_1^,^mofigo1_Description_1^,^mofigo1_Description_1^
^mofigo1_Description_1^,^Landing^,^mofigo2_Name^,^mofigo2_Name^,^mofigo2_Name^,^mofigo2_Name^,^mofigo2_Name^
^mofigo2_Name^,^Landscape^,^mofigo2_Description_1^,^mofigo2_Description_1^,^mofigo2_Description_1^,^mofigo2_Description_1^,^mofigo2_Description_1^
^mofigo2_Description_1^,^Landscape^,^mosantinl05_Name^,^mosantinl05_Name^,^mosantinl05_Name^,^mosantinl05_Name^,^mosantinl05_Name^
^mosantinl05_Name^,^Cold ice pillar^,^mosantinl05_Description_1^,^mosantinl05_Description_1^,^mosantinl05_Description_1^,^mosantinl05_Description_1^,^mosantinl05_Description_1^
^mosantinl05_Description_1^,^Cold ice pillar^,^mogarmu03_Name^,^mogarmu03_Name^,^mogarmu03_Name^,^mogarmu03_Name^,^mogarmu03_Name^
^mogarmu03_Name^,^smash^,^mogarmu03_Description_1^,^mogarmu03_Description_1^,^mogarmu03_Description_1^,^mogarmu03_Description_1^,^mogarmu03_Description_1^
^mogarmu03_Description_1^,^smash^,^mobragseld00_Name^,^mobragseld00_Name^,^mobragseld00_Name^,^mobragseld00_Name^,^mobragseld00_Name^
^mobragseld00_Name^,^All -in -one^,^mobragseld00_Description_1^,^mobragseld00_Description_1^,^mobragseld00_Description_1^,^mobragseld00_Description_1^,^mobragseld00_Description_1^
^mobragseld00_Description_1^,^All -in -one^,^morzt1_Name^,^morzt1_Name^,^morzt1_Name^,^morzt1_Name^,^morzt1_Name^
^morzt1_Name^,^Cutting^,^morzt1_Description_1^,^morzt1_Description_1^,^morzt1_Description_1^,^morzt1_Description_1^,^morzt1_Description_1^
^morzt1_Description_1^,^Cutting^,^morzt2_Name^,^morzt2_Name^,^morzt2_Name^,^morzt2_Name^,^morzt2_Name^
^morzt2_Name^,^Referee^,^morzt2_Description_1^,^morzt2_Description_1^,^morzt2_Description_1^,^morzt2_Description_1^,^morzt2_Description_1^
^morzt2_Description_1^,^Referee^,^morzt3_Name^,^morzt3_Name^,^morzt3_Name^,^morzt3_Name^,^morzt3_Name^
^morzt3_Name^,^Incarnation of fire^,^morzt3_Description_1^,^morzt3_Description_1^,^morzt3_Description_1^,^morzt3_Description_1^,^morzt3_Description_1^
^morzt3_Description_1^,^Incarnation of fire^,^morzt4_Name^,^morzt4_Name^,^morzt4_Name^,^morzt4_Name^,^morzt4_Name^
^morzt4_Name^,^Referee^,^morzt4_Description_1^,^morzt4_Description_1^,^morzt4_Description_1^,^morzt4_Description_1^,^morzt4_Description_1^
^morzt4_Description_1^,^Referee^,^morzt5_Name^,^morzt5_Name^,^morzt5_Name^,^morzt5_Name^,^morzt5_Name^
^morzt5_Name^,^Referee^,^morzt5_Description_1^,^morzt5_Description_1^,^morzt5_Description_1^,^morzt5_Description_1^,^morzt5_Description_1^
^morzt5_Description_1^,^Referee^,^momupa1_Name^,^momupa1_Name^,^momupa1_Name^,^momupa1_Name^,^momupa1_Name^
^momupa1_Name^,^Upgrade^,^momupa1_Description_1^,^momupa1_Description_1^,^momupa1_Description_1^,^momupa1_Description_1^,^momupa1_Description_1^
