t_key,t_korean
^itco_feblackmeat01_Name^,^Place meat with dark energy^
^itco_feblackmeat01_description_1^,^Place the meat infused with dark energy on the ground.^
^itco_feblackmeat02_Name^,^Place meat with dark aura^
^itco_feblackmeat02_description_1^,^Place meat with dark energy on the ground.^
^itco_feblackmeat03_Name^,^Place meat with intense dark energy^
^itco_feblackmeat03_description_1^,^Place meat with intense dark energy on the ground.^
^itco_fecrygrass01_Name^,^Place the crystal plant^
^itco_fecrygrass01_description_1^,^Put crystal plants on the ground.^
^itco_fecrygrass02_Name^,^Place a glowing crystal plant^
^itco_fecrygrass02_description_1^,^Put a glowing crystal plant on the ground.^
^itco_fecrygrass03_Name^,^Place a luminous crystal plant^
^itco_fecrygrass03_description_1^,^Put a luminous crystal plant on the ground.^
^itco_fedewgrass01_Name^,^Put dewdrops^
^itco_fedewgrass01_description_1^,^Put the dewdrops on the ground.^
^itco_fedewgrass02_Name^,^Place clear dewdrops^
^itco_fedewgrass02_description_1^,^Put clear dewdrops on the ground.^
^itco_fedewgrass03_Name^,^Place pure dewdrops^
^itco_fedewgrass03_description_1^,^Place pure dewweed on the ground.^
^itco_fescroll01pon_Name^,^Use the Lesser Poison Suppression Scroll^
^itco_fescroll01pon_description_1^,^Uses a lower-level Poison Suppression Scroll.^
^itco_fescroll01poe_Name^,^Uses a lower-level Poison Suppression Scroll.^
^itco_fescroll01poe_description_1^,^Using the Intermediate Poison Suppression Scroll.^
^itco_fescroll01poh_Name^,^Use the Advanced Poison Suppression Scroll^
^itco_fescroll01poh_description_1^,^Use the Advanced Poison Energy Suppression Scroll.^
^itco_fescroll01fin_Name^,^Use the Lesser Fire Energy Suppression Scroll^
^itco_fescroll01fin_description_1^,^Use the lower fire energy suppression scroll.^
^itco_fescroll01fie_Name^,^Use the Intermediate Fire Energy Suppression Scroll^
^itco_fescroll01fie_description_1^,^Use the Intermediate Fire Energy Suppression Scroll.^
^itco_fescroll01fih_Name^,^Use the Advanced Fire Energy Suppression Scroll^
^itco_fescroll01fih_description_1^,^Use the Advanced Fire Energy Suppression Scroll.^
^itco_fescroll01icn_Name^,^Use the Lesser Ice Energy Suppression Scroll^
^itco_fescroll01icn_description_1^,^Use the lower ice energy suppression scroll.^
^itco_fescroll01ice_Name^,^Use the Intermediate Ice Energy Suppression Scroll^
^itco_fescroll01ice_description_1^,^Use the Intermediate Ice Energy Suppression Scroll.^
